nuts,Annual Mean Temperature (°C) (1981 - 2010)
DE50,9.417231
DE60,9.152979
DE71,9.397516
DE72,8.568079
DE73,8.363825
DE80,8.911127
DE91,8.772608
BG41,9.287409
BG42,10.816919
CH01,3.996698
AT32,3.731134
AT33,2.1299376
AT34,3.6919188
BE10,10.429895
BE23,10.550226
BE24,10.386805
BE25,10.656672
BE31,10.144098
BE32,10.183741
BE33,9.047632
BE34,8.882502
BE35,9.498224
BG31,11.267786
BG32,11.423487
BG33,11.554682
BG34,11.974146
DE92,9.35293
DE93,9.339502
DE94,9.584742
CZ07,8.113062
CZ08,7.9560485
AL01,11.489801
AL02,12.562372
AL03,13.014368
AT11,9.954859
AT12,8.721338
AT13,10.058619
AT21,5.328058
AT22,6.2361083
AT31,7.5415587
DK05,8.625971
BE21,10.490473
BE22,10.244196
ES43,15.6748295
ES51,12.894556
ES52,15.261072
ES53,17.960596
ES61,16.283258
ES62,16.119318
ES63,17.512903
ES64,19.040125
CH02,6.335901
CH03,9.377741
CH04,8.944513
CH05,3.666864
CH06,5.2249084
CH07,5.893762
CY00,19.503626
CZ01,9.070185
CZ02,8.553217
CZ03,7.724603
CZ04,7.6477904
CZ05,7.767175
CZ06,8.6922245
DE40,9.329584
EL53,10.980799
EL54,12.992914
EL61,14.505091
EL62,17.541468
EL63,15.192896
ES70,19.111567
ITC1,8.311701
ITC2,2.184442
DE11,8.99328
DE12,9.470118
DE13,9.136469
DE14,8.431543
DE21,7.9649596
DE22,8.647852
DE23,8.211725
DE24,8.138849
DE25,8.845575
DE26,8.898127
DE27,7.566644
DE30,9.434198
EL42,18.254908
LV00,6.4549804
ME00,9.756739
MK00,10.64419
MT00,19.129725
NL11,9.597559
NL12,9.98797
EL64,15.299921
EL65,16.27392
ES11,12.349695
ES12,11.380396
ES13,11.841852
ES21,12.437586
ES22,12.04455
ES23,11.135828
ES24,12.268213
ES30,13.19021
IE05,10.049524
IE06,9.735468
IS00,1.690271
ITC3,12.730371
FI19,4.027429
FI1B,5.212793
FI1C,4.866815
DEA1,10.1784
DEA2,9.294184
DEA3,9.908472
DEA4,9.224421
DEA5,8.767206
DEB1,8.956629
DEB2,8.673456
DEB3,9.823633
DEC0,9.444117
DED2,8.72732
DED4,7.9071593
DED5,9.518976
DEE0,9.237299
DEF0,8.992548
DEG0,8.296106
DK01,8.560541
DK02,8.824091
DK03,8.670465
DK04,8.495874
ES41,11.425013
ES42,13.872614
HU23,11.080347
HU31,10.13949
HU32,10.976618
HU33,11.267481
IE04,9.749933
EE00,6.026941
EL30,17.710077
EL41,17.181421
EL43,18.005823
EL51,13.425837
EL52,14.157404
FI20,6.2692504
FR10,10.924677
FRB0,11.385523
FRC1,10.962427
FRC2,10.044184
FRD1,10.968744
FRD2,10.647364
FRE1,10.447809
FRE2,10.476587
FRF1,9.826929
NL13,9.606348
NL21,9.844568
NL22,10.087763
NL23,10.058283
NL31,10.118891
NL32,10.279291
ITG2,15.984308
ITH1,2.0248961
ITH2,5.5163817
FRI3,12.392603
FRJ1,11.89834
FRJ2,11.182184
FRK1,9.821344
FRK2,8.7763
FRL0,10.733362
FRM0,14.9708805
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,16.164484
TR32,15.559626
TR33,12.45495
HR03,13.202265
HR02,11.342615
HU11,10.751978
HU12,10.643183
HU21,10.617456
HU22,10.718653
PT16,14.505182
PT17,16.147058
FRF2,10.332636
FRF3,9.780481
FRG0,11.8102665
FRH0,11.665857
FRI1,12.937433
FRI2,10.898676
ITC4,9.90896
ITF1,12.031916
ITF2,13.111383
ITF3,14.402338
ITF4,16.29281
ITF5,14.259424
ITF6,15.816828
ITG1,17.21963
LT01,6.6608214
LT02,6.9556518
LU00,8.791925
PL22,8.328058
PL41,8.790857
PL42,8.5819645
PT18,16.292933
PT20,-273.15
PT30,18.285028
RO11,8.464411
RO12,7.2278075
RO21,8.211267
RO22,11.064264
RO31,10.685938
RO32,11.521448
ITH3,10.699701
ITH4,9.782068
ITH5,12.995295
ITI1,13.736811
ITI2,12.312891
ITI3,13.341455
ITI4,13.42309
LI00,5.289331
FI1D,1.494104
TR82,10.44665
TR83,10.876886
TR90,7.912622
TRA1,5.433618
TRA2,5.6219726
PL43,9.2339115
PL51,8.41366
PL52,8.8305
PL61,8.282068
PL62,7.6291747
PL63,7.970361
PL71,8.597406
