nuts,Annual Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,11.267969
DE60,11.109003
DE71,11.146357
DE72,10.317621
DE73,10.162378
DE80,10.933527
DE91,10.643671
BG41,11.779139
BG42,13.276941
CH01,6.0150695
AT32,5.9347167
AT33,4.3318725
AT34,5.896112
BE10,12.0238285
BE23,12.133051
BE24,11.97912
BE25,12.229395
BE31,11.738123
BE32,11.771662
BE33,10.668146
BE34,10.527033
BE35,11.113306
BG31,13.659571
BG32,13.805506
BG33,13.828028
BG34,14.212336
DE92,11.198999
DE93,11.259638
DE94,11.364374
CZ07,10.358545
CZ08,10.2138
AL01,13.759424
AL02,14.776087
AL03,15.186426
AT11,12.036341
AT12,10.822046
AT13,12.159693
AT21,7.6626525
AT22,8.502222
AT31,9.661737
DK05,10.434717
BE21,12.07464
BE22,11.84112
ES43,17.919367
ES51,14.981653
ES52,17.400629
ES53,19.777124
ES61,18.591425
ES62,18.315363
ES63,19.061365
ES64,20.757074
CH02,8.288446
CH03,11.252802
CH04,10.877741
CH05,5.7910094
CH06,7.259729
CH07,8.069239
CY00,21.677637
CZ01,11.169825
CZ02,10.656458
CZ03,9.803125
CZ04,9.6931095
CZ05,9.936426
CZ06,10.857325
DE40,11.39242
EL53,13.464533
EL54,15.215845
EL61,16.74795
EL62,19.376215
EL63,17.282099
ES70,20.455957
ITC1,10.436762
ITC2,4.3385863
DE11,10.832697
DE12,11.301935
DE13,11.076105
DE14,10.386805
DE21,10.012537
DE22,10.661371
DE23,10.178919
DE24,10.03335
DE25,10.719873
DE26,10.708277
DE27,9.593134
DE30,11.493647
EL42,20.207788
LV00,8.652918
ME00,12.146662
MK00,13.053919
MT00,20.919489
NL11,11.340937
NL12,11.697351
EL64,17.457483
EL65,18.394434
ES11,14.022913
ES12,13.019678
ES13,13.513727
ES21,14.098597
ES22,13.941492
ES23,13.111597
ES24,14.475977
ES30,15.529657
IE05,11.426905
IE06,11.120203
IS00,4.061151
ITC3,14.830072
FI19,6.6700683
FI1B,7.652551
FI1C,7.3291564
DEA1,11.780573
DEA2,10.923944
DEA3,11.592493
DEA4,11.019678
DEA5,10.468897
DEB1,10.643793
DEB2,10.341181
DEB3,11.5872135
DEC0,11.160761
DED2,10.776178
DED4,9.884272
DED5,11.498011
DEE0,11.189844
DEF0,10.917505
DEG0,10.163019
DK01,10.474695
DK02,10.705774
DK03,10.521845
DK04,10.319117
ES41,13.538507
ES42,16.258997
HU23,13.203119
HU31,12.504511
HU32,13.381586
HU33,13.533197
IE04,11.085199
EE00,8.253443
EL30,19.788752
EL41,19.194544
EL43,19.948725
EL51,15.664118
EL52,16.422968
FI20,8.530573
FR10,12.583582
FRB0,13.135218
FRC1,12.782038
FRC2,11.913019
FRD1,12.576532
FRD2,12.2698
FRE1,12.044886
FRE2,12.1149235
FRF1,11.703455
NL13,11.314386
NL21,11.515284
NL22,11.689814
NL23,11.714533
NL31,11.703577
NL32,11.9361515
ITG2,17.995234
ITH1,4.3124022
