nuts,April Mean Temperature (°C) (1981 - 2010)
DE50,8.642542
DE60,8.103968
DE71,8.907953
DE72,8.063776
DE73,7.8210387
DE80,7.7455688
DE91,8.158228
BG41,8.978296
BG42,10.095087
CH01,2.7495666
AT32,2.7820067
AT33,1.1154724
AT34,2.7272582
BE10,9.402613
BE23,9.423731
BE24,9.3840275
BE25,9.258936
BE31,9.125666
BE32,9.10409
BE33,8.177973
BE34,8.076563
BE35,8.566645
BG31,11.561914
BG32,11.332392
BG33,10.597956
BG34,10.924402
DE92,8.670252
DE93,8.55221
DE94,8.591333
CZ07,8.271265
CZ08,8.050318
AL01,10.146723
AL02,11.099695
AL03,11.177332
AT11,10.248865
AT12,8.773645
AT13,10.2008915
AT21,4.733484
AT22,5.861688
AT31,7.284021
DK05,6.4498534
BE21,9.504419
BE22,9.328272
ES43,13.354395
ES51,10.79397
ES52,13.084803
ES53,14.933802
ES61,13.985498
ES62,13.987299
ES63,15.455835
ES64,16.948114
CH02,5.3204284
CH03,8.672297
CH04,8.136469
CH05,2.6549315
CH06,3.9872375
CH07,4.613733
CY00,16.844599
CZ01,8.809687
CZ02,8.360285
CZ03,7.604303
CZ04,7.3447814
CZ05,7.693994
CZ06,8.82107
DE40,8.827723
EL53,9.674921
EL54,11.089655
EL61,12.501795
EL62,14.675867
EL63,12.888758
ES70,17.238245
ITC1,7.0280395
ITC2,0.73601687
DE11,8.592279
DE12,8.99029
DE13,8.558344
DE14,7.919946
DE21,7.520715
DE22,8.5404
DE23,8.044428
DE24,7.853845
DE25,8.526026
DE26,8.518
DE27,7.0138183
DE30,8.986719
EL42,15.590906
LV00,5.8765807
ME00,8.379847
MK00,9.851221
MT00,15.634455
NL11,8.367945
NL12,8.089472
EL64,13.0967655
EL65,13.6523075
ES11,10.43545
ES12,9.238367
ES13,9.667414
ES21,10.380976
ES22,10.093561
ES23,9.051508
ES24,10.200708
ES30,10.8398075
IE05,8.414606
IE06,8.23559
IS00,-0.38269654
ITC3,10.797449
FI19,2.7466063
FI1B,3.2179503
FI1C,3.1111083
DEA1,9.378595
DEA2,8.519007
DEA3,9.151484
DEA4,8.524775
DEA5,8.119898
DEB1,8.296808
DEB2,7.9588256
DEB3,9.221064
DEC0,8.770929
DED2,8.405207
DED4,7.495416
DED5,8.964746
DEE0,8.630915
DEF0,7.576196
DEG0,7.788385
DK01,6.0488524
DK02,6.528253
DK03,6.8026977
DK04,6.5416503
ES41,9.209711
ES42,11.510462
HU23,11.529108
HU31,10.903315
HU32,11.720118
HU33,11.879023
IE04,8.304804
EE00,4.660913
EL30,15.060846
EL41,14.695032
EL43,15.329493
EL51,11.816614
EL52,12.702692
FI20,2.6239257
FR10,9.745295
FRB0,10.092432
FRC1,9.929956
FRC2,9.202814
FRD1,9.316126
FRD2,9.172876
FRE1,9.108637
FRE2,9.308985
FRF1,9.196894
NL13,8.656275
NL21,8.923578
NL22,9.175135
NL23,8.810816
NL31,9.02273
NL32,8.316492
ITG2,13.089838
ITH1,1.0308167
ITH2,4.5288024
FRI3,10.915369
FRJ1,10.081842
FRJ2,9.463129
FRK1,8.406092
FRK2,7.4753356
FRL0,8.901545
FRM0,12.19961
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,14.076105
TR32,13.411646
TR33,11.069361
HR03,11.551813
HR02,11.465265
HU11,11.395258
HU12,11.30987
HU21,11.112299
HU22,11.092646
PT16,12.619379
PT17,14.429468
FRF2,9.382166
FRF3,8.992609
FRG0,10.290125
FRH0,9.799372
FRI1,11.379145
FRI2,9.48321
ITC4,9.003504
ITF1,9.976374
ITF2,10.926386
ITF3,11.901484
ITF4,13.6036625
ITF5,11.772486
ITF6,12.910242
ITG1,14.095087
LT01,6.8197265
LT02,6.666101
LU00,8.041132
PL22,8.454401
PL41,8.559259
PL42,7.768274
PT18,14.317469
PT20,-273.15
PT30,16.063074
RO11,9.112818
RO12,7.600885
RO21,8.568201
RO22,10.557337
RO31,10.849665
RO32,11.846247
ITH3,9.593409
ITH4,8.853022
ITH5,11.667383
ITI1,11.685846
ITI2,10.430628
ITI3,11.29281
ITI4,11.155146
LI00,4.2669005
FI1D,0.26812133
TR82,9.3706
TR83,10.142206
TR90,6.643274
TRA1,4.352014
TRA2,5.063562
PL43,8.922876
PL51,8.255915
PL52,8.791376
PL61,8.044428
PL62,7.3853087
PL63,6.9633727
PL71,8.571405
PL72,8.695978
PL81,8.596094
PL82,8.5342045
PL84,7.626306
PL91,8.4534855
PL92,8.241449
PT11,11.008448
PT15,14.8979435
TRB1,8.259577
TRB2,5.3225036
TRC1,13.267511
RS12,12.316248
RS21,10.109369
RS22,10.498743
SE11,4.1108947
SE12,4.7080016
NL33,8.917383
NL34,9.288111
NL41,9.430292
NL42,9.39953
PL21,8.017786
UKM6,6.7753844
TR22,12.423517
TRC2,13.939112
TRC3,11.629175
UKC1,7.0294127
UKC2,6.9997497
UKD1,6.9647155
UKD3,7.631555
UKD4,7.5263305
UKD6,8.100641
UKD7,8.332666
UKE1,7.9440246
UKE2,7.182245
UKE3,7.8367248
RO41,10.937616
RO42,10.250025
RS11,12.433161
TR41,11.178614
TR42,10.343988
TR51,10.712305
TR52,10.5021
TR61,11.3724
TR62,12.286707
TR63,12.371271
TR71,10.663843
TR72,8.196375
TR81,9.730158
