nuts,April Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,9.954035
DE60,9.558161
DE71,10.122858
DE72,9.336054
DE73,9.181299
DE80,9.280817
DE91,9.583643
BG41,10.346491
BG42,11.436792
CH01,4.0351806
AT32,4.334924
AT33,2.5588317
AT34,4.128778
BE10,10.700586
BE23,10.684809
BE24,10.700983
BE25,10.531458
BE31,10.465876
BE32,10.4240055
BE33,9.471918
BE34,9.30987
BE35,9.855005
BG31,13.148218
BG32,12.944941
BG33,12.0932865
BG34,12.260675
DE92,10.029932
DE93,9.972162
DE94,9.850641
CZ07,9.849848
CZ08,9.731379
AL01,11.579218
AL02,12.567102
AL03,12.36059
AT11,11.620478
AT12,10.302546
AT13,11.549158
AT21,6.3530517
AT22,7.5489135
AT31,8.892145
DK05,8.0116825
BE21,10.797937
BE22,10.653711
ES43,14.746576
ES51,12.008326
ES52,14.255304
ES53,15.934992
ES61,15.345606
ES62,15.18432
ES63,16.220392
ES64,17.86883
CH02,6.6299376
CH03,9.95257
CH04,9.553492
CH05,4.009485
CH06,5.33999
CH07,6.1903014
CY00,18.228449
CZ01,10.347284
CZ02,9.926844
CZ03,9.189142
CZ04,8.988153
CZ05,9.418573
CZ06,10.290155
DE40,10.382166
EL53,10.957453
EL54,12.21612
EL61,13.586176
EL62,15.767664
EL63,13.835108
ES70,18.11004
ITC1,8.357874
ITC2,1.9312989
DE11,9.841944
DE12,10.206598
DE13,9.764795
DE14,9.258753
DE21,8.969538
DE22,10.019251
DE23,9.498316
DE24,9.319117
DE25,9.837519
DE26,9.838587
DE27,8.412104
DE30,10.541254
EL42,16.87411
LV00,7.482141
ME00,9.908442
MK00,11.249964
MT00,16.639368
NL11,9.639246
NL12,9.376642
EL64,14.155268
EL65,14.674585
ES11,11.48797
ES12,10.319025
ES13,10.704584
ES21,11.458155
ES22,11.3094425
ES23,10.327021
ES24,11.533289
ES30,12.224756
IE05,9.253382
IE06,9.156519
IS00,1.7817627
ITC3,12.075586
FI19,4.924707
FI1B,5.2206054
FI1C,5.2615905
DEA1,10.677271
DEA2,9.770166
DEA3,10.450525
DEA4,9.861628
DEA5,9.38946
DEB1,9.464441
DEB2,9.147181
DEB3,10.344446
DEC0,9.926691
DED2,9.996424
DED4,9.107416
DED5,10.486261
DEE0,10.136499
DEF0,9.011896
DEG0,9.258783
DK01,7.5946593
DK02,8.058527
DK03,8.300074
DK04,8.070826
ES41,10.542353
ES42,12.941278
HU23,12.87594
HU31,12.318598
HU32,13.046259
HU33,13.199335
IE04,9.17901
EE00,6.455835
EL30,16.21731
EL41,15.953333
EL43,16.41717
EL51,13.070581
EL52,13.917414
FI20,4.468866
FR10,11.04455
FRB0,11.343164
FRC1,11.077692
FRC2,10.326288
FRD1,10.452417
FRD2,10.35528
FRE1,10.39068
FRE2,10.595972
FRF1,10.295496
NL13,9.925379
NL21,10.222101
NL22,10.495264
NL23,10.122797
NL31,10.31756
NL32,9.6019535
ITG2,14.214258
ITH1,2.55343
ITH2,6.028589
FRI3,12.111017
FRJ1,11.256067
FRJ2,10.675989
FRK1,9.5599
FRK2,8.71493
FRL0,10.091791
FRM0,13.333246
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,15.098749
TR32,14.615351
TR33,12.244196
HR03,12.827417
HR02,12.777185
HU11,12.811213
HU12,12.714136
HU21,12.480524
HU22,12.459467
PT16,13.843897
PT17,15.494898
FRF2,10.606714
FRF3,10.134882
FRG0,11.444941
FRH0,10.82818
FRI1,12.556757
FRI2,10.667414
ITC4,10.434046
ITF1,11.355066
ITF2,12.174494
ITF3,13.124445
ITF4,14.728022
ITF5,12.848993
ITF6,13.951258
ITG1,15.173182
LT01,8.296106
LT02,8.1957035
LU00,9.232965
PL22,10.152735
PL41,10.06576
PL42,9.388758
PT18,15.646479
PT20,-273.15
PT30,-273.15
RO11,10.513453
RO12,9.109461
RO21,10.124018
RO22,12.073084
RO31,12.402063
RO32,13.432795
ITH3,10.973444
ITH4,10.377741
ITH5,12.975275
ITI1,12.925959
ITI2,11.740137
ITI3,12.497248
ITI4,12.433741
LI00,5.982385
FI1D,3.014093
TR82,10.62356
TR83,11.3181095
TR90,8.44961
TRA1,6.1864867
TRA2,4.9985595
PL43,10.487513
PL51,9.873713
PL52,10.310907
PL61,9.53985
PL62,8.902216
PL63,8.560572
PL71,10.076899
PL72,10.305109
PL81,10.054163
PL82,10.044184
PL84,9.134577
PL91,9.986811
PL92,9.820948
PT11,12.19137
PT15,16.035395
TRB1,10.430292
TRB2,7.7532897
TRC1,15.187799
RS12,13.65066
RS21,11.406214
RS22,11.960352
SE11,5.9846435
SE12,6.573175
NL33,10.213984
NL34,10.612085
NL41,10.737268
NL42,10.716303
PL21,9.688227
UKM6,7.822229
TR22,13.5021305
TRC2,15.893335
TRC3,15.963465
UKC1,8.225519
UKC2,8.164179
UKD1,8.030024
UKD3,8.701746
UKD4,8.582666
UKD6,9.172113
UKD7,9.389856
UKE1,9.181086
UKE2,8.364801
UKE3,9.033014
RO41,12.476221
RO42,11.632563
RS11,13.784815
TR41,12.162714
