nuts,August Mean Temperature (°C) (1981 - 2010)
DE50,17.350885
DE60,17.364069
DE71,18.18603
DE72,17.048182
DE73,16.820734
DE80,17.622797
DE91,17.31219
BG41,19.325129
BG42,21.154505
CH01,13.269373
AT32,13.0056095
AT33,11.437311
AT34,12.764643
BE10,17.825891
BE23,17.833551
BE24,17.824488
BE25,17.773493
BE31,17.588709
BE32,17.558893
BE33,16.710108
BE34,16.734034
BE35,17.093866
BG31,22.133204
BG32,22.227839
BG33,22.040918
BG34,22.379267
DE92,17.599329
DE93,17.60766
DE94,17.378778
CZ07,17.733545
CZ08,17.451197
AL01,21.089808
AL02,22.03988
AL03,22.356256
AT11,19.767176
AT12,18.339136
AT13,19.95498
AT21,14.793726
AT22,15.605036
AT31,16.788599
DK05,16.48092
BE21,17.926172
BE22,17.833094
ES43,25.159082
ES51,21.521082
ES52,23.816797
ES53,25.355951
ES61,25.120447
ES62,24.812525
ES63,22.707453
ES64,26.166376
CH02,15.145166
CH03,17.923212
CH04,17.60409
CH05,12.954554
CH06,14.101618
CH07,15.282618
CY00,27.50686
CZ01,18.595423
CZ02,17.98855
CZ03,17.029932
CZ04,16.881922
CZ05,17.178308
CZ06,18.435236
DE40,18.351862
EL53,21.227472
EL54,22.32226
EL61,23.847162
EL62,24.875208
EL63,24.034845
ES70,21.82583
ITC1,17.924616
ITC2,12.088221
DE11,17.898432
DE12,18.324305
DE13,17.869196
DE14,17.208765
DE21,16.983088
DE22,17.867426
DE23,17.406397
DE24,17.120264
DE25,17.882929
DE26,17.778528
DE27,16.427729
DE30,18.558222
EL42,24.794641
LV00,16.619379
ME00,19.281916
MK00,21.13
MT00,25.883722
NL11,17.115717
NL12,17.196741
EL64,24.271204
EL65,24.980677
ES11,18.365473
ES12,17.430689
ES13,18.25271
ES21,19.021753
ES22,20.003504
ES23,19.247766
ES24,21.396906
ES30,23.473505
IE05,15.022882
IE06,15.046289
IS00,8.3389225
ITC3,21.184626
FI19,14.612604
FI1B,15.830713
FI1C,15.543146
DEA1,17.971827
DEA2,17.203943
DEA3,17.810328
DEA4,17.37826
DEA5,16.814997
DEB1,17.296595
DEB2,16.880854
DEB3,18.648493
DEC0,17.950708
DED2,17.788965
DED4,16.84286
DED5,18.52331
DEE0,18.088312
DEF0,17.149286
DEG0,17.116877
DK01,17.201746
DK02,17.260798
DK03,16.720728
DK04,16.430292
ES41,20.104456
ES42,24.057062
HU23,21.075861
HU31,20.537836
HU32,21.579706
HU33,21.628992
IE04,14.695307
EE00,16.381525
EL30,26.23147
EL41,24.64779
EL43,25.20547
EL51,23.611292
EL52,24.240137
FI20,16.242517
FR10,18.77981
FRB0,19.312677
FRC1,19.331842
FRC2,18.520502
FRD1,17.550867
FRD2,17.66186
FRE1,17.568567
FRE2,17.983362
FRF1,18.555017
NL13,17.119684
NL21,17.418268
NL22,17.61831
NL23,17.411036
NL31,17.466333
NL32,17.348444
ITG2,24.179071
ITH1,11.612055
ITH2,14.971247
FRI3,19.931421
FRJ1,20.247187
FRJ2,19.264399
FRK1,17.96911
FRK2,17.71673
FRL0,19.638086
FRM0,22.961603
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,25.724634
TR32,25.655909
TR33,23.183802
HR03,22.251581
HR02,21.281733
HU11,20.982386
HU12,20.890345
HU21,20.688196
HU22,20.668451
PT16,21.479212
PT17,21.237238
FRF2,18.441095
FRF3,18.211176
FRG0,18.891626
FRH0,17.444971
FRI1,20.515223
FRI2,18.71087
ITC4,19.816706
ITF1,21.274744
ITF2,22.214167
ITF3,23.071955
ITF4,25.103388
ITF5,23.476374
ITF6,24.070185
ITG1,25.158106
LT01,16.88833
LT02,16.99029
LU00,16.864191
PL22,17.891016
PL41,18.26388
PL42,17.661615
PT18,23.628778
PT20,-273.15
PT30,21.588282
RO11,18.590204
RO12,17.273005
RO21,18.78808
RO22,22.061213
RO31,21.655756
RO32,22.915216
ITH3,20.398645
ITH4,19.267756
ITH5,22.757929
ITI1,22.615168
ITI2,21.91659
ITI3,22.629145
ITI4,22.468653
LI00,14.157038
FI1D,12.8189335
TR82,20.67129
TR83,21.094355
TR90,18.207544
TRA1,17.820337
TRA2,17.76681
PL43,18.55398
PL51,17.783869
PL52,18.389887
PL61,17.776514
PL62,17.363886
PL63,17.266565
PL71,18.285059
PL72,18.281122
PL81,18.193964
PL82,17.878534
PL84,17.49859
PL91,18.102167
PL92,17.937616
PT11,20.244928
PT15,22.769556
TRB1,23.53396
TRB2,20.190577
TRC1,27.785883
RS12,22.221338
RS21,20.044489
RS22,20.728724
SE11,16.249475
SE12,15.816797
NL33,17.580652
NL34,17.8594
NL41,17.874537
NL42,17.925898
PL21,17.275293
UKM6,13.194269
TR22,23.847101
TRC2,29.688807
TRC3,27.104792
UKC1,14.712732
UKC2,14.486689
UKD1,14.326288
UKD3,15.099817
UKD4,14.987024
UKD6,15.611475
UKD7,15.826624
UKE1,16.003717
UKE2,14.944849
UKE3,15.776606
RO41,21.376795
RO42,19.87066
RS11,22.411768
TR41,22.717066
TR42,21.55099
TR51,23.0216
TR52,23.175196
TR61,23.787104
TR62,24.52395
TR63,24.896875
TR71,23.227777
TR72,20.467646
TR81,20.713099
UKK1,16.452753
UKK2,16.463343
UKK3,16.288843
UKK4,16.065363
UKL1,15.313623
UKL2,15.172388
UKM5,13.446711
UKM7,13.523615
UKM8,14.106379
UKM9,14.103632
UKN0,14.474909
SE21,16.041285
SE22,16.373468
SE23,15.929407
SE31,14.363062
SE32,12.466089
SE33,11.58703
SI03,19.260065
SI04,19.01333
SK01,20.387934
SK02,19.549006
SK03,17.050684
SK04,17.725794
TR10,24.00683
TR21,24.175074
UKE4,15.084955
UKF1,15.851709
UKF2,16.527796
UKF3,16.577173
UKG1,16.134058
UKG2,15.527979
UKG3,16.206568
UKH1,16.84997
UKH2,16.902002
UKH3,17.18957
UKI3,17.083735
UKI4,17.083735
UKI5,17.060022
UKI6,17.035395
UKI7,16.93136
UKJ1,16.617548
UKJ2,16.964197
UKJ3,16.830774
UKJ4,17.276667
NO09,13.285669
NO0A,11.988794
NO0B,5.4493346
HR05,21.37002
HR06,20.990656
NO02,11.369318
NO06,11.837336
NO07,10.56579
NO08,13.208826
