nuts,August Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,18.084375
DE60,18.087702
DE71,19.032648
DE72,17.94613
DE73,17.725763
DE80,18.333857
DE91,18.146631
BG41,20.638239
BG42,22.511866
CH01,14.484125
AT32,14.145502
AT33,12.681116
AT34,13.977625
BE10,18.568048
BE23,18.56341
BE24,18.566706
BE25,18.504267
BE31,18.320795
BE32,18.288446
BE33,17.519129
BE34,17.498163
BE35,17.844477
BG31,23.395136
BG32,23.525202
BG33,23.382898
BG34,23.750086
DE92,18.39004
DE93,18.371302
DE94,18.099024
CZ07,18.754541
CZ08,18.466303
AL01,22.406702
AL02,23.32818
AL03,23.604792
AT11,20.83877
AT12,19.349146
AT13,21.014643
AT21,15.95611
AT22,16.67248
AT31,17.783686
DK05,17.110193
BE21,18.65774
BE22,18.6047
ES43,26.60351
ES51,22.74679
ES52,25.029627
ES53,26.320032
ES61,26.442774
ES62,26.03448
ES63,23.460993
ES64,27.11001
CH02,16.254267
CH03,18.917658
CH04,18.614801
CH05,14.178583
CH06,15.243433
CH07,16.6094
CY00,28.623407
CZ01,19.510736
CZ02,18.937708
CZ03,17.956324
CZ04,17.779627
CZ05,18.180994
CZ06,19.455347
DE40,19.163202
EL53,22.640223
EL54,23.605463
EL61,25.15008
EL62,26.009699
EL63,25.303766
ES70,22.314508
ITC1,19.217737
ITC2,13.366053
DE11,18.777857
DE12,19.171412
DE13,18.81225
DE14,18.153498
DE21,17.95965
DE22,18.80044
DE23,18.33053
DE24,18.0534
DE25,18.780787
DE26,18.689936
DE27,17.40536
DE30,19.411676
EL42,26.021418
LV00,17.468073
ME00,20.573755
MK00,22.522455
MT00,26.848475
NL11,17.791437
NL12,17.893488
EL64,25.484644
EL65,26.168634
ES11,19.34524
ES12,18.33642
ES13,19.170923
ES21,20.00915
ES22,21.231928
ES23,20.532068
ES24,22.898981
ES30,25.000574
IE05,15.564966
IE06,15.589624
IS00,9.3345585
ITC3,22.382227
FI19,15.523584
FI1B,16.725916
FI1C,16.442194
DEA1,18.734034
DEA2,18.012384
DEA3,18.595942
DEA4,18.182001
DEA5,17.658594
DEB1,18.121515
DEB2,17.679743
DEB3,19.438105
DEC0,18.755823
DED2,18.678858
DED4,17.741022
DED5,19.385096
DEE0,18.89596
DEF0,17.801844
DEG0,18.016687
DK01,17.86706
DK02,17.904657
