nuts,Autumn Mean Temperature (°C) (1981 - 2010)
DE50,9.823084
DE60,9.711359
DE71,9.399897
DE72,8.683741
DE73,8.53927
DE80,9.429895
DE91,9.013514
BG41,9.763788
BG42,11.441919
CH01,4.738092
AT32,4.314264
AT33,2.8750548
AT34,4.4099364
BE10,10.895929
BE23,11.136377
BE24,10.831202
BE25,11.470301
BE31,10.58938
BE32,10.656641
BE33,9.417597
BE34,9.138056
BE35,9.856867
BG31,11.494379
BG32,11.836298
BG33,12.288172
BG34,12.738672
DE92,9.638117
DE93,9.700678
DE94,10.147974
CZ07,8.243006
CZ08,8.182306
AL01,12.387537
AL02,13.522181
AL03,14.068171
AT11,9.890924
AT12,8.722925
AT13,9.978266
AT21,5.9243712
AT22,6.5490355
AT31,7.706537
DK05,9.723413
BE21,10.942957
BE22,10.621149
ES43,16.234674
ES51,13.71084
ES52,16.112879
ES53,19.832819
ES61,17.055933
ES62,16.96084
ES63,18.839746
ES64,20.308954
CH02,6.7882934
CH03,9.424768
CH04,9.124933
CH05,4.433313
CH06,5.8626037
CH07,6.5602965
CY00,21.61703
CZ01,9.032557
CZ02,8.522547
CZ03,7.7307067
CZ04,7.658136
CZ05,7.828485
CZ06,8.678797
DE40,9.421228
EL53,11.712854
EL54,14.015802
EL61,15.510492
EL62,19.44494
EL63,16.451288
ES70,20.954065
ITC1,8.842188
ITC2,3.0070434
DE11,8.981958
DE12,9.486841
DE13,9.181025
DE14,8.5316105
DE21,8.104303
DE22,8.596552
DE23,8.176905
DE24,8.161463
DE25,8.788019
DE26,8.879358
DE27,7.7196593
DE30,9.486567
EL42,20.075006
LV00,6.6431823
ME00,10.553064
MK00,11.19845
MT00,21.691523
NL11,10.40658
NL12,11.339197
EL64,16.391779
EL65,17.672693
ES11,13.250605
ES12,12.467157
ES13,12.97854
ES21,13.559473
ES22,12.749048
ES23,11.818537
ES24,12.670893
ES30,13.509058
IE05,10.692072
IE06,10.238825
IS00,1.6723267
ITC3,13.631525
FI19,4.3161864
FI1B,6.069299
FI1C,5.4699035
DEA1,10.493952
DEA2,9.58877
DEA3,10.211817
DEA4,9.510889
DEA5,9.061853
DEB1,9.084009
DEB2,8.81225
DEB3,9.797815
DEC0,9.474512
DED2,8.789881
DED4,8.034327
DED5,9.644953
DEE0,9.400995
DEF0,9.767786
DEG0,8.466791
DK01,9.803492
DK02,10.016962
DK03,9.675867
DK04,9.519342
ES41,11.936884
ES42,14.239801
HU23,11.047388
HU31,10.002008
HU32,10.950586
HU33,11.257105
IE04,10.371973
EE00,6.5733886
EL30,19.16192
EL41,18.609125
EL43,19.742823
EL51,14.314722
EL52,14.9188175
FI20,8.189844
FR10,11.239069
FRB0,11.698145
FRC1,11.123163
FRC2,10.211237
FRD1,11.791437
FRD2,11.340754
FRE1,11.153162
FRE2,10.91839
FRF1,9.814386
NL13,10.162378
NL21,10.326288
NL22,10.526117
NL23,10.832788
NL31,10.71673
NL32,11.690912
ITG2,17.40545
ITH1,2.9111876
ITH2,6.441797
FRI3,12.879969
FRJ1,12.453119
FRJ2,11.757471
FRK1,10.111109
FRK2,9.195826
FRL0,11.460749
FRM0,16.28921
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,17.205896
TR32,16.74383
TR33,13.363245
HR03,14.021662
HR02,11.443476
HU11,10.6513
HU12,10.561274
HU21,10.588892
HU22,10.667719
PT16,15.34646
PT17,17.38125
FRF2,10.527948
FRF3,9.869318
FRG0,12.395075
FRH0,12.667658
FRI1,13.5559025
FRI2,11.233667
ITC4,10.410669
ITF1,13.01333
ITF2,14.051416
ITF3,15.617151
ITF4,17.432703
ITF5,15.245813
ITF6,17.345575
ITG1,19.061365
LT01,6.5888305
LT02,7.070398
LU00,8.96026
PL22,8.505396
PL41,8.800196
PL42,8.943079
PT18,17.213648
PT20,-273.15
PT30,20.184381
RO11,8.6123295
RO12,7.47384
RO21,8.304285
RO22,11.529657
RO31,10.8996525
RO32,11.694208
ITH3,11.366449
ITH4,10.375788
ITH5,13.508173
ITI1,14.677179
ITI2,13.046137
ITI3,14.204645
ITI4,14.491999
LI00,6.0480895
FI1D,1.6182495
TR82,11.771631
TR83,12.165155
TR90,9.72558
TRA1,7.2144713
TRA2,7.2421813
PL43,9.2026005
PL51,8.461756
PL52,8.935999
PL61,8.381586
PL62,7.8193297
PL63,8.526239
PL71,8.6159
PL72,8.531427
PL81,8.216974
PL82,8.247309
PL84,7.4418273
PL91,8.271936
PL92,8.124262
PT11,13.54867
PT15,18.078669
TRB1,11.569788
TRB2,8.869501
TRC1,16.386072
RS12,11.950586
RS21,10.377802
RS22,10.559656
SE11,7.459436
SE12,6.5561767
NL33,11.276636
NL34,11.406427
NL41,10.848139
NL42,10.6401615
