nuts,Autumn Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,13.323481
DE60,13.249292
DE71,13.0576725
DE72,12.284082
DE73,12.118006
DE80,13.02685
DE91,12.590479
BG41,13.702509
BG42,15.332697
CH01,9.0655155
AT32,8.602961
AT33,7.2939696
AT34,8.852564
BE10,14.325037
BE23,14.509485
BE24,14.256861
BE25,14.788843
BE31,14.036585
BE32,14.089014
BE33,12.931025
BE34,12.716639
BE35,13.392084
BG31,15.353632
BG32,15.793695
BG33,15.998926
BG34,16.480402
DE92,13.153894
DE93,13.220148
DE94,13.563044
CZ07,11.943811
CZ08,11.872614
AL01,16.462
AL02,17.447657
AL03,17.835566
AT11,13.628931
AT12,12.461481
AT13,13.634485
AT21,9.9699955
AT22,10.527338
AT31,11.591883
DK05,13.002771
BE21,14.359827
BE22,14.081781
ES43,20.833094
ES51,17.629023
ES52,20.17663
ES53,23.35296
ES61,21.493006
ES62,21.161524
ES63,21.80276
ES64,23.561365
CH02,10.949701
CH03,13.375116
CH04,13.085688
CH05,8.786524
CH06,10.124933
CH07,10.754999
CY00,25.324915
CZ01,12.822748
CZ02,12.326899
CZ03,11.49441
CZ04,11.420679
CZ05,11.616053
CZ06,12.398737
DE40,13.063929
EL53,15.783197
EL54,17.872126
EL61,19.230494
EL62,22.790674
EL63,20.096033
ES70,23.697718
ITC1,12.997217
ITC2,7.5654235
DE11,12.798151
DE12,13.269617
DE13,13.106287
DE14,12.442652
DE21,12.055384
DE22,12.380487
DE23,11.920923
DE24,11.873163
DE25,12.56222
DE26,12.560907
DE27,11.718348
DE30,13.088892
EL42,23.36703
LV00,10.465143
ME00,14.607752
MK00,15.304529
MT00,25.046076
NL11,13.791651
NL12,14.599604
EL64,20.004206
EL65,21.245813
ES11,16.852503
ES12,16.056238
ES13,16.628351
ES21,17.18368
ES22,16.67901
ES23,15.8528385
ES24,16.861261
ES30,18.117945
IE05,13.5741825
IE06,13.25445
IS00,6.178491
ITC3,17.455286
FI19,8.570337
FI1B,9.95611
FI1C,9.490107
DEA1,13.960108
DEA2,13.09762
DEA3,13.633173
DEA4,13.005091
DEA5,12.56695
DEB1,12.683008
DEB2,12.398188
DEB3,13.540613
DEC0,13.182123
DED2,12.509394
DED4,11.773981
DED5,13.356989
DEE0,13.054804
DEF0,13.279352
DEG0,12.129023
DK01,13.246363
DK02,13.452875
DK03,13.094141
DK04,12.871271
ES41,16.169092
ES42,18.863031
HU23,14.866724
HU31,13.860956
HU32,14.780939
HU33,15.098719
IE04,13.222864
EE00,10.367304
EL30,22.626001
EL41,21.975946
EL43,23.049067
EL51,18.094934
EL52,18.80578
FI20,11.918695
FR10,14.789392
FRB0,15.351618
FRC1,14.8883
FRC2,14.106409
FRD1,15.108149
FRD2,14.729853
FRE1,14.511866
FRE2,14.383661
FRF1,13.674677
NL13,13.583948
NL21,13.697535
NL22,13.912348
NL23,14.183039
NL31,14.090326
NL32,14.956812
ITG2,21.080439
ITH1,7.3305297
ITH2,10.635981
FRI3,16.6188
FRJ1,16.345911
FRJ2,15.774561
FRK1,14.048883
FRK2,13.35467
FRL0,15.531397
FRM0,19.994104
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,21.034418
TR32,20.840693
TR33,17.524317
HR03,17.775843
HR02,15.338831
HU11,14.434137
HU12,14.355097
HU21,14.34466
HU22,14.422571
PT16,19.26449
PT17,20.692957
FRF2,14.187647
FRF3,13.626825
FRG0,15.882471
FRH0,15.828608
FRI1,17.349329
FRI2,15.136499
ITC4,14.5681095
ITF1,16.833918
ITF2,17.862116
ITF3,19.317194
ITF4,21.057642
ITF5,19.080317
ITF6,20.914515
ITG1,22.638361
LT01,10.405695
LT02,10.876917
LU00,12.567163
PL22,12.1688175
PL41,12.545923
PL42,12.592829
PT18,21.19076
PT20,-273.15
PT30,-273.15
RO11,12.514551
RO12,11.4284
RO21,12.238825
RO22,15.389826
RO31,14.967035
RO32,15.871515
