nuts,December Mean Temperature (°C) (1981 - 2010)
DE50,2.4163451
DE60,2.194879
DE71,1.5564209
DE72,1.001001
DE73,0.85250247
DE80,1.6339661
DE91,1.1963745
BG41,-0.058081053
BG42,1.6061035
CH01,-4.6521363
AT32,-5.2370667
AT33,-7.010779
AT34,-5.1347413
BE10,3.9208922
BE23,4.245416
BE24,3.830316
BE25,4.7552733
BE31,3.5962462
BE32,3.7516112
BE33,2.3075194
BE34,1.9763123
BE35,2.8066344
BG31,0.55047
BG32,1.1939636
BG33,2.364862
BG34,2.9932494
DE92,2.0482116
DE93,2.0939574
DE94,2.8686156
CZ07,-1.1367859
CZ08,-1.1751465
AL01,3.3217711
AL02,4.53573
AL03,5.3941283
AT11,0.17302856
AT12,-0.5937866
AT13,0.43432006
AT21,-4.1848207
AT22,-3.0808778
AT31,-1.3633484
DK05,3.112268
BE21,3.9139953
BE22,3.516748
ES43,8.109858
ES51,5.7204223
ES52,8.571009
ES53,13.569391
ES61,9.42547
ES62,9.33465
ES63,14.370874
ES64,13.940882
CH02,-1.7350525
CH03,1.6399475
CH04,1.121759
CH05,-5.2504334
CH06,-2.847052
CH07,-2.7959657
CY00,13.909876
CZ01,0.37368163
CZ02,-0.13840333
CZ03,-0.9351257
CZ04,-0.7922424
CZ05,-1.0832275
CZ06,-0.6269897
DE40,1.1889588
EL53,2.0051818
EL54,5.467706
EL61,6.9909606
EL62,12.845972
EL63,8.65304
ES70,17.987452
ITC1,-0.67548215
ITC2,-7.108496
DE11,1.0114685
DE12,1.5641724
DE13,1.31698
DE14,0.5029541
DE21,-0.5958618
DE22,-0.056677245
DE23,-0.31134644
DE24,-0.034460448
DE25,0.6296936
DE26,0.915979
DE27,-0.629248
DE30,1.1782776
EL42,14.258142
LV00,-2.22901
ME00,1.6751953
MK00,1.1316468
MT00,15.610559
NL11,3.3188415
NL12,4.6488585
EL64,8.366114
EL65,10.134455
ES11,7.896356
ES12,7.0041137
ES13,7.0723815
ES21,7.3145995
ES22,5.4120727
ES23,4.6094604
ES24,4.638147
ES30,4.973657
IE05,6.394403
IE06,5.5646605
IS00,-2.6870484
ITC3,5.989984
FI19,-4.836859
FI1B,-2.578833
FI1C,-3.5094666
DEA1,3.2347045
DEA2,2.3163085
DEA3,2.8514647
DEA4,2.0172668
DEA5,1.6281983
DEB1,1.5855042
DEB2,1.4598938
DEB3,2.009851
DEC0,1.939325
DED2,0.39354858
DED4,-0.22650757
DED5,1.3635803
DEE0,1.2994629
DEF0,2.4097228
DEG0,0.4050232
DK01,2.5981688
DK02,2.731439
DK03,2.570825
DK04,2.6466613
ES41,4.5857177
ES42,5.7414184
HU23,1.0869995
HU31,-0.42664185
HU32,0.28606567
HU33,0.8684937
IE04,5.909143
EE00,-2.0674195
EL30,11.756617
EL41,12.213678
EL43,13.358728
EL51,5.13891
EL52,5.4776855
FI20,1.1365601
FR10,4.177484
FRB0,4.568292
