nuts,December Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,4.199304
DE60,4.073663
DE71,3.2493834
DE72,2.7337584
DE73,2.6512084
DE80,3.573236
DE91,3.1427245
BG41,1.4681946
BG42,2.9582763
CH01,-2.900885
AT32,-3.3960023
AT33,-4.992499
AT34,-3.28089
BE10,5.417047
BE23,5.763208
BE24,5.330011
BE25,6.282251
BE31,5.061914
BE32,5.209924
BE33,3.8601012
BE34,3.433618
BE35,4.2622313
BG31,2.2472167
BG32,2.6659484
BG33,3.7228332
BG34,4.2636046
DE92,3.934198
DE93,4.0039916
DE94,4.5803466
CZ07,0.5676209
CZ08,0.5456482
AL01,4.7148376
AL02,5.807794
AL03,6.6933837
AT11,1.7805115
AT12,1.2560364
AT13,2.1320128
AT21,-2.2328858
AT22,-1.1945862
AT31,0.37304077
DK05,4.8764586
BE21,5.451257
BE22,5.0395446
ES43,9.1418705
ES51,7.0558715
ES52,9.765223
ES53,14.722284
ES61,10.521845
ES62,10.493586
ES63,15.233881
ES64,14.713007
CH02,-0.20725098
CH03,2.9647155
CH04,2.5354552
CH05,-3.3722596
CH06,-1.2386535
CH07,-1.0184997
CY00,15.2078495
CZ01,2.1187377
CZ02,1.6882569
CZ03,0.9500977
CZ04,1.1882263
CZ05,0.7654053
CZ06,1.1583496
DE40,3.1934142
EL53,3.2924438
EL54,6.7199035
EL61,8.17367
EL62,14.012232
EL63,9.779444
ES70,19.185907
ITC1,1.1357056
ITC2,-5.0625367
DE11,2.685266
DE12,3.2239318
DE13,2.816156
DE14,2.0318236
DE21,1.0611206
DE22,1.5771729
DE23,1.4326721
DE24,1.7181946
DE25,2.3298583
DE26,2.6297545
DE27,1.0036255
DE30,3.1873107
EL42,15.394159
LV00,0.5397278
ME00,3.30224
MK00,2.5006042
MT00,16.721827
NL11,4.969934
NL12,6.189264
EL64,9.50387
EL65,11.237452
ES11,8.911341
ES12,8.149286
ES13,8.255396
ES21,8.503199
ES22,6.718225
ES23,5.909448
ES24,5.975244
ES30,6.0856566
IE05,7.636102
IE06,6.811395
IS00,-0.46329346
ITC3,7.5100036
FI19,-2.0098634
FI1B,-0.03821411
FI1C,-0.9681457
DEA1,4.8359313
DEA2,3.9579406
DEA3,4.5505614
DEA4,3.8532958
DEA5,3.3904052
DEB1,3.2498107
DEB2,2.9941344
DEB3,3.6276793
DEC0,3.431085
DED2,2.3184752
DED4,1.7073303
DED5,3.253656
DEE0,3.2801147
DEF0,4.261804
DEG0,2.2621093
DK01,4.456201
DK02,4.5136046
DK03,4.3898253
DK04,4.458429
ES41,5.710626
ES42,6.873529
HU23,2.714929
HU31,1.4147583
HU32,2.1256652
HU33,2.5833678
IE04,7.089746
EE00,0.5822083
EL30,12.886774
EL41,13.370142
EL43,14.398157
EL51,6.3736815
EL52,6.7229247
FI20,3.2627196
FR10,5.5916686
FRB0,5.9489684
FRC1,5.0555053
FRC2,3.8578124
FRD1,6.975244
FRD2,6.248651
FRE1,5.9882445
FRE2,5.4687743
FRF1,3.6051574
NL13,4.723413
NL21,4.8328185
NL22,5.021631
NL23,5.494867
NL31,5.358484
NL32,6.6148314
ITG2,11.688013
ITH1,-5.2394776
ITH2,-1.5705017
FRI3,7.250879
FRJ1,6.4703
FRJ2,5.7431273
FRK1,4.3498473
FRK2,2.3810058
FRL0,4.810327
FRM0,10.959803
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,9.99444
TR32,9.042505
TR33,4.9813476
HR03,7.4186645
HR02,3.2541442
HU11,2.0219054
HU12,1.9330689
HU21,2.1900573
HU22,2.3870177
PT16,9.929041
PT17,13.181757
FRF2,4.561975
FRF3,3.7639403
FRG0,7.19082
FRH0,8.540003
FRI1,7.7681212
FRI2,5.5971007
ITC4,2.2098022
ITF1,6.242883
ITF2,7.439386
ITF3,9.370996
ITF4,11.199121
ITF5,8.573236
ITF6,11.470453
ITG1,13.319666
LT01,-0.20508423
LT02,0.7576233
LU00,3.1482787
PL22,1.0254761
PL41,2.1929564
PL42,2.836328
PT18,11.336664
PT20,-273.15
PT30,-273.15
RO11,0.12191162
RO12,-0.9056152
RO21,-0.38739625
RO22,2.3966918
RO31,1.5132385
RO32,1.8035828
ITH3,3.3470092
ITH4,2.6274657
ITH5,5.8710876
ITI1,8.28689
ITI2,6.0434203
ITI3,7.451013
ITI4,7.8905272
LI00,-1.6565002
FI1D,-5.672583
TR82,3.5147338
TR83,3.6222472
TR90,0.61217654
TRA1,-3.8231568
TRA2,-4.190497
PL43,2.7239623
PL51,1.5572754
PL52,1.7299744
PL61,1.942041
PL62,1.3853394
PL63,2.483148
PL71,1.6465088
PL72,1.3324219
PL81,0.8839356
PL82,0.420343
PL84,0.65453494
PL91,1.3939453
PL92,1.2948853
PT11,7.990747
PT15,13.424799
TRB1,0.29348144
TRB2,-2.322394
TRC1,5.6035705
RS12,3.2810302
RS21,2.0972838
RS22,2.0614867
SE11,1.9353272
SE12,0.78856814
NL33,6.0085998
NL34,6.0815673
NL41,5.346948
NL42,5.0335326
PL21,0.28432617
UKM6,6.4062133
TR22,8.459894
TRC2,5.74801
TRC3,5.9337096
UKC1,5.480005
UKC2,5.4957213
UKD1,5.3357177
UKD3,5.4618163
UKD4,5.747888
UKD6,5.985681
UKD7,6.711328
UKE1,6.203363
UKE2,5.4032226
UKE3,5.6226134
RO41,1.4676148
RO42,1.695398
RS11,3.4878173
TR41,5.1752257
TR42,5.4516845
TR51,3.2332091
TR52,3.3493285
TR61,6.4721007
TR62,6.9049926
TR63,5.7822204
TR71,2.7700438
TR72,0.15892944
TR81,5.0680175
UKK1,6.4899535
UKK2,7.589563
UKK3,9.368189
UKK4,8.029261
UKL1,7.208032
UKL2,5.816644
UKM5,5.3171325
UKM7,4.4382567
UKM8,5.238733
UKM9,5.734857
UKN0,6.7837768
SE21,2.2496276
SE22,3.1426635
SE23,2.1701598
SE31,-1.9494079
SE32,-3.755835
SE33,-6.2193666
SI03,1.9442383
SI04,2.4430175
SK01,2.008081
SK02,1.4391724
SK03,-0.5170654
SK04,-0.26483765
TR10,9.122217
TR21,7.3607116
UKE4,5.257684
UKF1,5.606439
UKF2,5.9238524
UKF3,6.145532
UKG1,5.9158874
UKG2,5.660791
UKG3,5.9159484
UKH1,6.626764
UKH2,6.1769347
UKH3,6.7566466
UKI3,6.4529357
UKI4,6.4529357
UKI5,6.403833
UKI6,6.464929
UKI7,6.3543334
UKJ1,6.137689
UKJ2,7.461084
UKJ3,7.3316283
UKJ4,7.2064147
NO09,-0.70169675
NO0A,-0.21866456
NO0B,-0.14127198
HR05,3.1693358
HR06,3.0129027
NO02,-5.7819886
NO06,-1.7200073
NO07,-4.00141
NO08,-3.1579652
