nuts,February Mean Temperature (°C) (1981 - 2010)
DE50,2.1266723
DE60,1.6632019
DE71,1.374231
DE72,0.628595
DE73,0.4418274
DE80,1.0576416
DE91,0.81929934
BG41,-0.10385742
BG42,1.4392639
CH01,-4.3559937
AT32,-4.736304
AT33,-6.3599916
AT34,-4.77204
BE10,3.558435
BE23,3.8445983
BE24,3.4659667
BE25,4.2353454
BE31,3.249475
BE32,3.4297118
BE33,1.7724243
BE34,1.5261475
BE35,2.4287658
BG31,1.0338684
BG32,1.2897888
BG33,1.842096
BG34,2.5783324
DE92,1.728418
DE93,1.7607056
DE94,2.402124
CZ07,-0.9959167
CZ08,-1.1645874
AL01,2.7488341
AL02,4.043237
AL03,4.7987304
AT11,0.89608157
AT12,-0.19031373
AT13,1.014795
AT21,-3.5139527
AT22,-2.4830384
AT31,-1.1431335
DK05,1.7112061
BE21,3.541284
BE22,3.1366515
ES43,8.685694
ES51,6.0120177
ES52,8.694971
ES53,12.132776
ES61,9.676722
ES62,9.567987
ES63,13.489283
ES64,13.700769
CH02,-1.7377685
CH03,1.5364624
CH04,0.9223877
CH05,-5.0121217
CH06,-2.974341
CH07,-2.671515
CY00,12.171595
CZ01,0.3692871
CZ02,-0.15604249
CZ03,-1.0531067
CZ04,-0.9931396
CZ05,-1.078833
CZ06,-0.35584107
DE40,1.0563294
EL53,1.8353516
EL54,4.8194823
EL61,6.156976
EL62,11.261774
EL63,7.4832397
ES70,16.618952
ITC1,-0.07056274
ITC2,-6.576056
DE11,0.7434021
DE12,1.3320252
DE13,1.0584961
DE14,0.15200195
DE21,-0.45789185
DE22,-0.019781495
DE23,-0.4786133
DE24,-0.3369507
DE25,0.44579467
DE26,0.7090088
DE27,-0.73035276
DE30,1.097284
EL42,12.430841
LV00,-3.9344544
ME00,1.0767761
MK00,1.3019043
MT00,13.530146
NL11,2.6703124
NL12,3.384912
EL64,7.203546
EL65,8.659937
ES11,7.636682
ES12,6.522882
ES13,6.709802
ES21,7.110803
ES22,5.6504455
ES23,4.741693
ES24,5.1190734
ES30,5.641107
