nuts,February Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,5.1260924
DE60,4.6687865
DE71,4.430658
DE72,3.7072692
DE73,3.5674682
DE80,4.0960326
DE91,3.9395995
BG41,4.625879
BG42,5.795526
CH01,-0.16330567
AT32,-0.6832336
AT33,-2.1510377
AT34,-0.7121948
BE10,6.2781615
BE23,6.5039
BE24,6.1989074
BE25,6.818048
BE31,5.9704223
BE32,6.1211486
BE33,4.562555
BE34,4.2594543
BE35,5.1526732
BG31,5.564935
BG32,5.708917
BG33,5.990106
BG34,6.8233275
DE92,4.7623534
DE93,4.8037963
DE94,5.2788634
CZ07,3.2309813
CZ08,2.9171996
AL01,7.0423827
AL02,8.047724
AL03,8.626123
AT11,4.8048034
AT12,3.583734
AT13,4.5723205
AT21,1.3193299
AT22,1.6534668
AT31,2.9035277
DK05,4.446649
BE21,6.253961
BE22,5.9226317
ES43,11.164515
ES51,8.850916
ES52,11.463465
ES53,14.562708
ES61,12.158564
ES62,12.3996525
ES63,15.317896
ES64,15.859095
CH02,2.141687
CH03,4.9789367
CH04,4.6453185
CH05,-0.6134094
CH06,1.0866028
CH07,1.9300781
CY00,15.77865
CZ01,3.8603148
CZ02,3.583612
CZ03,2.92135
CZ04,2.9640136
CZ05,2.9434142
CZ06,3.6809936
DE40,4.174768
EL53,6.345941
EL54,8.638269
EL61,10.087397
EL62,14.309595
EL63,10.952936
ES70,18.6477
ITC1,4.0492187
ITC2,-2.0759645
DE11,3.900476
DE12,4.409906
DE13,4.671594
DE14,3.9000487
DE21,3.305841
DE22,3.9100585
DE23,3.2763915
DE24,3.1613402
DE25,3.760614
DE26,3.8142638
DE27,2.9539733
DE30,4.222223
EL42,15.881159
LV00,0.29659423
ME00,5.439447
MK00,6.042627
MT00,16.451136
NL11,5.3994994
NL12,5.942224
EL64,11.092463
EL65,12.300013
ES11,9.920069
ES12,8.907007
ES13,9.050043
ES21,9.403345
ES22,8.137476
ES23,7.3815856
ES24,7.9039245
ES30,8.171137
IE05,7.9324584
IE06,7.3946166
IS00,2.0686889
ITC3,8.569147
FI19,-2.3546205
FI1B,-1.1457886
FI1C,-1.6871399
DEA1,5.6784606
DEA2,4.6434875
DEA3,5.4122863
DEA4,4.6153197
DEA5,4.0165954
DEB1,4.1136107
DEB2,3.8671508
DEB3,4.8358703
DEC0,4.570001
DED2,3.6152282
DED4,3.0155272
DED5,4.4001403
DEE0,4.235864
DEF0,4.5320373
DEG0,3.352594
DK01,3.9228454
DK02,4.1174254
DK03,4.185785
DK04,4.1706176
ES41,7.317529
ES42,8.998865
HU23,5.531091
HU31,5.0537047
HU32,5.379907
HU33,5.5161986
IE04,7.6535583
EE00,-0.35440674
EL30,13.924189
EL41,14.161982
EL43,14.911768
EL51,8.406214
EL52,9.329615
FI20,1.2441345
FR10,6.7185607
FRB0,7.116052
FRC1,6.17547
FRC2,5.478082
FRD1,7.5158324
FRD2,6.997644
FRE1,6.64895
FRE2,6.4299254
FRF1,4.9288573
NL13,5.3866515
NL21,5.5546203
NL22,5.7923217
NL23,5.877771
NL31,5.944818
NL32,6.2817626
ITG2,12.097712
ITH1,-1.9431213
ITH2,1.7786194
FRI3,8.329615
FRJ1,7.745935
FRJ2,7.207971
FRK1,5.697778
FRK2,4.5151305
FRL0,6.554956
FRM0,11.194971
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,11.477625
TR32,10.676172
TR33,7.1448607
HR03,8.472254
HR02,5.9011474
HU11,5.3423095
HU12,5.2660155
HU21,5.2171874
HU22,5.4963927
PT16,11.455347
PT17,14.043146
FRF2,5.7167296
FRF3,4.8978515
FRG0,8.011194
FRH0,8.777918
FRI1,9.06753
FRI2,6.777246
ITC4,4.9023376
ITF1,7.3579955
ITF2,8.453089
ITF3,10.127924
ITF4,12.05459
ITF5,9.659388
ITF6,11.945826
ITG1,13.577631
LT01,0.8348328
LT02,1.1338135
LU00,4.0394835
PL22,3.076715
PL41,3.4181762
PL42,3.4809813
PT18,12.921625
PT20,-273.15
PT30,-273.15
RO11,3.1343322
RO12,2.2749267
RO21,2.5756164
RO22,4.7711425
RO31,4.8058715
RO32,5.47973
ITH3,5.769403
ITH4,5.101129
ITH5,7.7574096
ITI1,9.239161
ITI2,7.2483153
ITI3,8.353724
ITI4,8.921289
LI00,0.709375
FI1D,-4.805121
TR82,5.919763
TR83,6.0755553
TR90,2.5407958
TRA1,-1.6044067
TRA2,-2.1227174
PL43,3.8453612
PL51,3.1791625
PL52,3.560968
PL61,3.0320983
PL62,2.1840148
PL63,2.9264464
PL71,3.0335631
PL72,3.03515
PL81,2.631494
PL82,2.7587523
PL84,1.875177
PL91,2.7292418
PL92,2.6236205
PT11,9.643366
PT15,14.1783695
TRB1,2.9790893
TRB2,0.23494872
TRC1,7.996057
RS12,6.1544127
RS21,5.1447387
RS22,5.347223
SE11,1.6678711
SE12,0.92052615
NL33,6.2646728
NL34,6.5192504
NL41,6.1130004
NL42,5.9065795
PL21,2.5415893
UKM6,6.8924193
TR22,9.662653
TRC2,8.421106
TRC3,8.987909
UKC1,6.2461486
UKC2,6.3420653
UKD1,5.990991
UKD3,6.121515
UKD4,6.28396
UKD6,6.5397887
UKD7,7.081262
UKE1,6.7652526
UKE2,6.1164184
UKE3,6.2732177
RO41,4.9294677
RO42,4.5871825
RS11,6.6892333
TR41,7.2742553
TR42,7.2083373
TR51,6.3732543
TR52,5.8468566
TR61,8.186518
TR62,8.883142
TR63,8.130671
TR71,5.9679503
TR72,3.4109435
TR81,6.6157165
UKK1,6.8668456
UKK2,7.6300597
UKK3,9.179468
UKK4,8.023554
UKL1,7.2828
UKL2,6.2031493
UKM5,6.232019
UKM7,5.6751647
UKM8,6.4059386
UKM9,6.5042357
UKN0,7.378198
SE21,2.174829
SE22,2.8247924
SE23,1.8105408
SE31,-0.78748167
SE32,-2.2597718
SE33,-4.8178163
SI03,4.5589232
SI04,4.742273
SK01,5.073175
SK02,4.6787963
SK03,2.5782104
SK04,3.0739684
TR10,9.45141
TR21,8.724756
UKE4,5.9691405
UKF1,6.209192
UKF2,6.464166
UKF3,6.701532
UKG1,6.4138427
UKG2,6.1949096
UKG3,6.4413085
UKH1,6.824487
UKH2,6.6455016
UKH3,6.957422
UKI3,6.873651
UKI4,6.873651
UKI5,6.8177733
UKI6,6.841211
UKI7,6.760492
UKJ1,6.551477
UKJ2,7.361444
UKJ3,7.385278
UKJ4,7.2431273
NO09,0.17974243
NO0A,0.67778933
NO0B,3.1081176
HR05,6.2973266
HR06,6.018823
NO02,-3.4141603
NO06,-0.6070312
NO07,-2.4768739
NO08,-1.4239258
