nuts,January Mean Temperature (°C) (1981 - 2010)
DE50,1.8132874
DE60,1.4209534
DE71,0.619043
DE72,0.075524904
DE73,-0.05899658
DE80,0.7045227
DE91,0.4128662
BG41,-1.3502563
BG42,0.27077636
CH01,-5.5260377
AT32,-6.119147
AT33,-7.85401
AT34,-6.163031
BE10,3.2440734
BE23,3.582666
BE24,3.139337
BE25,4.086023
BE31,2.9055114
BE32,3.0962157
BE33,1.4900147
BE34,1.1269776
BE35,2.0736327
BG31,-0.6442932
BG32,-0.24695435
BG33,0.7992188
BG34,1.5242554
DE92,1.3595825
DE93,1.4045044
DE94,2.2002807
CZ07,-2.281073
CZ08,-2.3012757
AL01,2.0120177
AL02,3.2682433
AL03,4.240045
AT11,-0.81296384
AT12,-1.4938415
AT13,-0.4505066
AT21,-5.185187
AT22,-4.051398
AT31,-2.3812623
DK05,1.9868103
BE21,3.2512755
BE22,2.7785277
ES43,7.092401
ES51,4.983026
ES52,7.70437
ES53,12.313776
ES61,8.327234
ES62,8.419062
ES63,13.269159
ES64,12.75271
CH02,-2.7099977
CH03,0.7039429
CH04,0.058343507
CH05,-6.327643
CH06,-3.8165345
CH07,-3.8035645
CY00,12.226099
CZ01,-0.7154907
CZ02,-1.1779236
CZ03,-1.9859375
CZ04,-1.7977661
CZ05,-2.1092286
CZ06,-1.6561035
DE40,0.3361145
EL53,0.8107544
EL54,4.323236
EL61,5.7003417
EL62,11.557062
EL63,7.346124
ES70,16.745142
ITC1,-1.386206
ITC2,-7.774695
DE11,-0.053045653
DE12,0.4984375
DE13,0.23912963
DE14,-0.63727415
DE21,-1.6228698
DE22,-1.1121277
DE23,-1.4055237
DE24,-1.0644287
DE25,-0.41516724
DE26,-0.07401123
DE27,-1.7063049
DE30,0.34298095
EL42,12.851465
LV00,-3.478125
ME00,0.367395
MK00,-0.08850708
MT00,14.024805
NL11,2.6189818
NL12,3.6633239
EL64,6.997064
EL65,8.702906
ES11,7.0276732
ES12,6.111505
ES13,6.210565
ES21,6.6081786
ES22,4.7384887
ES23,3.8464904
ES24,3.951593
ES30,4.0772643
IE05,5.9733214
IE06,5.262384
IS00,-3.013556
ITC3,5.0754333
FI19,-6.831763
FI1B,-4.8288636
FI1C,-5.6337647
DEA1,2.5049376
DEA2,1.4688965
DEA3,2.1958861
DEA4,1.2578064
DEA5,0.74483645
DEB1,0.67693484
DEB2,0.54448855
DEB3,1.072107
DEC0,0.9934937
DED2,-0.57202756
DED4,-1.1406921
DED5,0.5672852
DEE0,0.5548035
DEF0,1.5347534
DEG0,-0.51175535
DK01,1.3296143
DK02,1.5089966
DK03,1.5721375
DK04,1.5988098
ES41,3.7048278
ES42,4.8608947
HU23,-0.115148924
HU31,-1.5062927
HU32,-1.0178589
HU33,-0.39700928
IE04,5.5976806
EE00,-3.6969361
EL30,10.213221
EL41,10.807062
EL43,11.819666
EL51,3.7920775
EL52,4.2799926
FI20,-1.0856994
FR10,3.5774474
FRB0,3.9994445
FRC1,2.8312316
FRC2,1.5121094
FRD1,5.100763
FRD2,4.2695556
FRE1,3.8604064
FRE2,3.4070373
FRF1,1.1012207
NL13,2.4513488
NL21,2.570581
NL22,2.7882323
NL23,3.1769347
NL31,3.115991
NL32,4.0785766
ITG2,9.290491
ITH1,-8.491095
ITH2,-5.1224732
FRI3,5.3528686
FRJ1,4.283014
FRJ2,3.5949645
FRK1,2.0849547
FRK2,-0.0920166
FRL0,2.3426452
FRM0,8.462519
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,7.47207
TR32,6.4672484
TR33,2.1732116
