nuts,January Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,5.1575866
DE60,4.8343444
DE71,4.3729796
DE72,3.8602538
DE73,3.7338195
DE80,4.2386413
DE91,4.186334
BG41,3.2549987
BG42,4.2195067
CH01,-1.0673584
AT32,-1.5447143
AT33,-3.250708
AT34,-1.4164184
BE10,6.3030334
BE23,6.567987
BE24,6.2319274
BE25,6.977716
BE31,5.996576
BE32,6.1057982
BE33,4.7442565
BE34,4.366113
BE35,5.2202697
BG31,3.5577025
BG32,3.7947326
BG33,4.6401
BG34,5.2120605
DE92,4.8683105
DE93,4.895166
DE94,5.425012
CZ07,2.4071898
CZ08,2.3359313
AL01,5.7930846
AL02,6.858148
AL03,7.6661315
AT11,3.5286193
AT12,3.012567
AT13,3.7879882
AT21,-0.30325928
AT22,0.87575686
AT31,2.1545959
DK05,5.1264586
BE21,6.3371825
BE22,5.968469
ES43,9.9107
ES51,8.060114
ES52,10.746729
ES53,14.99444
ES61,11.105768
ES62,11.474756
ES63,15.35528
ES64,15.366846
CH02,1.6230713
CH03,4.4214416
CH04,4.0532775
CH05,-1.5087036
CH06,0.7476746
CH07,0.931543
CY00,15.534845
CZ01,3.6980834
CZ02,3.2289367
CZ03,2.445581
CZ04,2.5873656
CZ05,2.3173156
CZ06,2.8255248
DE40,4.2144713
EL53,4.924066
EL54,7.7281737
EL61,9.342646
EL62,14.425989
EL63,10.439661
ES70,19.075586
ITC1,3.1513305
ITC2,-3.2053895
DE11,3.7918944
DE12,4.2469726
DE13,4.1744933
DE14,3.4646544
DE21,2.8575988
DE22,3.1369262
DE23,2.8212829
DE24,2.991754
DE25,3.530023
DE26,3.7882934
DE27,2.651483
DE30,4.221826
EL42,15.917383
LV00,1.0703064
ME00,4.6689086
MK00,4.06817
MT00,17.095697
NL11,5.69082
NL12,6.5995116
EL64,10.407587
EL65,11.843317
ES11,9.62356
ES12,8.969843
ES13,8.988825
ES21,9.328577
ES22,7.683313
ES23,6.8370605
ES24,7.045099
ES30,7.015405
IE05,8.22381
IE06,7.650415
IS00,0.72368777
ITC3,8.739801
FI19,-1.6822265
FI1B,-0.029577637
FI1C,-0.68137205
DEA1,5.791864
DEA2,4.813226
DEA3,5.5414367
DEA4,4.756494
DEA5,4.2889647
DEB1,4.213922
DEB2,3.9190307
DEB3,4.6510863
DEC0,4.3858886
DED2,3.4926085
DED4,2.969934
DED5,4.426782
DEE0,4.405206
DEF0,4.786432
DEG0,3.4998412
DK01,4.6177
DK02,4.7162414
DK03,4.736322
DK04,4.764154
ES41,6.620691
ES42,7.7836547
HU23,4.077539
HU31,3.4303832
HU32,3.4808898
HU33,3.77099
IE04,7.8643126
EE00,0.94484866
EL30,13.406855
EL41,14.0064945
EL43,14.833857
EL51,7.3442626
EL52,7.914697
FI20,2.8681884
FR10,6.55401
FRB0,6.9640136
FRC1,6.055017
FRC2,5.0396667
FRD1,7.819635
FRD2,7.095636
FRE1,6.760492
FRE2,6.3719726
FRF1,4.730188
NL13,5.610498
NL21,5.7706237
NL22,5.9680114
NL23,6.245935
NL31,6.205713
NL32,6.989679
ITG2,12.400965
ITH1,-3.8817506
ITH2,-0.19376221
FRI3,8.186914
FRJ1,7.4728026
FRJ2,6.6814513
FRK1,5.3987975
FRK2,3.8907104
FRL0,6.246179
FRM0,11.64065
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,10.655909
TR32,9.806543
TR33,5.588983
HR03,8.418879
HR02,4.65249
HU11,3.6855712
HU12,3.6088195
HU21,3.6219115
HU22,3.8809752
PT16,10.692926
PT17,13.805231
FRF2,5.62301
FRF3,4.8039794
FRG0,8.13302
