nuts,July Mean Temperature (°C) (1981 - 2010)
DE50,17.68783
DE60,17.591822
DE71,18.55282
DE72,17.430689
DE73,17.178125
DE80,17.927912
DE91,17.677485
BG41,19.477808
BG42,21.269312
CH01,13.844416
AT32,13.438379
AT33,11.940149
AT34,13.303888
BE10,18.196466
BE23,18.08047
BE24,18.210901
BE25,17.808435
BE31,17.948328
BE32,17.870752
BE33,17.126001
BE34,17.162043
BE35,17.481379
BG31,22.455835
BG32,22.44024
BG33,22.210077
BG34,22.470331
DE92,17.99447
DE93,17.955378
DE94,17.619959
CZ07,18.141504
CZ08,17.859766
AL01,21.119745
AL02,22.09347
AL03,22.344599
AT11,20.349512
AT12,18.765589
AT13,20.448633
AT21,15.323603
AT22,16.126612
AT31,17.193964
DK05,16.394129
BE21,18.327234
BE22,18.269403
ES43,25.4479
ES51,21.787409
ES52,23.899408
ES53,24.592829
ES61,25.306635
ES62,24.794123
ES63,22.136255
ES64,25.70202
CH02,15.723688
CH03,18.47494
CH04,18.118189
CH05,13.487024
CH06,14.609674
CH07,15.867701
CY00,27.167536
CZ01,18.951075
CZ02,18.350794
CZ03,17.399408
CZ04,17.325373
CZ05,17.591547
CZ06,18.840296
DE40,18.844385
EL53,21.500757
EL54,22.388971
EL61,24.079279
EL62,24.11181
EL63,23.884119
ES70,21.015985
ITC1,18.539545
ITC2,12.711176
DE11,18.304834
DE12,18.740442
DE13,18.35882
DE14,17.662043
DE21,17.459833
DE22,18.296137
DE23,17.835749
DE24,17.563807
DE25,18.325098
DE26,18.176752
DE27,16.911951
DE30,19.030207
EL42,24.28158
LV00,17.608027
ME00,19.336664
MK00,21.26156
MT00,24.826807
NL11,17.185999
NL12,16.897303
EL64,24.479486
EL65,24.841455
ES11,18.13775
ES12,17.124964
ES13,17.909266
ES21,18.634485
ES22,20.067621
ES23,19.321314
ES24,21.968622
ES30,24.031885
IE05,15.112635
IE06,15.310663
IS00,8.774958
ITC3,21.220514
FI19,16.52981
FI1B,17.202997
