nuts,July Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,18.942438
DE60,19.07281
DE71,20.088282
DE72,18.971277
DE73,18.748255
DE80,19.498285
DE91,19.28988
BG41,21.37411
BG42,23.313929
CH01,15.838007
AT32,15.386499
AT33,13.923243
AT34,15.386988
BE10,19.429834
BE23,19.253382
BE24,19.46139
BE25,18.952082
BE31,19.224085
BE32,19.125696
BE33,18.488337
BE34,18.568567
BE35,18.83224
BG31,24.411036
BG32,24.476038
BG33,24.127283
BG34,24.50097
DE92,19.449976
DE93,19.417048
DE94,18.85583
CZ07,19.976007
CZ08,19.603724
AL01,23.073633
AL02,23.981531
AL03,24.192438
AT11,22.158472
AT12,20.55575
AT13,22.263117
AT21,17.217524
AT22,17.958094
AT31,19.006342
DK05,17.652613
BE21,19.536036
BE22,19.566065
ES43,27.169123
ES51,23.524805
ES52,25.620417
ES53,26.005426
ES61,26.879663
ES62,26.483362
ES63,23.121943
ES64,26.742182
CH02,17.629023
CH03,20.133204
CH04,19.821955
CH05,15.500879
CH06,16.626917
CH07,17.77102
CY00,28.706476
CZ01,20.806849
CZ02,20.215235
CZ03,19.2149
CZ04,19.06872
CZ05,19.413263
CZ06,20.681025
DE40,20.417048
EL53,23.428675
EL54,24.266962
EL61,26.04281
EL62,25.836664
EL63,25.818598
ES70,21.627008
ITC1,20.400568
ITC2,14.616114
DE11,19.892115
DE12,20.30279
DE13,19.985132
DE14,19.316065
DE21,19.186762
DE22,20.088709
DE23,19.616114
DE24,19.290277
DE25,20.005762
DE26,19.807764
DE27,18.674768
DE30,20.549067
EL42,25.818262
LV00,19.127161
ME00,21.33639
MK00,23.205439
MT00,26.310083
NL11,18.34649
NL12,18.082514
EL64,26.4154
EL65,26.756617
ES11,19.571009
ES12,18.52981
ES13,19.306818
ES21,19.995966
ES22,21.625238
ES23,20.985987
ES24,23.941248
ES30,26.001917
IE05,16.16192
IE06,16.399012
IS00,10.329462
ITC3,23.015192
FI19,18.018763
FI1B,18.71792
FI1C,18.642603
DEA1,19.758142
DEA2,19.003748
DEA3,19.565638
DEA4,19.20025
DEA5,18.651758
DEB1,19.1737
DEB2,18.777796
DEB3,20.553308
DEC0,19.910456
DED2,19.97384
DED4,18.953821
DED5,20.641016
DEE0,20.171381
DEF0,18.697565
DEG0,19.182856
DK01,18.58288
DK02,18.655909
DK03,18.034174
DK04,17.649012
ES41,22.113855
ES42,26.553766
HU23,23.411615
HU31,23.020624
HU32,23.877954
HU33,23.978296
IE04,15.670832
EE00,19.022638
EL30,27.909418
EL41,26.153772
EL43,26.44845
EL51,25.656153
EL52,26.449793
FI20,18.0263
FR10,20.640436
FRB0,21.216516
FRC1,21.358942
FRC2,20.77505
FRD1,18.880701
FRD2,19.097773
FRE1,18.879084
FRE2,19.648249
FRF1,20.60351
NL13,18.566858
NL21,18.984522
NL22,19.249262
NL23,18.709223
NL31,18.89895
NL32,18.191523
ITG2,25.636774
ITH1,14.108057
ITH2,17.359644
FRI3,21.72857
FRJ1,22.369898
FRJ2,21.337885
FRK1,20.084528
FRK2,20.232752
FRL0,21.91427
FRM0,24.45373
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,27.87237
TR32,27.678492
TR33,25.403162
HR03,24.23083
HR02,23.538813
HU11,23.603724
HU12,23.48318
HU21,23.116785
HU22,23.047968
PT16,22.96026
PT17,22.006433
FRF2,20.385828
FRF3,20.186426
FRG0,20.581354
FRH0,18.73791
FRI1,22.139246
FRI2,20.629816
ITC4,22.29046
ITF1,23.329004
ITF2,24.260553
ITF3,24.763727
ITF4,26.938898
ITF5,25.49853
ITF6,25.45321
ITG1,26.240961
LT01,19.39297
LT02,19.329828
LU00,18.789118
PL22,20.113337
PL41,20.358942
PL42,19.605646
PT18,25.012506
PT20,-273.15
PT30,-273.15
RO11,20.866785
RO12,19.610285
RO21,21.17489
RO22,24.345362
RO31,23.952753
RO32,25.244745
ITH3,22.64651
ITH4,21.546839
ITH5,24.9938
ITI1,24.458002
ITI2,24.087885
ITI3,24.67721
ITI4,24.31283
LI00,16.623102
FI1D,16.822596
TR82,22.40774
TR83,22.770136
TR90,20.00915
TRA1,20.238276
TRA2,18.00036
PL43,20.676416
PL51,19.906122
PL52,20.58764
PL61,19.813318
PL62,19.373957
PL63,19.046656
PL71,20.51089
PL72,20.605494
PL81,20.611872
PL82,20.260523
PL84,19.850977
PL91,20.42132
PL92,20.221155
PT11,21.935755
PT15,23.663416
TRB1,26.033411
TRB2,24.382074
TRC1,30.270807
RS12,24.39541
RS21,22.078028
RS22,22.892145
SE11,18.415796
SE12,18.432337
NL33,18.779963
NL34,19.097223
NL41,19.496546
NL42,19.66067
PL21,19.50271
UKM6,13.870325
TR22,25.694513
TRC2,32.709282
TRC3,33.125023
UKC1,16.020716
UKC2,15.709009
UKD1,15.647211
UKD3,16.677027
UKD4,16.388666
UKD6,17.16842
UKD7,17.156763
UKE1,17.289026
UKE2,16.349298
UKE3,17.323603
RO41,23.795801
RO42,22.126032
RS11,24.435907
TR41,24.59707
TR42,23.047693
TR51,25.139093
TR52,25.354425
TR61,25.82464
TR62,26.196222
TR63,26.71795
TR71,25.391108
TR72,22.506311
TR81,22.152735
UKK1,17.966852
UKK2,17.66894
UKK3,17.280207
UKK4,17.195307
UKL1,16.454645
UKL2,16.679468
UKM5,14.519373
UKM7,14.72793
UKM8,15.306635
UKM9,15.219965
UKN0,15.519098
SE21,18.152826
SE22,18.225458
SE23,18.016993
SE31,17.234735
SE32,15.5750675
SE33,15.264521
SI03,21.643274
SI04,21.32693
SK01,22.712915
SK02,21.900629
SK03,19.40069
SK04,20.084742
TR10,25.498957
TR21,26.042871
UKE4,16.645105
UKF1,17.417963
UKF2,18.0451
UKF3,17.945581
UKG1,17.693354
UKG2,17.102564
UKG3,17.80279
UKH1,17.99032
UKH2,18.395746
UKH3,18.42721
UKI3,18.713068
UKI4,18.713068
UKI5,18.607141
UKI6,18.5805
UKI7,18.517115
UKJ1,18.173853
UKJ2,18.1271
UKJ3,18.125483
UKJ4,18.369684
NO09,15.673975
NO0A,13.792444
NO0B,6.34469
HR05,23.712
HR06,23.33883
NO02,14.307581
NO06,14.123896
NO07,13.361841
NO08,15.951319
