nuts,June Mean Temperature (°C) (1981 - 2010)
DE50,15.3501835
DE60,15.151575
DE71,16.340845
DE72,15.260187
DE73,14.958979
DE80,15.34054
DE91,15.309412
BG41,17.44134
BG42,19.021143
CH01,11.238001
AT32,11.273859
AT33,9.585718
AT34,11.037622
BE10,15.975672
BE23,15.839319
BE24,15.99029
BE25,15.503046
BE31,15.729975
BE32,15.637171
BE33,14.936762
BE34,14.981867
BE35,15.283136
BG31,20.330103
BG32,20.39596
BG33,20.00088
BG34,20.16778
DE92,15.601221
DE93,15.5533695
DE94,15.266443
CZ07,16.064386
CZ08,15.7955265
AL01,18.614283
AL02,19.50686
AL03,19.70547
AT11,18.236261
AT12,16.695887
AT13,18.228998
AT21,13.235071
AT22,14.188562
AT31,15.2474
DK05,13.897028
BE21,16.0935
BE22,16.043238
ES43,22.2763
ES51,18.912256
ES52,20.945856
ES53,21.603693
ES61,22.164179
ES62,21.856958
ES63,20.017511
ES64,23.062952
CH02,13.345758
CH03,16.318323
CH04,15.994074
CH05,11.130457
CH06,12.222223
CH07,13.351557
CY00,24.517023
CZ01,16.715662
CZ02,16.197596
CZ03,15.372217
CZ04,15.125299
CZ05,15.476892
CZ06,16.709131
DE40,16.446985
EL53,19.038446
EL54,19.748438
EL61,21.802881
EL62,21.752954
EL63,21.336573
ES70,19.697382
ITC1,15.753778
ITC2,9.862848
DE11,16.151575
DE12,16.551844
DE13,16.213068
DE14,15.606073
DE21,15.416468
DE22,16.301569
DE23,15.786707
DE24,15.407557
DE25,16.180567
DE26,15.985651
DE27,14.831812
DE30,16.63421
EL42,22.213343
LV00,14.995142
ME00,16.92425
MK00,18.867273
MT00,21.950525
NL11,14.825342
NL12,14.431482
EL64,22.316217
EL65,22.346704
ES11,16.216578
ES12,15.1028385
ES13,15.769739
ES21,16.51983
ES22,17.650263
ES23,16.74856
ES24,18.988703
ES30,20.456293
IE05,13.410944
IE06,13.560083
IS00,6.6569457
ITC3,18.382318
FI19,13.676966
FI1B,13.61828
FI1C,14.045008
DEA1,16.162714
DEA2,15.409693
DEA3,15.962702
DEA4,15.442713
DEA5,15.026026
DEB1,15.509516
DEB2,15.122492
DEB3,16.770258
DEC0,16.15368
DED2,16.03924
DED4,15.035181
DED5,16.5617
DEE0,16.083338
DEF0,14.7738285
DEG0,15.189051
DK01,14.218927
DK02,14.582148
DK03,14.226099
DK04,13.932825
ES41,17.508295
ES42,21.007837
HU23,19.641382
HU31,19.041834
HU32,20.001307
HU33,20.106104
IE04,13.133905
EE00,14.494349
EL30,23.74734
EL41,22.387842
EL43,22.755884
EL51,21.03158
EL52,22.01037
FI20,11.771051
FR10,16.769709
FRB0,17.392176
FRC1,17.444666
FRC2,16.778406
FRD1,15.499842
FRD2,15.551233
FRE1,15.372187
FRE2,15.940271
FRF1,16.786402
NL13,15.116205
NL21,15.498835
NL22,15.774103
NL23,15.227747
NL31,15.4830265
NL32,14.561121
ITG2,20.859797
ITH1,9.753687
ITH2,13.183496
FRI3,18.077662
FRJ1,17.92718
FRJ2,17.155298
FRK1,16.037226
FRK2,15.693781
FRL0,17.221766
FRM0,19.68316
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,23.265467
TR32,22.590235
TR33,20.284845
HR03,19.73916
HR02,19.672022
HU11,19.522577
HU12,19.407465
HU21,19.161188
HU22,19.148859
PT16,19.266932
PT17,19.35647
FRF2,16.561945
FRF3,16.38766
FRG0,17.080103
FRH0,15.4708805
FRI1,18.49093
FRI2,16.852076
ITC4,17.789545
ITF1,18.608973
ITF2,19.59234
ITF3,20.040064
ITF4,22.240717
ITF5,20.764734
ITF6,20.949335
ITG1,21.788233
LT01,15.6027775
LT02,15.332941
LU00,15.125544
PL22,16.288355
PL41,16.52389
PL42,15.537897
PT18,21.294764
PT20,-273.15
PT30,19.080774
RO11,17.189081
RO12,15.884638
RO21,17.565882
RO22,20.27215
RO31,20.047968
RO32,21.269312
ITH3,18.32403
ITH4,17.356012
ITH5,20.494379
ITI1,19.711542
ITI2,19.085077
ITI3,20.06988
ITI4,19.431665
LI00,12.612818
FI1D,12.423304
TR82,17.52865
TR83,18.05282
TR90,15.123529
TRA1,13.990381
TRA2,14.291468
PL43,16.82931
PL51,16.105371
PL52,16.692896
PL61,15.934839
PL62,15.49029
PL63,14.949091
PL71,16.617365
PL72,16.726923
PL81,16.848108
PL82,16.51681
PL84,15.983973
PL91,16.575312
PL92,16.365198
PT11,18.052546
PT15,20.494898
TRB1,19.113214
TRB2,16.223566
TRC1,24.037745
