nuts,June Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,16.743097
DE60,16.551752
DE71,17.887445
DE72,16.741022
DE73,16.393732
DE80,16.825953
DE91,16.746271
BG41,19.363398
BG42,20.855616
CH01,13.271265
AT32,13.406244
AT33,11.736902
AT34,13.305414
BE10,17.39602
BE23,17.249018
BE24,17.422235
BE25,16.90838
BE31,17.16305
BE32,17.076319
BE33,16.379023
BE34,16.489283
BE35,16.751734
BG31,22.282312
BG32,22.25976
BG33,21.774988
BG34,21.919794
DE92,16.975428
DE93,16.955103
DE94,16.653955
CZ07,17.977167
CZ08,17.621912
AL01,20.606562
AL02,21.497004
AL03,21.658503
AT11,20.07818
AT12,18.536036
AT13,20.093317
AT21,15.267359
AT22,16.116693
AT31,17.121576
DK05,15.188959
BE21,17.510218
BE22,17.484034
ES43,24.310572
ES51,20.712702
ES52,22.652796
ES53,22.954096
ES61,23.894434
ES62,23.454004
ES63,20.84936
ES64,24.155603
CH02,15.268061
CH03,18.151758
CH04,17.858362
CH05,13.327173
CH06,14.223597
CH07,15.471155
CY00,26.271692
CZ01,18.29159
CZ02,17.821833
CZ03,17.058802
CZ04,16.692957
CZ05,17.132654
CZ06,18.56402
DE40,17.926783
EL53,20.9826
EL54,21.738947
EL61,23.65594
EL62,23.490137
EL63,23.319635
ES70,20.458399
ITC1,17.738
ITC2,11.845301
DE11,17.777979
DE12,18.216486
DE13,17.986322
DE14,17.38128
DE21,17.276575
DE22,18.015467
DE23,17.404047
DE24,16.974024
DE25,17.81991
DE26,17.563349
DE27,16.731134
DE30,18.109705
EL42,23.840723
LV00,16.635065
ME00,18.963495
MK00,20.802423
MT00,23.265162
NL11,16.124018
NL12,15.721674
EL64,24.077234
EL65,24.228907
ES11,17.719568
ES12,16.439447
ES13,17.105616
ES21,17.897028
ES22,19.350397
ES23,18.430567
ES24,20.902063
ES30,22.47326
IE05,14.333033
IE06,14.5299015
IS00,8.30755
ITC3,20.25857
FI19,15.273005
FI1B,15.389582
FI1C,15.685755
DEA1,17.560266
DEA2,16.84878
DEA3,17.42541
DEA4,16.83291
DEA5,16.48321
DEB1,17.019983
DEB2,16.604242
DEB3,18.395136
DEC0,17.692194
DED2,17.569971
DED4,16.59469
DED5,18.092798
DEE0,17.564905
DEF0,16.159357
DEG0,16.672754
DK01,15.771753
DK02,16.048182
DK03,15.547052
DK04,15.207422
ES41,19.319147
ES42,23.072962
HU23,21.541986
HU31,20.96493
HU32,21.965021
HU33,22.14779
IE04,14.072901
EE00,16.120356
EL30,25.524317
EL41,24.174189
EL43,24.447565
EL51,22.917688
EL52,23.969294
