nuts,March Mean Temperature (°C) (1981 - 2010)
DE50,4.8801513
DE60,4.2851806
DE71,5.105829
DE72,4.253412
DE73,3.9688354
DE80,3.7243285
DE91,4.130853
BG41,4.0036254
BG42,5.0371947
CH01,-0.63208616
AT32,-1.0194458
AT33,-2.577826
AT34,-0.895697
BE10,6.5537963
BE23,6.6746154
BE24,6.489282
BE25,6.7775207
BE31,6.284967
BE32,6.374353
BE33,5.0189147
BE34,4.872827
BE35,5.6084228
BG31,5.9472594
BG32,5.7588134
BG33,5.53396
BG34,5.980249
DE92,4.8112426
DE93,4.6070495
DE94,5.121698
CZ07,2.9399657
CZ08,2.7401671
AL01,6.083368
AL02,7.265619
AL03,7.603967
AT11,5.1250854
AT12,3.8012023
AT13,5.1180663
AT21,0.5013062
AT22,1.3988281
AT31,2.8257384
DK05,3.1363158
BE21,6.528131
BE22,6.2565246
ES43,11.818506
ES51,8.750208
ES52,11.142908
ES53,13.260706
ES61,12.343927
ES62,11.948847
ES63,14.544184
ES64,15.310053
CH02,1.9839417
CH03,5.286737
CH04,4.666223
CH05,-0.99179685
CH06,0.7001282
CH07,1.2165161
CY00,13.9135685
CZ01,4.200189
CZ02,3.661615
CZ03,2.8780456
CZ04,2.7635436
CZ05,2.684503
CZ06,3.6342406
DE40,4.3450866
EL53,5.3093505
EL54,7.4946837
EL61,8.750666
EL62,12.475763
EL63,9.625147
ES70,17.033838
ITC1,3.830194
ITC2,-2.717505
DE11,4.617456
DE12,5.127649
DE13,4.8247924
DE14,4.02688
DE21,3.4877868
DE22,4.0573363
DE23,3.5631042
DE24,3.4957213
DE25,4.3763366
DE26,4.5008483
DE27,3.1603332
DE30,4.41546
EL42,13.511164
LV00,-0.20712891
ME00,4.350244
MK00,5.2044616
MT00,14.22027
NL11,5.1897216
NL12,5.3920226
EL64,9.502069
EL65,10.528864
ES11,9.520594
ES12,8.36941
ES13,8.594202
ES21,9.126642
ES22,8.351892
ES23,7.4092345
ES24,8.171228
ES30,8.917963
IE05,7.084619
IE06,6.685205
IS00,-2.6242433
ITC3,8.250727
FI19,-2.9981751
FI1B,-2.2674623
FI1C,-2.4507813
DEA1,6.0505614
DEA2,5.1520324
DEA3,5.648187
DEA4,4.81228
DEA5,4.4493346
DEB1,4.7500854
DEB2,4.518457
DEB3,5.5806212
DEC0,5.2755675
DED2,3.8652892
DED4,3.108667
DED5,4.7426085
DEE0,4.443506
DEF0,3.9185119
DEG0,3.6592956
DK01,2.6959472
DK02,3.0747619
DK03,3.3004394
DK04,3.058496
ES41,7.6783996
ES42,9.56576
HU23,6.169122
HU31,5.0467467
HU32,5.807794
HU33,6.168634
IE04,6.817987
EE00,-1.103125
EL30,11.965784
EL41,11.9083805
EL43,12.765497
EL51,7.4266295
EL52,8.523584
FI20,-1.0755371
FR10,7.094568
FRB0,7.5324645
FRC1,6.95437
FRC2,5.8853087
FRD1,7.4336486
FRD2,7.0129333
FRE1,6.685083
FRE2,6.7261596
FRF1,5.6297545
NL13,5.363153
NL21,5.6083007
NL22,5.9552245
NL23,5.7910705
NL31,6.023004
NL32,5.7715697
ITG2,10.988459
ITH1,-2.694281
ITH2,0.836969
FRI3,8.63415
FRJ1,7.728143
FRJ2,7.2006164
FRK1,5.823297
FRK2,4.446527
FRL0,6.221124
FRM0,10.156885
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,10.14538
TR32,9.504236
TR33,6.300775
HR03,8.017481
HR02,6.5684752
HU11,5.6879516
HU12,5.590692
HU21,5.6086974
HU22,5.8499694
PT16,11.558741
PT17,13.594721
FRF2,6.370233
FRF3,5.6639953
FRG0,8.143976
FRH0,8.302271
FRI1,9.2460575
FRI2,7.0813537
ITC4,5.321222
ITF1,6.693292
ITF2,7.8202453
ITF3,9.210993
ITF4,10.885981
ITF5,8.831812
ITF6,10.528833
ITG1,11.963526
LT01,0.12090454
LT02,0.5382935
LU00,4.6996093
PL22,2.996118
PL41,3.4541564
PL42,3.2377563
PT18,13.168207
PT20,-273.15
PT30,15.753748
RO11,3.2546935
RO12,1.8262573
RO21,2.278192
RO22,4.873224
RO31,5.047754
RO32,5.8503966
ITH3,5.7924743
ITH4,4.85531
ITH5,8.132624
ITI1,8.896143
ITI2,7.2080626
ITI3,8.054529
ITI4,8.308344
LI00,0.8480469
FI1D,-5.5678163
TR82,4.3141723
TR83,4.994867
TR90,1.5670105
TRA1,-1.3410095
TRA2,-0.9371704
PL43,4.0866027
PL51,3.2550292
PL52,3.529962
PL61,2.7447753
PL62,1.692926
PL63,2.2579894
PL71,3.056665
PL72,2.9675841
PL81,2.42901
PL82,2.6356444
PL84,1.4006592
PL91,2.6375976
PL92,2.4158263
PT11,9.80752
PT15,13.952143
TRB1,2.2584167
TRB2,-0.3138794
TRC1,7.873285
RS12,6.798425
RS21,5.1131225
RS22,5.2721496
SE11,0.18792114
SE12,0.06633911
NL33,6.1952453
NL34,6.573816
NL41,6.3711486
NL42,6.218927
PL21,2.5132384
UKM6,5.335565
TR22,8.196466
TRC2,8.442255
TRC3,6.2604003
UKC1,5.300134
UKC2,5.3042846
UKD1,5.0473876
UKD3,5.7148376
UKD4,5.6345763
UKD6,6.220178
UKD7,6.5287414
UKE1,6.1927123
UKE2,5.384851
UKE3,5.9477477
RO41,5.220178
RO42,4.773401
RS11,7.101526
TR41,6.2724547
TR42,5.750604
TR51,5.349939
TR52,5.075952
TR61,6.98916
TR62,7.6984496
TR63,7.324487
TR71,5.0878234
TR72,2.2109313
TR81,5.063226
UKK1,6.6357665
UKK2,6.994226
UKK3,8.033899
UKK4,7.136499
UKL1,6.5279174
UKL2,5.8401732
UKM5,4.677179
UKM7,4.3974853
UKM8,5.342523
UKM9,5.3879943
UKN0,6.426538
SE21,0.9205872
SE22,1.869867
SE23,1.0281311
SE31,-1.5393738
SE32,-3.5860047
SE33,-6.189276
SI03,5.0002074
SI04,4.672754
SK01,5.236139
SK02,4.5153747
SK03,2.1401305
SK04,2.6837096
TR10,7.7783446
TR21,7.529077
UKE4,5.487268
UKF1,5.963556
UKF2,6.327295
UKF3,6.400903
UKG1,6.2800536
UKG2,5.9405456
UKG3,6.307611
UKH1,6.3829284
UKH2,6.5215087
UKH3,6.6228576
UKI3,6.716455
UKI4,6.716455
UKI5,6.6625915
UKI6,6.6667724
UKI7,6.6263976
UKJ1,6.4521117
UKJ2,6.9009643
UKJ3,6.917932
UKJ4,6.809503
NO09,-0.9637207
NO0A,-0.85513914
NO0B,-3.594275
HR05,6.7260375
HR06,6.5202575
NO02,-4.115393
NO06,-2.188086
NO07,-5.0032716
NO08,-2.010779
