nuts,March Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,5.608209
DE60,5.0105224
DE71,5.8714232
DE72,5.026605
DE73,4.739282
DE80,4.4823546
DE91,4.8745666
BG41,5.281671
BG42,6.4249816
CH01,0.22542724
AT32,-0.055761717
AT33,-1.5361694
AT34,0.111535646
BE10,7.020868
BE23,7.159723
BE24,6.9599547
BE25,7.2747436
BE31,6.7572875
BE32,6.8650756
BE33,5.6346374
BE34,5.5414977
BE35,6.16369
BG31,7.154657
BG32,7.036615
BG33,6.649774
BG34,7.1329894
DE92,5.5599303
DE93,5.3477416
DE94,5.8103576
CZ07,3.8749022
CZ08,3.6631103
AL01,7.211023
AL02,8.241114
AL03,8.504206
AT11,6.006494
AT12,4.710626
AT13,6.0304503
AT21,1.6163269
AT22,2.4077392
AT31,3.8394103
DK05,3.9009032
BE21,7.0032287
BE22,6.7625365
ES43,12.046198
ES51,9.274073
ES52,11.778376
ES53,13.7946415
ES61,12.686792
ES62,12.638819
ES63,14.847162
ES64,15.827539
CH02,2.7322936
CH03,5.9652343
CH04,5.392389
CH05,-0.09436645
CH06,1.4995972
CH07,2.021295
CY00,14.879938
CZ01,5.078729
CZ02,4.5572143
CZ03,3.7813659
CZ04,3.6537108
CZ05,3.58468
CZ06,4.549463
DE40,5.08761
EL53,6.4917846
EL54,8.407343
EL61,9.818628
EL62,13.160639
EL63,10.413843
ES70,17.472803
ITC1,4.5936522
ITC2,-1.7514709
DE11,5.4894958
DE12,5.963037
DE13,5.5909057
DE14,4.823999
DE21,4.505548
DE22,5.0359435
DE23,4.485437
DE24,4.3663573
DE25,5.2832274
DE26,5.32879
DE27,4.016168
DE30,5.1169066
EL42,14.400232
LV00,0.92629397
ME00,5.4458556
MK00,6.434747
MT00,14.829706
NL11,5.8398986
NL12,5.980432
EL64,10.503778
EL65,11.363398
ES11,9.698511
ES12,8.5776615
ES13,8.885401
ES21,9.420496
ES22,8.735254
ES23,7.8527465
ES24,8.683832
ES30,9.246668
IE05,7.236963
IE06,6.9216247
IS00,-1.3072876
ITC3,8.910456
FI19,-1.919165
FI1B,-0.91782224
FI1C,-1.3154052
DEA1,6.6154723
DEA2,5.8086486
DEA3,6.3038573
DEA4,5.5337462
DEA5,5.193353
DEB1,5.492151
DEB2,5.2427
DEB3,6.3214355
DEC0,6.009027
DED2,4.6630187
DED4,3.9592528
DED5,5.5067687
DEE0,5.1991515
DEF0,4.630914
DEG0,4.4647155
DK01,3.4267516
DK02,3.7495666
DK03,3.9818664
DK04,3.7846007
ES41,7.9440856
ES42,9.950708
HU23,6.9732604
HU31,5.9675536
HU32,6.789392
HU33,6.966211
IE04,7.0559936
EE00,0.1342102
EL30,12.864252
EL41,12.8892765
EL43,13.564722
EL51,8.505671
EL52,9.537439
FI20,0.16896972
FR10,7.578424
FRB0,7.9821715
FRC1,7.518396
FRC2,6.586328
FRD1,7.843347
FRD2,7.5138793
FRE1,7.2051635
FRE2,7.2552733
FRF1,6.3578734
NL13,6.008203
NL21,6.2430663
NL22,6.5595946
NL23,6.3974853
NL31,6.5925536
NL32,6.334314
ITG2,11.64654
ITH1,-1.6082824
ITH2,1.9942871
FRI3,8.988703
FRJ1,8.219721
FRJ2,7.645288
FRK1,6.355615
FRK2,5.1067443
FRL0,6.8311706
FRM0,10.7816105
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,11.0576725
TR32,10.460535
TR33,7.3554626
HR03,8.794001
HR02,7.2930236
HU11,6.5516295
HU12,6.450067
HU21,6.480554
HU22,6.706384
PT16,11.752314
PT17,13.929743
FRF2,6.9501586
FRF3,6.350366
FRG0,8.489954
FRH0,8.608393
FRI1,9.638849
FRI2,7.54339
ITC4,6.113275
ITF1,7.50271
ITF2,8.584955
ITF3,9.945337
ITF4,11.58407
ITF5,9.557428
ITF6,11.1887455
ITG1,12.6140995
LT01,1.1965882
LT02,1.547052
LU00,5.4054503
PL22,3.90484
PL41,4.198999
PL42,4.0008483
PT18,13.465479
PT20,-273.15
PT30,-273.15
RO11,4.3645263
RO12,3.0716186
RO21,3.554315
RO22,6.114923
RO31,6.2971435
RO32,7.0446105
ITH3,6.665979
ITH4,5.8172545
ITH5,8.807825
ITI1,9.572809
ITI2,7.9359374
ITI3,8.735712
ITI4,9.050562
LI00,1.8373657
FI1D,-4.0481935
TR82,5.8177123
TR83,6.520593
TR90,2.9484801
TRA1,-0.110235594
TRA2,-0.7557739
PL43,4.819299
PL51,4.053064
PL52,4.3559203
PL61,3.519586
PL62,2.49505
PL63,3.0147948
PL71,3.8723083
PL72,3.871698
PL81,3.3765807
PL82,3.671533
PL84,2.2344298
PL91,3.504724
PL92,3.26687
PT11,9.956202
PT15,14.317133
TRB1,3.5639892
TRB2,1.3770386
TRC1,9.136194
RS12,7.6886535
RS21,6.2779174
RS22,6.482141
SE11,1.1894165
SE12,1.0923706
NL33,6.741174
NL34,7.0833373
NL41,6.8757873
NL42,6.75094
PL21,3.4704833
UKM6,5.8387694
TR22,9.2321415
TRC2,9.677179
TRC3,9.992762
UKC1,5.789209
UKC2,5.783502
UKD1,5.4908996
UKD3,6.112024
UKD4,6.044061
UKD6,6.621576
UKD7,6.9264464
UKE1,6.6718993
UKE2,5.8548827
UKE3,6.4127135
RO41,6.288568
RO42,5.8395934
RS11,8.100885
TR41,7.3861327
TR42,6.982263
TR51,6.703485
TR52,6.505243
TR61,8.142969
TR62,9.012323
TR63,8.794672
TR71,6.5161986
TR72,3.7644286
TR81,6.4421935
UKK1,7.067468
UKK2,7.3814025
UKK3,8.350428
UKK4,7.47854
UKL1,6.885736
UKL2,6.2364135
UKM5,5.2383056
UKM7,4.890283
UKM8,5.787561
UKM9,5.805902
UKN0,6.717981
SE21,1.8278137
SE22,2.735559
SE23,1.951532
SE31,-0.5941528
SE32,-2.58808
SE33,-4.974829
SI03,5.8764586
SI04,5.6270995
SK01,6.168634
SK02,5.486383
SK03,3.186792
SK04,3.7286315
TR10,8.727259
TR21,8.548273
UKE4,5.9273314
UKF1,6.427606
UKF2,6.796411
UKF3,6.9070983
UKG1,6.713495
UKG2,6.358484
UKG3,6.741998
UKH1,6.907434
UKH2,6.960504
UKH3,7.1097045
UKI3,7.106012
UKI4,7.106012
UKI5,7.0790954
UKI6,7.1153197
UKI7,7.02099
UKJ1,6.89129
UKJ2,7.327539
UKJ3,7.326471
UKJ4,7.3032165
NO09,-0.22034302
NO0A,-0.12790528
NO0B,-3.0211244
HR05,7.409326
HR06,7.214166
NO02,-3.4134278
NO06,-1.3944763
NO07,-3.8047547
NO08,-1.2469238
