nuts,May Mean Temperature (°C) (1981 - 2010)
DE50,12.80575
DE60,12.44668
DE71,13.412073
DE72,12.494959
DE73,12.256525
DE80,12.382135
DE91,12.703058
BG41,13.887873
BG42,15.028009
CH01,7.304559
AT32,7.93551
AT33,6.155725
AT34,7.7006774
BE10,13.350031
BE23,13.237482
BE24,13.366877
BE25,12.856562
BE31,13.087122
BE32,12.975611
BE33,12.309412
BE34,12.24383
BE35,12.608728
BG31,16.76388
BG32,16.588953
BG33,15.82342
BG34,15.8970585
DE92,13.019037
DE93,12.952326
DE94,12.664606
CZ07,13.342432
CZ08,13.120295
AL01,15.041803
AL02,15.807367
AL03,15.839075
AT11,15.261744
AT12,13.847284
AT13,15.267817
AT21,9.943506
AT22,11.103327
AT31,12.397364
DK05,10.721277
BE21,13.5229435
BE22,13.445948
ES43,16.997004
ES51,14.6849
ES52,16.514948
ES53,17.884943
ES61,17.45437
ES62,17.412043
ES63,17.38418
ES64,19.636194
CH02,9.828516
CH03,13.20257
CH04,12.830439
CH05,7.538568
CH06,8.620295
CH07,9.458246
CY00,20.494287
CZ01,13.895044
CZ02,13.437464
CZ03,12.646021
CZ04,12.393061
CZ05,12.820673
CZ06,13.917994
DE40,13.766962
EL53,14.675837
EL54,15.7060795
EL61,17.189173
EL62,18.21255
EL63,17.226282
ES70,18.167414
ITC1,11.751734
ITC2,5.4408813
DE11,13.181452
DE12,13.533564
DE13,13.142878
DE14,12.619837
DE21,12.553614
DE22,13.570215
DE23,13.022882
DE24,12.638605
DE25,13.297052
DE26,13.105036
DE27,11.842005
DE30,13.976496
EL42,18.541864
LV00,11.614222
ME00,13.492792
MK00,14.915186
MT00,18.444513
NL11,12.215723
NL12,11.708948
EL64,17.694056
EL65,17.94427
ES11,12.904779
ES12,11.9431095
ES13,12.650446
ES21,13.517023
ES22,13.910761
ES23,12.783716
ES24,14.30691
ES30,14.845758
IE05,10.950434
IE06,10.920618
IS00,2.9804015
ITC3,14.913385
FI19,8.990412
FI1B,9.232935
FI1C,9.369745
DEA1,13.598902
DEA2,12.774042
DEA3,13.407618
DEA4,12.847895
DEA5,12.453272
DEB1,12.6748905
DEB2,12.274195
DEB3,13.7069645
DEC0,13.154383
DED2,13.372309
DED4,12.383234
DED5,13.845026
DEE0,13.404871
DEF0,11.885462
DEG0,12.453089
DK01,10.538172
DK02,11.077173
DK03,11.172815
DK04,10.883265
ES41,12.849176
ES42,15.526453
HU23,16.675745
HU31,16.123652
HU32,17.040064
HU33,17.162043
IE04,10.797815
EE00,10.359217
EL30,19.257166
EL41,18.280085
EL43,18.822443
EL51,16.672327
EL52,17.589869
FI20,7.091699
FR10,13.659998
FRB0,14.043116
FRC1,14.139765
FRC2,13.550196
FRD1,12.6574955
FRD2,12.692255
FRE1,12.707788
FRE2,13.119989
FRF1,13.663507
NL13,12.614252
NL21,12.994074
NL22,13.270075
NL23,12.693445
NL31,12.980616
NL32,11.892725
ITG2,16.973139
ITH1,6.0545897
ITH2,9.706049
FRI3,14.757349
FRJ1,14.040979
FRJ2,13.476892
FRK1,12.5732975
