nuts,May Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,15.268335
DE60,15.01745
DE71,15.874201
DE72,14.959803
DE73,14.682215
DE80,15.094721
DE91,15.103022
BG41,17.597193
BG42,18.909449
CH01,10.611292
AT32,11.612085
AT33,9.905176
AT34,11.441217
BE10,15.860498
BE23,15.6931095
BE24,15.89245
BE25,15.291895
BE31,15.606684
BE32,15.477533
BE33,14.816065
BE34,14.768976
BE35,15.130884
BG31,20.108027
BG32,20.18545
BG33,19.406946
BG34,19.533075
DE92,15.442102
DE93,15.420954
DE94,15.176111
CZ07,15.940821
CZ08,15.690577
AL01,18.549768
AL02,19.620447
AL03,19.752405
AT11,17.85583
AT12,16.49624
AT13,17.877192
AT21,13.391138
AT22,14.375574
AT31,15.257257
DK05,13.596155
BE21,16.029078
BE22,15.953821
ES43,21.546717
ES51,18.169672
ES52,20.144037
ES53,20.824884
ES61,22.00805
ES62,21.241175
ES63,20.050806
ES64,22.526056
CH02,12.981409
CH03,15.766535
CH04,15.475122
CH05,10.961908
CH06,11.962946
CH07,13.126429
CY00,24.637445
CZ01,16.49737
CZ02,16.013758
CZ03,15.33169
CZ04,14.908777
CZ05,15.310236
CZ06,16.547815
DE40,16.061121
EL53,19.075922
EL54,19.879328
EL61,21.472925
EL62,21.628687
EL63,21.384607
ES70,20.324945
ITC1,15.325769
ITC2,9.005884
DE11,15.63357
DE12,15.958338
DE13,15.656916
DE14,15.219049
DE21,15.449488
DE22,16.280298
DE23,15.571924
DE24,15.087641
DE25,15.759882
DE26,15.499048
DE27,14.863947
DE30,16.238062
EL42,22.158686
LV00,14.940851
ME00,16.983454
MK00,18.8724
MT00,21.355158
NL11,14.785334
NL12,14.33639
EL64,21.949732
EL65,22.258478
ES11,16.032648
ES12,14.945032
ES13,15.614832
ES21,16.393305
ES22,17.216578
ES23,16.300714
ES24,18.154505
ES30,19.2073
IE05,12.852747
IE06,12.860071
IS00,6.971002
ITC3,17.918024
FI19,13.258875
FI1B,13.234552
FI1C,13.407282
DEA1,16.090937
DEA2,15.25326
DEA3,15.886316
DEA4,15.269281
DEA5,14.905756
DEB1,15.164118
DEB2,14.77688
DEB3,16.201288
DEC0,15.658167
DED2,15.717737
DED4,14.814508
DED5,16.167017
DEE0,15.751612
DEF0,14.571222
DEG0,14.828394
DK01,13.691889
DK02,14.080347
DK03,13.99267
DK04,13.693659
ES41,16.819849
ES42,20.157282
HU23,19.276117
HU31,18.953577
HU32,19.90362
HU33,19.799952
IE04,12.485285
EE00,13.922388
EL30,23.267817
EL41,22.085993
EL43,22.51211
