nuts,November Mean Temperature (°C) (1981 - 2010)
DE50,5.581262
DE60,5.3882384
DE71,4.6378417
DE72,4.125879
DE73,4.0322204
DE80,4.869104
DE91,4.5154967
BG41,4.089441
BG42,5.830377
CH01,-0.8473877
AT32,-1.2108825
AT33,-2.8443055
AT34,-1.221991
BE10,6.832208
BE23,7.181665
BE24,6.750238
BE25,7.6532226
BE31,6.4927306
BE32,6.5938964
BE33,5.235101
BE34,4.8375487
BE35,5.680841
BG31,5.320825
BG32,5.8915343
BG33,6.7539
BG34,7.204889
DE92,5.2822204
DE93,5.308435
DE94,6.013269
CZ07,3.1143432
CZ08,3.1187682
AL01,7.310724
AL02,8.548609
AL03,9.290125
AT11,4.445062
AT12,3.4097533
AT13,4.584314
AT21,0.540918
AT22,1.1926819
AT31,2.390985
DK05,5.9256835
BE21,6.8958983
BE22,6.4786315
ES43,11.068964
ES51,8.947016
ES52,11.531214
ES53,16.20077
ES61,12.289545
ES62,12.341761
ES63,16.18667
ES64,16.60589
CH02,1.5640198
CH03,4.4406066
CH04,4.079065
CH05,-1.1440796
CH06,0.55007327
CH07,1.1541687
CY00,17.427088
CZ01,3.8271422
CZ02,3.3593383
CZ03,2.5529723
CZ04,2.5892577
CZ05,2.7371764
CZ06,3.4132628
DE40,4.5451293
EL53,6.182428
EL54,9.293177
EL61,10.701899
EL62,15.95495
EL63,12.080927
ES70,19.64004
ITC1,3.3273559
ITC2,-2.8949037
DE11,3.9933105
DE12,4.5563293
DE13,4.192987
DE14,3.471002
DE21,2.810968
DE22,3.33526
DE23,3.0046325
DE24,3.2038817
DE25,3.7317443
DE26,4.0128417
DE27,2.5093017
DE30,4.5587707
EL42,16.876825
LV00,1.4325806
ME00,5.579004
MK00,5.3377013
MT00,18.666895
NL11,6.432916
NL12,7.669122
EL64,11.832605
EL65,13.416468
ES11,9.89065
ES12,9.059259
ES13,9.313105
ES21,9.742182
ES22,8.17074
ES23,7.2595153
ES24,7.6278625
ES30,8.018488
IE05,8.060724
IE06,7.39895
IS00,-1.4143127
ITC3,9.16131
FI19,-0.9342102
FI1B,1.067804
FI1C,0.29677734
DEA1,6.294
DEA2,5.314752
DEA3,5.9943786
DEA4,5.199762
DEA5,4.7434936
DEB1,4.589105
DEB2,4.3757873
DEB3,4.996881
DEC0,4.8426147
DED2,3.8213134
DED4,3.1309142
DED5,4.7614074
DEE0,4.679071
DEF0,5.5397277
DEG0,3.7213988
DK01,5.680963
DK02,5.895929
DK03,5.6407714
DK04,5.6127563
ES41,7.155908
ES42,8.816614
HU23,5.460962
HU31,4.2364135
HU32,5.0647216
HU33,5.4597106
IE04,7.7572265
EE00,1.4234558
EL30,14.999384
EL41,14.937098
EL43,16.26684
EL51,9.043634
EL52,9.524073
FI20,3.9783874
FR10,6.899408
FRB0,7.2125487
FRC1,6.383264
FRC2,5.332025
FRD1,8.15185
FRD2,7.470178
FRE1,7.2656493
FRE2,6.7640624
FRF1,4.9415526
NL13,6.163324
NL21,6.298364
NL22,6.4954467
NL23,6.9785705
NL31,6.8134093
NL32,8.094782
ITG2,13.419764
ITH1,-2.8414674
ITH2,0.9277283
FRI3,8.480341
FRJ1,7.8725524
FRJ2,7.0982604
FRK1,5.4878783
FRK2,4.008386
FRL0,6.520044
FRM0,12.401972
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,12.229853
TR32,11.421167
TR33,7.519708
HR03,9.494349
HR02,5.960809
HU11,4.921869
HU12,4.828851
HU21,4.993585
HU22,5.145715
PT16,11.350977
PT17,14.414606
FRF2,6.0424438
FRF3,5.2168517
FRG0,8.372828
FRH0,9.494074
FRI1,9.084284
FRI2,6.706262
ITC4,4.7818236
ITF1,8.298212
ITF2,9.450464
ITF3,11.339319
ITF4,13.174311
ITF5,10.650293
ITF6,13.433924
ITG1,15.327021
LT01,1.2316223
LT02,1.8754212
LU00,4.569391
PL22,3.3624816
PL41,3.716394
PL42,4.129144
PT18,13.001337
PT20,-273.15
PT30,18.57873
RO11,3.0486999
RO12,1.9345642
RO21,2.4372802
RO22,5.6326537
RO31,4.7870727
RO32,5.2940917
ITH3,5.963098
ITH4,5.146997
ITH5,8.227137
ITI1,10.112207
ITI2,8.101923
ITI3,9.485132
ITI4,9.9405155
LI00,0.49248657
FI1D,-4.509619
TR82,6.2840514
TR83,6.479181
TR90,3.7991881
TRA1,-0.028845215
TRA2,0.40447387
PL43,4.1390624
PL51,3.3790526
PL52,3.823236
PL61,3.3365417
PL62,2.6970763
PL63,3.6837707
PL71,3.457849
PL72,3.2888122
PL81,2.9409423
PL82,3.0450683
PL84,2.1900878
PL91,3.101709
PL92,2.951776
PT11,9.372858
PT15,14.787928
TRB1,3.9183898
TRB2,1.6857544
TRC1,9.142817
RS12,6.194879
RS21,4.8338256
RS22,4.769159
SE11,2.9419494
SE12,1.8744446
NL33,7.481439
NL34,7.561853
NL41,6.811334
NL42,6.4933715
PL21,2.7118468
UKM6,7.080438
TR22,10.6062565
TRC2,9.436731
TRC3,7.520166
UKC1,6.4459167
UKC2,6.4652953
UKD1,6.310327
UKD3,6.477411
UKD4,6.791986
UKD6,6.936609
UKD7,7.71145
UKE1,7.263086
UKE2,6.4078918
UKE3,6.622125
RO41,4.555078
RO42,4.4504333
RS11,6.4896483
TR41,7.6824584
TR42,7.9849486
TR51,6.1362853
TR52,6.4179015
TR61,9.058344
TR62,9.870508
TR63,9.082575
TR71,5.924585
TR72,3.5204406
TR81,7.6285644
UKK1,7.4311767
UKK2,8.463434
UKK3,9.928278
UKK4,8.826349
UKL1,8.103937
UKL2,6.766168
UKM5,6.102594
UKM7,5.4453673
UKM8,6.243768
UKM9,6.651544
UKN0,7.548303
SE21,3.2005248
SE22,4.274133
SE23,3.1226134
SE31,-0.36295167
SE32,-2.8216004
SE33,-5.5342164
SI03,4.6772094
SI04,5.0287414
SK01,4.7550597
SK02,4.1710753
SK03,2.1858764
SK04,2.5427184
TR10,11.458826
TR21,9.91128
UKE4,6.259271
UKF1,6.6136107
UKF2,6.9340453
UKF3,7.217157
UKG1,6.923761
UKG2,6.6343627
UKG3,6.904962
UKH1,7.7250304
UKH2,7.183557
UKH3,7.7986083
UKI3,7.4450316
UKI4,7.4450316
UKI5,7.4031615
UKI6,7.4379516
UKI7,7.350305
UKJ1,7.114679
UKJ2,8.421076
UKJ3,8.2456
UKJ4,8.271143
NO09,0.6559082
NO0A,0.1201416
NO0B,-1.0707763
HR05,5.944696
HR06,5.754358
NO02,-3.9019532
NO06,-1.1574157
NO07,-3.8556275
NO08,-1.3735412
