nuts,November Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,6.9651427
DE60,6.839746
DE71,5.905481
DE72,5.4660583
DE73,5.389917
DE80,6.3384643
DE91,5.966211
BG41,5.699243
BG42,7.4093566
CH01,0.8460938
AT32,0.61998904
AT33,-0.95392454
AT34,0.6749207
BE10,8.038477
BE23,8.420374
BE24,7.963403
BE25,8.903528
BE31,7.7047668
BE32,7.822412
BE33,6.5157104
BE34,6.052667
BE35,6.8998656
BG31,6.7645507
BG32,7.3414855
BG33,8.187403
BG34,8.6957035
DE92,6.6901183
DE93,6.731195
DE94,7.3686156
CZ07,4.667993
CZ08,4.641229
AL01,8.96026
AL02,10.108393
AL03,10.800379
AT11,5.913507
AT12,4.9006286
AT13,6.002252
AT21,2.2463622
AT22,2.890924
AT31,4.000482
DK05,7.3569274
BE21,8.133905
BE22,7.6992126
ES43,12.444056
ES51,10.408869
ES52,12.955652
ES53,17.580896
ES61,13.7086735
ES62,13.805994
ES63,17.287043
ES64,17.731562
CH02,3.0888915
CH03,5.6636596
CH04,5.3595214
CH05,0.6335999
CH06,2.1516662
CH07,2.918817
CY00,19.007776
CZ01,5.1620727
CZ02,4.709253
CZ03,3.9566894
CZ04,3.9884276
CZ05,4.1631103
CZ06,4.9105773
DE40,6.0299315
EL53,7.8319945
EL54,10.799738
EL61,12.22027
EL62,17.1914
EL63,13.429255
ES70,21.002344
ITC1,5.109033
ITC2,-0.98154294
DE11,5.338678
DE12,5.8559813
DE13,5.5194945
DE14,4.7979674
DE21,4.2925353
DE22,4.7716002
DE23,4.37771
DE24,4.5561156
DE25,5.0499206
DE26,5.2740417
DE27,3.9712768
DE30,6.050775
EL42,18.268457
LV00,3.3894591
ME00,7.3204284
MK00,7.071649
MT00,20.007776
NL11,7.7496886
NL12,8.90246
EL64,13.261469
EL65,14.771906
ES11,11.07696
ES12,10.288202
ES13,10.586695
ES21,11.01742
ES22,9.56576
ES23,8.687433
ES24,9.119074
ES30,9.498774
IE05,9.172632
IE06,8.560205
IS00,0.32280883
ITC3,10.620508
FI19,1.4263245
FI1B,3.2361999
FI1C,2.5476012
DEA1,7.5752196
DEA2,6.613275
DEA3,7.3433166
DEA4,6.5927367
DEA5,6.1224
DEB1,5.902246
DEB2,5.6120543
DEB3,6.2058043
DEC0,6.1151977
DED2,5.229791
DED4,4.543695
DED5,6.1483397
DEE0,6.102136
DEF0,6.9330993
DEG0,5.080896
DK01,7.165399
DK02,7.3574767
DK03,7.073358
DK04,7.0765014
ES41,8.521112
ES42,10.329218
HU23,6.8114867
HU31,5.7852416
HU32,6.5404296
HU33,6.856012
IE04,8.938715
EE00,3.4412475
EL30,16.352015
EL41,16.31695
EL43,17.47677
EL51,10.611048
EL52,11.10705
FI20,5.6240172
FR10,8.11059
FRB0,8.468012
FRC1,7.610925
FRC2,6.690454
FRD1,9.382074
FRD2,8.672327
FRE1,8.499903
FRE2,7.9568725
FRF1,6.219812
NL13,7.464868
NL21,7.5717406
NL22,7.749536
NL23,8.213617
NL31,8.071863
NL32,9.303644
ITG2,14.789148
ITH1,-0.88013303
ITH2,2.7949767
FRI3,9.82284
FRJ1,9.38302
FRJ2,8.526087
FRK1,6.986688
FRK2,5.54989
FRL0,8.101679
FRM0,13.755701
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,13.709436
TR32,12.963373
TR33,9.067316
HR03,10.976801
HR02,7.345758
HU11,6.2986083
HU12,6.2215514
HU21,6.376825
HU22,6.563867
PT16,12.491785
PT17,15.49029
FRF2,7.245752
FRF3,6.45025
FRG0,9.599543
FRH0,10.632288
FRI1,10.468622
FRI2,8.136408
ITC4,6.494745
ITF1,9.852686
ITF2,10.918634
ITF3,12.704584
ITF4,14.520258
ITF5,12.117151
ITF6,14.7312565
ITG1,16.667383
LT01,3.1916137
LT02,3.7829528
LU00,5.790216
PL22,4.8395934
PL41,5.2213683
PL42,5.630609
PT18,14.23028
PT20,-273.15
PT30,-273.15
RO11,4.7240233
RO12,3.6613402
RO21,4.1098266
RO22,7.1165404
RO31,6.320337
RO32,6.862329
ITH3,7.5483336
ITH4,6.677881
ITH5,9.612482
ITI1,11.480799
ITI2,9.615473
ITI3,10.930384
ITI4,11.377497
LI00,2.2600951
FI1D,-1.5694641
TR82,7.877893
TR83,8.179987
TR90,5.96734
TRA1,2.344293
TRA2,1.7774903
PL43,5.582788
PL51,4.848718
PL52,5.2164245
PL61,4.985925
PL62,4.446588
PL63,5.3841796
PL71,4.9592834
PL72,4.893579
PL81,4.607141
PL82,4.7121215
PL84,3.9334655
PL91,4.714807
PL92,4.592462
PT11,10.577631
PT15,15.8948
TRB1,6.0704894
TRB2,4.181421
TRC1,11.07403
RS12,7.600122
RS21,6.443872
RS22,6.2809386
SE11,4.7638183
SE12,3.6205077
NL33,8.746515
NL34,8.829523
NL41,8.0515995
NL42,7.718347
PL21,4.2361083
UKM6,8.249628
TR22,12.11178
TRC2,11.50741
TRC3,11.792719
UKC1,7.652551
UKC2,7.6552978
UKD1,7.404138
UKD3,7.5587707
UKD4,7.8929687
UKD6,8.023951
UKD7,8.837793
UKE1,8.46612
UKE2,7.5621276
UKE3,7.743402
RO41,6.084558
RO42,5.950647
RS11,7.848108
TR41,9.273676
TR42,9.569574
TR51,7.7952514
TR52,8.203821
TR61,10.619532
TR62,11.768091
TR63,11.018824
TR71,7.7621703
TR72,5.4871154
TR81,9.230341
UKK1,8.518152
UKK2,9.539392
UKK3,10.876154
UKK4,9.864801
UKL1,9.273706
UKL2,7.8669066
UKM5,7.360254
UKM7,6.6495605
UKM8,7.4186034
UKM9,7.8155456
UKN0,8.679804
SE21,4.8506103
SE22,5.8255553
SE23,4.7038207
SE31,1.5597779
SE32,-0.4498352
SE33,-2.7485414
SI03,6.0891356
SI04,6.440454
SK01,6.2490783
SK02,5.620294
SK03,3.7663512
SK04,4.1658874
TR10,12.956659
TR21,11.487238
UKE4,7.388086
UKF1,7.711511
UKF2,8.0628605
UKF3,8.410212
UKG1,8.01153
UKG2,7.722589
UKG3,7.9876037
UKH1,8.914148
UKH2,8.347834
UKH3,8.9153385
UKI3,8.600794
UKI4,8.600794
UKI5,8.5724125
UKI6,8.586969
UKI7,8.50329
UKJ1,8.23266
UKJ2,9.561518
UKJ3,9.3666935
UKJ4,9.398859
NO09,2.3278136
NO0A,2.0377135
NO0B,1.4518372
HR05,7.3340697
HR06,7.122827
NO02,-1.8036865
NO06,0.8661133
NO07,-1.0352539
NO08,0.49767455
