nuts,October Mean Temperature (°C) (1981 - 2010)
DE50,9.891474
DE60,9.782801
DE71,9.49737
DE72,8.773554
DE73,8.640406
DE80,9.516108
DE91,9.092707
BG41,10.048578
BG42,11.605982
CH01,5.3813415
AT32,4.9373107
AT33,3.6610656
AT34,5.236261
BE10,11.08111
BE23,11.28924
BE24,11.016901
BE25,11.626551
BE31,10.797052
BE32,10.871576
BE33,9.639704
BE34,9.369776
BE35,10.096888
BG31,11.722742
BG32,12.006678
BG33,12.427576
BG34,12.8797245
DE92,9.712091
DE93,9.764856
DE94,10.24206
CZ07,8.40362
CZ08,8.400812
AL01,12.773096
AL02,13.892908
AL03,14.372705
AT11,10.035059
AT12,8.888971
AT13,10.0680485
AT21,6.356958
AT22,6.907953
AT31,8.059931
DK05,9.796534
BE21,11.093683
BE22,10.811518
ES43,16.128809
ES51,14.053858
ES52,16.266108
ES53,20.10708
ES61,17.080378
ES62,17.064722
ES63,18.970026
ES64,20.395441
CH02,7.338281
CH03,9.813227
CH04,9.543665
CH05,5.10354
CH06,6.48327
CH07,6.9758544
CY00,22.046228
CZ01,9.173975
CZ02,8.677362
CZ03,7.9402404
CZ04,7.8089843
CZ05,7.9976134
CZ06,8.800501
DE40,9.531885
EL53,11.990381
EL54,14.239252
EL61,15.678675
EL62,19.699366
EL63,16.639063
ES70,21.203638
ITC1,9.195581
ITC2,3.555841
DE11,9.2260685
DE12,9.72851
DE13,9.52807
DE14,8.907373
DE21,8.5299015
DE22,8.866449
DE23,8.396936
DE24,8.342768
DE25,8.998957
DE26,9.016169
DE27,8.170557
DE30,9.586939
EL42,20.2763
LV00,6.7755675
ME00,10.921991
MK00,11.543421
MT00,22.006159
NL11,10.510462
NL12,11.456202
EL64,16.54101
EL65,17.819513
ES11,13.286921
ES12,12.658777
ES13,13.279139
ES21,13.92779
ES22,13.065119
ES23,12.044703
ES24,12.857813
ES30,13.401636
IE05,10.689539
IE06,10.228357
IS00,1.2394348
ITC3,13.920038
FI19,4.374475
FI1B,6.098352
FI1C,5.5333495
DEA1,10.637995
DEA2,9.761042
DEA3,10.3180485
DEA4,9.604242
DEA5,9.204187
DEB1,9.214655
DEB2,8.977961
DEB3,9.934961
DEC0,9.674128
DED2,8.9638
DED4,8.237146
DED5,9.802637
DEE0,9.486902
DEF0,9.860163
DEG0,8.607172
DK01,9.895594
DK02,10.122126
DK03,9.777643
DK04,9.606836
ES41,11.955225
ES42,14.183252
HU23,11.282892
HU31,10.136194
HU32,11.146631
HU33,11.481226
IE04,10.347254
EE00,6.7137084
EL30,19.274958
EL41,18.745783
EL43,19.905695
EL51,14.425653
EL52,15.134455
FI20,8.124262
FR10,11.498194
FRB0,12.042658
FRC1,11.504023
FRC2,10.651758
FRD1,12.049067
FRD2,11.589899
FRE1,11.358942
FRE2,11.158075
FRF1,10.082727
NL13,10.25683
NL21,10.424952
NL22,10.637659
NL23,10.93017
NL31,10.82229
NL32,11.824671
ITG2,17.741693
ITH1,3.6116881
ITH2,6.999231
FRI3,13.285822
FRJ1,12.809137
FRJ2,12.191278
FRK1,10.57168
FRK2,9.714655
FRL0,11.89657
FRM0,16.587305
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,17.394312
TR32,16.953058
TR33,13.614527
HR03,14.273951
HR02,11.720789
HU11,10.829767
HU12,10.737421
HU21,10.784632
HU22,10.844019
PT16,15.363001
PT17,17.549555
FRF2,10.815729
FRF3,10.147242
FRG0,12.687677
FRH0,12.889185
FRI1,13.987726
FRI2,11.71438
ITC4,10.767176
ITF1,13.441523
ITF2,14.408869
ITF3,15.950342
ITF4,17.658625
ITF5,15.57992
ITF6,17.636469
ITG1,19.371515
LT01,6.694635
LT02,7.1805053
LU00,9.152613
PL22,8.757746
PL41,8.951136
PL42,9.085962
PT18,17.273706
PT20,-273.15
PT30,20.33578
RO11,8.817408
RO12,7.6834655
RO21,8.49914
RO22,11.697504
RO31,11.075769
RO32,11.888941
ITH3,11.746515
ITH4,10.748072
ITH5,13.810022
ITI1,14.997034
ITI2,13.406397
ITI3,14.52392
ITI4,14.878412
LI00,6.8594604
FI1D,1.8094422
TR82,12.135309
TR83,12.578577
TR90,10.383753
TRA1,7.8256164
TRA2,7.655084
PL43,9.350092
PL51,8.661432
PL52,9.149744
PL61,8.51742
PL62,7.9763427
PL63,8.686914
PL71,8.797449
PL72,8.748987
PL81,8.377741
PL82,8.454401
PL84,7.573877
PL91,8.417231
PL92,8.268793
PT11,13.535852
PT15,18.218287
TRB1,11.979029
TRB2,9.173151
TRC1,16.766413
RS12,12.201319
RS21,10.704187
RS22,10.79751
SE11,7.414514
