nuts,October Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,13.486078
DE60,13.329798
DE71,12.991144
DE72,12.245569
DE73,12.103418
DE80,13.019068
DE91,12.630884
BG41,13.800379
BG42,15.33639
CH01,9.505762
AT32,9.156031
AT33,7.952356
AT34,9.54458
BE10,14.536432
BE23,14.741175
BE24,14.471521
BE25,15.053217
BE31,14.235468
BE32,14.3215275
BE33,13.039881
BE34,12.7633
BE35,13.496576
BG31,15.451166
BG32,15.730097
BG33,16.113276
BG34,16.59878
DE92,13.268885
DE93,13.319696
DE94,13.775812
CZ07,11.9760685
CZ08,11.953455
AL01,16.39953
AL02,17.44549
AL03,17.932703
AT11,13.646967
AT12,12.527887
AT13,13.646326
AT21,10.222315
AT22,10.681635
AT31,11.840113
DK05,13.015497
BE21,14.554804
BE22,14.253748
ES43,20.715021
ES51,17.708307
ES52,20.209497
ES53,23.522455
ES61,21.445642
ES62,21.090174
ES63,21.950861
ES64,23.651636
CH02,11.285273
CH03,13.447779
CH04,13.18136
CH05,9.369928
CH06,10.570429
CH07,10.983973
CY00,25.790064
CZ01,12.764795
CZ02,12.221735
CZ03,11.451746
CZ04,11.349176
CZ05,11.542841
CZ06,12.381037
DE40,13.049158
EL53,15.855555
EL54,17.842524
EL61,19.211939
EL62,22.98916
EL63,20.125025
ES70,23.940363
ITC1,13.334772
ITC2,7.948236
DE11,12.765406
DE12,13.260614
DE13,13.140802
DE14,12.55456
DE21,12.323694
DE22,12.465967
DE23,11.892511
DE24,11.781794
DE25,12.501429
DE26,12.473841
DE27,11.96377
DE30,13.123346
EL42,23.436823
LV00,10.242853
ME00,14.667017
MK00,15.431452
MT00,25.436182
NL11,13.99856
NL12,14.790979
EL64,19.982233
EL65,21.253138
ES11,17.001734
ES12,16.392542
ES13,16.84939
ES21,17.276697
ES22,16.584894
ES23,15.793909
ES24,16.768274
ES30,17.914667
IE05,13.501398
IE06,13.1737
IS00,5.6062865
ITC3,17.55581
FI19,8.421381
FI1B,9.904627
FI1C,9.382715
DEA1,14.102137
DEA2,13.196985
DEA3,13.811274
DEA4,13.116632
DEA5,12.655268
DEB1,12.673548
DEB2,12.379084
DEB3,13.459864
DEC0,13.1271305
DED2,12.509241
DED4,11.752466
DED5,13.353998
DEE0,13.042383
DEF0,13.344812
DEG0,12.081598
DK01,13.183771
DK02,13.42251
DK03,13.142664
DK04,12.909662
ES41,16.251856
ES42,18.705591
HU23,15.043787
HU31,13.928949
HU32,14.915125
HU33,15.29339
IE04,13.12594
EE00,10.292139
EL30,22.629175
EL41,21.940027
EL43,23.074549
EL51,18.042078
EL52,18.843287
FI20,11.852808
FR10,15.046625
FRB0,15.558252
FRC1,15.056269
FRC2,14.179956
FRD1,15.328638
FRD2,14.989283
FRE1,14.794764
FRE2,14.658899
FRF1,13.649622
NL13,13.794611
NL21,13.925745
NL22,14.115168
NL23,14.382441
NL31,14.265863
NL32,15.1471195
ITG2,21.229486
ITH1,7.9094176
ITH2,11.0707035
FRI3,16.711908
FRJ1,16.27038
FRJ2,15.684931
FRK1,14.083399
FRK2,13.533014
FRL0,15.604242
FRM0,20.004755
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,21.01275
TR32,20.983881
TR33,17.599329
HR03,17.654444
HR02,15.468653
HU11,14.549097
HU12,14.472803
HU21,14.476221
HU22,14.524927
PT16,19.345179
PT17,21.13595
FRF2,14.332056
FRF3,13.644251
FRG0,15.955103
FRH0,15.930658
FRI1,17.378931
FRI2,15.183161
ITC4,14.837885
ITF1,16.925348
ITF2,17.869013
ITF3,19.412134
ITF4,21.23321
ITF5,19.292933
ITF6,21.185724
ITG1,22.953485
LT01,10.130457
LT02,10.559656
LU00,12.557703
PL22,12.283838
PL41,12.461267
PL42,12.569727
PT18,21.414148
PT20,-273.15
PT30,-273.15
RO11,12.520502
RO12,11.291803
RO21,11.946497
RO22,15.535669
RO31,14.847223
RO32,15.761866
ITH3,15.57818
ITH4,14.403833
ITH5,17.541101
ITI1,18.455835
ITI2,16.914179
ITI3,17.97201
ITI4,18.28448
LI00,11.010401
FI1D,6.501825
TR82,15.776758
TR83,16.286219
TR90,14.470484
TRA1,12.778345
TRA2,11.497614
PL43,12.896143
PL51,12.271967
PL52,12.729914
PL61,12.019434
PL62,11.440882
PL63,12.146051
PL71,12.276972
PL72,12.260523
PL81,11.881525
PL82,11.97027
PL84,11.073267
PL91,11.916651
PL92,11.783747
PT11,17.620874
PT15,21.743128
TRB1,16.749903
TRB2,14.889948
TRC1,21.454035
RS12,16.062708
RS21,14.506861
RS22,14.462366
SE11,10.968866
SE12,10.14657
NL33,14.794947
NL34,14.934168
NL41,14.435938
NL42,14.253443
PL21,11.656305
UKM6,12.359613
TR22,19.079035
TRC2,22.342432
TRC3,22.488367
UKC1,12.652185
UKC2,12.555719
UKD1,12.480799
UKD3,12.946466
UKD4,13.086145
UKD6,13.46612
UKD7,14.043207
UKE1,13.830164
UKE2,12.775904
UKE3,13.258631
RO41,14.366571
RO42,13.922693
RS11,16.330011
TR41,17.450953
TR42,17.07525
TR51,16.843225
TR52,17.29864
TR61,19.024591
TR62,20.506037
TR63,20.481623
TR71,16.98208
TR72,14.894739
TR81,16.410913
UKK1,14.039148
UKK2,14.773005
UKK3,15.441523
UKK4,14.792719
UKL1,14.00506
UKL2,13.108149
UKM5,11.912012
UKM7,11.4685
UKM8,12.191645
UKM9,12.560083
UKN0,13.045984
SE21,10.9882145
SE22,11.901758
SE23,10.947046
SE31,8.622828
SE32,6.9168334
SE33,5.677118
SI03,13.781397
SI04,13.923273
SK01,13.859247
SK02,13.259211
SK03,11.151941
SK04,11.696833
TR10,19.544672
TR21,18.625025
UKE4,12.728968
UKF1,13.28451
UKF2,13.741053
UKF3,14.02331
UKG1,13.584223
UKG2,13.190729
UKG3,13.612116
UKH1,14.548182
UKH2,14.040979
UKH3,14.676722
UKI3,14.301966
UKI4,14.301966
UKI5,14.275202
UKI6,14.320337
UKI7,14.166712
UKJ1,13.8718815
UKJ2,15.080164
UKJ3,14.791712
UKJ4,15.102442
NO09,8.724115
NO0A,8.287378
NO0B,6.3031554
HR05,15.357996
HR06,15.128229
NO02,5.9570556
NO06,7.6401305
NO07,6.501703
NO08,7.8274474
