nuts,September Mean Temperature (°C) (1981 - 2010)
DE50,13.9942875
DE60,13.960627
DE71,14.061243
DE72,13.148767
DE73,12.941828
DE80,13.901545
DE91,13.429712
BG41,15.143793
BG42,16.883844
CH01,9.658899
AT32,9.195642
AT33,7.782251
AT34,9.188013
BE10,14.768335
BE23,14.9331
BE24,14.72027
BE25,15.12591
BE31,14.47146
BE32,14.497339
BE33,13.3706
BE34,13.199091
BE35,13.784876
BG31,17.43194
BG32,17.605036
BG33,17.6784
BG34,18.126734
DE92,13.917627
DE93,14.026575
DE94,14.185419
CZ07,13.205683
CZ08,13.020075
AL01,17.065973
AL02,18.112665
AL03,18.53158
AT11,15.187799
AT12,13.864466
AT13,15.279413
AT21,10.860804
AT22,11.53451
AT31,12.656916
DK05,13.44552
BE21,14.834284
BE22,14.56698
ES43,21.50979
ES51,18.120173
ES52,20.536188
ES53,23.181421
ES61,21.797113
ES62,21.47262
ES63,21.35824
ES64,23.922693
CH02,11.444269
CH03,14.007593
CH04,13.738123
CH05,9.318171
CH06,10.533777
CH07,11.537012
CY00,25.363459
CZ01,14.091791
CZ02,13.525812
CZ03,12.691858
CZ04,12.571131
CZ05,12.745081
CZ06,13.818598
DE40,14.183008
EL53,16.956537
EL54,18.507563
EL61,20.145319
EL62,22.672052
EL63,20.627588
ES70,22.010187
ITC1,13.991846
ITC2,8.341852
DE11,13.718409
DE12,14.167597
DE13,13.81048
DE14,13.203943
DE21,12.957911
DE22,13.578913
DE23,13.12179
DE24,12.931726
DE25,13.626276
DE26,13.604486
DE27,12.464075
DE30,14.310694
EL42,23.06515
LV00,11.717035
ME00,15.145868
MK00,16.702692
MT00,24.391047
NL11,14.272913
NL12,14.8883
EL64,20.796778
EL65,21.777185
ES11,16.572962
ES12,15.677057
ES13,16.333338
ES21,16.99618
ES22,17.000757
ES23,16.143885
ES24,17.520777
ES30,19.110682
IE05,13.326075
IE06,13.089502
IS00,5.2062926
ITC3,17.803614
FI19,9.506342
FI1B,11.040735
FI1C,10.577448
DEA1,14.545038
DEA2,13.684748
DEA3,14.319513
DEA4,13.725519
DEA5,13.233118
DEB1,13.443872
DEB2,13.077448
DEB3,14.457026
DEC0,13.900141
DED2,13.578699
DED4,12.728205
DED5,14.365595
DEE0,14.034143
DEF0,13.900385
DEG0,13.067163
DK01,13.830774
DK02,14.029322
DK03,13.605799
DK04,13.335535
ES41,16.698938
ES42,19.72143
HU23,16.390467
HU31,15.628931
HU32,16.633875
HU33,16.822931
IE04,13.012262
EE00,11.578302
EL30,23.207666
EL41,22.139917
EL43,23.0505
EL51,19.471216
EL52,20.090784
FI20,12.469019
FR10,15.310938
FRB0,15.827753
FRC1,15.469538
FRC2,14.635248
FRD1,15.164789
FRD2,14.953913
FRE1,14.827997
FRE2,14.8250065
FRF1,14.409937
NL13,14.063776
NL21,14.252222
NL22,14.441584
NL23,14.58639
NL31,14.510981
NL32,15.148798
ITG2,21.043756
ITH1,7.9399657
ITH2,11.379877
FRI3,16.860193
FRJ1,16.665796
FRJ2,15.968409
FRK1,14.258417
FRK2,13.847132
FRL0,15.951136
FRM0,19.868464
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,21.987238
TR32,21.850275
TR33,18.947077
HR03,18.288263
HR02,16.639582
HU11,16.196344
HU12,16.111628
HU21,15.981928
HU22,16.007502
PT16,19.324884
PT17,20.174006
FRF2,14.71612
FRF3,14.234552
FRG0,16.114954
FRH0,15.6123295
FRI1,17.581293
FRI2,15.264307
ITC4,15.671106
ITF1,17.285944
ITF2,18.282953
ITF3,19.550623
ITF4,21.457636
ITF5,19.496058
ITF6,20.956568
ITG1,22.475183
LT01,11.836664
LT02,12.151575
LU00,13.1523075
PL22,13.3875675
PL41,13.727991
PL42,13.609369
PT18,21.363886
PT20,-273.15
PT30,21.6336
RO11,13.964075
RO12,12.796503
RO21,13.969934
RO22,17.25323
RO31,16.830225
RO32,17.893091
ITH3,16.377008
ITH4,15.219904
ITH5,18.47732
ITI1,18.911676
ITI2,17.618128
ITI3,18.594233
ITI4,18.64422
LI00,10.765284
FI1D,7.5485473
TR82,16.883387
TR83,17.423944
TR90,14.971857
TRA1,13.826197
TRA2,13.6531925
PL43,14.113733
PL51,13.338129
PL52,13.827906
PL61,13.28628
PL62,12.779352
PL63,13.202692
PL71,13.58639
PL72,13.54928
PL81,13.326868
PL82,13.235559
PL84,12.557154
PL91,13.291986
PL92,13.147394
PT11,17.737726
PT15,21.225122
TRB1,18.798304
TRB2,15.739496
TRC1,23.236292
RS12,17.44723
RS21,15.584467
RS22,16.104334
SE11,12.02331
SE12,11.265375
NL33,14.948023
NL34,15.135523
NL41,14.748468
NL42,14.616785
PL21,12.800165
UKM6,11.728785
TR22,20.192194
TRC2,24.571527
TRC3,22.152979
UKC1,12.535364
UKC2,12.376276
UKD1,12.266932
UKD3,12.855402
UKD4,12.891932
UKD6,13.3536625
UKD7,13.809198
UKE1,13.790064
UKE2,12.70553
UKE3,13.361292
RO41,16.544825
RO42,15.311609
RS11,17.706476
TR41,18.678095
TR42,17.927149
TR51,18.49734
TR52,18.852198
TR61,20.003748
TR62,21.1701
TR63,21.419825
TR71,18.796412
TR72,16.448298
TR81,17.1643
UKK1,14.048334
UKK2,14.496393
UKK3,14.813135
UKK4,14.317194
UKL1,13.626612
UKL2,12.973841
UKM5,11.557947
UKM7,11.361139
UKM8,12.020227
UKM9,12.226007
UKN0,12.815119
SE21,11.942286
SE22,12.645533
SE23,11.8684025
SE31,9.703302
SE32,7.8080688
SE33,6.532373
SI03,14.884607
SI04,14.825434
SK01,15.625513
SK02,14.879969
SK03,12.516901
SK04,13.026331
TR10,20.60708
TR21,20.139032
UKE4,12.750513
UKF1,13.406397
UKF2,13.960932
UKF3,14.161921
UKG1,13.666651
UKG2,13.174524
UKG3,13.724054
UKH1,14.571131
UKH2,14.273676
UKH3,14.761103
UKI3,14.473444
UKI4,14.473444
UKI5,14.453608
UKI6,14.444544
UKI7,14.342707
UKJ1,14.046045
UKJ2,14.884851
UKJ3,14.656061
UKJ4,15.031153
NO09,9.380182
NO0A,8.664484
NO0B,3.838678
HR05,16.680353
HR06,16.374414
NO02,6.7488036
NO06,8.082239
NO07,6.526544
NO08,8.703455
