nuts,Spring Mean Temperature (°C) (1981 - 2010)
DE50,8.777582
DE60,8.280512
DE71,9.144495
DE72,8.272974
DE73,8.017572
DE80,7.952905
DE91,8.332575
BG41,8.956354
BG42,10.052973
CH01,3.1449218
AT32,3.2376037
AT33,1.5693299
AT34,3.1823058
BE10,9.772791
BE23,9.782465
BE24,9.750666
BE25,9.635035
BE31,9.503321
BE32,9.488825
BE33,8.50564
BE34,8.401239
BE35,8.931849
BG31,11.422846
BG32,11.22555
BG33,10.652369
BG34,10.934015
DE92,8.835291
DE93,8.7055
DE94,8.794733
CZ07,8.183619
CZ08,7.9693847
AL01,10.426966
AL02,11.394037
AL03,11.544062
AT11,10.211512
AT12,8.807734
AT13,10.195551
AT21,5.062982
AT22,6.124109
AT31,7.5047545
DK05,6.7726073
BE21,9.855616
BE22,9.680689
ES43,14.064264
ES51,11.416407
ES52,13.586267
ES53,15.364466
ES61,14.601221
ES62,14.454432
ES63,15.798426
ES64,17.301935
CH02,5.715204
CH03,9.058008
CH04,8.548792
CH05,3.0717406
CH06,4.440759
CH07,5.1014037
CY00,17.086756
CZ01,8.970026
CZ02,8.487818
CZ03,7.7105956
CZ04,7.5021605
CZ05,7.733484
CZ06,8.790766
DE40,8.981592
EL53,9.889002
EL54,11.433832
EL61,12.817255
EL62,15.126215
EL63,13.250635
ES70,17.482447
ITC1,7.5421996
ITC2,1.1576782
DE11,8.79928
DE12,9.219629
DE13,8.845087
DE14,8.191797
DE21,7.85766
DE22,8.724634
DE23,8.211939
DE24,7.9976134
DE25,8.735376
DE26,8.710047
DE27,7.3422484
DE30,9.127741
EL42,15.884455
LV00,5.759973
ME00,8.744898
MK00,9.991785
MT00,16.104792
NL11,8.593561
NL12,8.400171
EL64,13.434595
EL65,14.046045
ES11,10.959253
ES12,9.856958
ES13,10.310938
ES21,11.015039
ES22,10.7929325
ES23,9.755732
ES24,10.900476
ES30,11.5420475
IE05,8.820917
IE06,8.617914
IS00,-0.0047668456
ITC3,11.326197
FI19,2.9147582
FI1B,3.3963866
FI1C,3.34588
DEA1,9.679255
DEA2,8.818232
DEA3,9.405146
DEA4,8.730524
DEA5,8.3432255
DEB1,8.576929
DEB2,8.253656
DEB3,9.505945
DEC0,9.070185
DED2,8.549158
DED4,7.66427
DED5,9.186518
DEE0,8.828547
DEF0,7.7957397
DEG0,7.968866
DK01,6.431787
DK02,6.897363
DK03,7.095117
DK04,6.8309264
ES41,9.920069
ES42,12.208399
HU23,11.457239
HU31,10.688929
HU32,11.520502
HU33,11.73501
IE04,8.643854
EE00,4.638757
EL30,15.43191
EL41,14.964045
EL43,15.642511
EL51,11.973536
EL52,12.941278
FI20,2.8828063
FR10,10.171198
FRB0,10.56106
FRC1,10.345819
FRC2,9.5498295
FRD1,9.807703
FRD2,9.630945
FRE1,9.504755
FRE2,9.722834
FRF1,9.499964
NL13,8.880304
NL21,9.178034
NL22,9.4699955
NL23,9.101587
NL31,9.345575
NL32,8.663996
ITG2,13.690271
ITH1,1.4684082
ITH2,5.029321
FRI3,11.441278
FRJ1,10.622828
FRJ2,10.053217
FRK1,8.939966
FRK2,7.9510436
FRL0,9.463007
FRM0,12.827784
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,14.282892
TR32,13.632746
TR33,11.088129
HR03,11.935022
HR02,11.533686
HU11,11.226282
HU12,11.128382
HU21,10.985315
HU22,11.035425
PT16,13.167658
PT17,14.823725
FRF2,9.773493
FRF3,9.336695
FRG0,10.7938175
FRH0,10.314478
FRI1,11.927393
FRI2,10.006861
ITC4,9.44491
ITF1,10.491175
ITF2,11.479029
ITF3,12.470606
ITF4,14.219141
ITF5,12.4179325
ITF6,13.489252
ITG1,14.654535
LT01,6.5523925
LT02,6.529474
LU00,8.351465
PL22,8.37002
PL41,8.614832
PL42,7.9063354
PT18,14.8875065
PT20,-273.15
PT30,16.347559
RO11,8.917078
RO12,7.4462523
RO21,8.424067
RO22,10.583368
RO31,10.76684
RO32,11.75329
ITH3,10.054682
ITH4,9.251459
ITH5,12.163416
ITI1,12.220148
ITI2,10.953333
ITI3,11.847528
ITI4,11.7148075
LI00,4.8176208
FI1D,0.48705444
TR82,9.096857
TR83,9.770014
TR90,6.5268188
TRA1,4.2060485
TRA2,4.6508117
PL43,9.048182
PL51,8.316553
PL52,8.783899
PL61,8.029688
PL62,7.2997375
PL63,7.0690856
PL71,8.541346
PL72,8.589472
PL81,8.404108
PL82,8.344324
PL84,7.445642
PL91,8.372156
PL92,8.146662
PT11,11.5715275
PT15,15.346155
TRB1,8.053431
TRB2,5.20968
TRC1,13.192286
RS12,12.269068
RS21,10.138178
RS22,10.451166
SE11,4.4392943
SE12,5.019647
NL33,9.272089
NL34,9.633448
NL41,9.7685795
NL42,9.732447
PL21,7.9004455
UKM6,7.0527587
TR22,12.526819
TRC2,13.9717045
TRC3,11.706293
UKC1,7.404779
UKC2,7.3521056
UKD1,7.3422484
UKD3,8.05456
UKD4,7.9327025
UKD6,8.533777
UKD7,8.74917
UKE1,8.324701
UKE2,7.572595
UKE3,8.253778
RO41,10.81814
RO42,10.130304
RS11,12.419214
TR41,11.082178
TR42,10.268763
TR51,10.504389
TR52,10.29281
TR61,11.438166
TR62,12.212641
TR63,12.192896
TR71,10.374018
TR72,7.6902404
TR81,9.58169
UKK1,8.973963
UKK2,9.098627
UKK3,9.583826
UKK4,9.011377
UKL1,8.51095
UKL2,8.089533
UKM5,6.6032653
UKM7,6.65484
UKM8,7.5687194
UKM9,7.4544616
UKN0,8.250544
SE21,5.3795714
SE22,6.0910583
SE23,5.694513
SE31,3.6112914
SE32,1.5243775
SE33,-0.53296506
SI03,9.754999
SI04,9.205408
SK01,10.5125675
SK02,9.856287
SK03,7.6034484
SK04,8.221674
TR10,11.952509
TR21,12.143152
UKE4,7.776117
UKF1,8.30871
UKF2,8.727137
UKF3,8.7130375
UKG1,8.627283
UKG2,8.251764
UKG3,8.688929
UKH1,8.71847
UKH2,8.986353
UKH3,9.039606
UKI3,9.227442
UKI4,9.227442
UKI5,9.158716
UKI6,9.167658
UKI7,9.112787
UKJ1,8.881311
UKJ2,9.156488
UKJ3,9.185114
UKJ4,9.16604
NO09,3.2151427
NO0A,2.5120177
NO0B,-2.052771
HR05,11.548548
HR06,11.386103
NO02,0.8928162
NO06,1.9844605
NO07,-0.65582883
NO08,2.7204223
