nuts,Spring Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,11.659327
DE60,11.2234745
DE71,12.039667
DE72,11.174433
DE73,10.902124
DE80,10.956659
DE91,11.218409
BG41,13.137171
BG42,14.293329
CH01,6.978906
AT32,7.6788573
AT33,6.001123
AT34,7.5144286
BE10,12.512354
BE23,12.466394
BE24,12.497095
BE25,12.262201
BE31,12.263086
BE32,12.212427
BE33,11.344049
BE34,11.250422
BE35,11.739588
BG31,15.465235
BG32,15.308313
BG33,14.7182865
BG34,15.081415
DE92,11.700739
DE93,11.619043
DE94,11.626001
CZ07,11.866053
CZ08,11.6132145
AL01,14.279047
AL02,15.201868
AL03,15.224085
AT11,13.628321
AT12,12.353479
AT13,13.527491
AT21,9.475641
AT22,10.373835
AT31,11.195734
DK05,9.809626
BE21,12.578455
BE22,12.468134
ES43,17.556086
ES51,14.497583
ES52,16.61001
ES53,17.912134
ES61,18.089289
ES62,17.640162
ES63,18.086817
ES64,19.853266
CH02,9.179834
CH03,12.214289
CH04,11.960962
CH05,7.1494384
CH06,8.198572
CH07,9.209864
CY00,21.00921
CZ01,12.290491
CZ02,11.893061
CZ03,11.142969
CZ04,10.884119
CZ05,11.307825
CZ06,12.301233
DE40,12.041803
EL53,14.059992
EL54,15.280573
EL61,16.871881
EL62,18.191126
EL63,17.047846
ES70,19.397882
ITC1,11.262171
ITC2,5.050195
DE11,11.668726
DE12,12.123896
DE13,11.814417
DE14,11.443872
DE21,11.311457
DE22,12.231195
DE23,11.483301
DE24,11.074732
DE25,11.655573
DE26,11.595301
DE27,10.6861515
DE30,12.153345
EL42,19.337336
LV00,9.747004
ME00,12.814844
MK00,14.320612
MT00,18.938593
NL11,11.361536
NL12,11.136713
EL64,17.458338
EL65,17.984491
ES11,13.608332
ES12,12.564386
ES13,13.010401
ES21,13.6719
ES22,13.741816
ES23,12.789759
ES24,14.160059
ES30,14.897608
IE05,10.811701
IE06,10.681849
IS00,3.9401488
ITC3,14.323359
FI19,8.03985
FI1B,7.96203
FI1C,8.048273
DEA1,12.489588
DEA2,11.66601
DEA3,12.245722
DEA4,11.590143
DEA5,11.247248
DEB1,11.452295
DEB2,11.104212
DEB3,12.403376
DEC0,11.945398
DED2,11.807795
DED4,10.946772
DED5,12.209192
DEE0,11.77096
DEF0,10.742243
DEG0,10.98147
DK01,9.584162
DK02,9.953089
DK03,10.052851
DK04,9.817286
ES41,13.0784855
ES42,15.730249
HU23,14.701838
HU31,14.27331
HU32,14.85882
HU33,14.978815
IE04,10.50329
EE00,8.71377
EL30,19.188898
EL41,18.63296
EL43,19.25921
EL51,15.855646
EL52,16.820917
FI20,6.8802733
FR10,12.929102
FRB0,13.335596
FRC1,13.201685
FRC2,12.469385
FRD1,12.306482
FRD2,12.156916
FRE1,12.133997
FRE2,12.421808
FRF1,12.385828
NL13,11.661707
NL21,11.953882
NL22,12.211664
NL23,11.843195
NL31,12.045893
NL32,11.363276
ITG2,16.79635
ITH1,5.909906
ITH2,9.543451
FRI3,14.110376
FRJ1,13.497644
FRJ2,13.068598
FRK1,11.8944645
FRK2,11.150782
FRL0,12.846521
FRM0,15.688501
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
