nuts,Summer Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,17.572168
DE60,17.478724
DE71,18.505
DE72,17.398401
DE73,17.173487
DE80,17.830286
DE91,17.627558
BG41,19.925257
BG42,21.71322
CH01,13.82403
AT32,13.744104
AT33,12.136652
AT34,13.550592
BE10,18.018305
BE23,17.970514
BE24,18.033289
BE25,17.755793
BE31,17.75918
BE32,17.735804
BE33,17.027338
BE34,17.059961
BE35,17.34585
BG31,22.755
BG32,22.876825
BG33,22.617579
BG34,22.892023
DE92,17.871912
DE93,17.839624
DE94,17.49618
CZ07,18.341242
CZ08,17.999353
AL01,21.545527
AL02,22.483149
AL03,22.66131
AT11,20.467127
AT12,18.93371
AT13,20.565882
AT21,15.5932865
AT22,16.427637
AT31,17.46081
DK05,16.365747
BE21,18.18307
BE22,18.10229
ES43,25.515436
ES51,21.85528
ES52,24.028803
ES53,24.77102
ES61,25.349207
ES62,24.985682
ES63,22.373987
ES64,25.867334
CH02,15.774408
CH03,18.485804
CH04,18.172358
CH05,13.657618
CH06,14.698084
CH07,16.01562
CY00,27.426325
CZ01,18.98504
CZ02,18.457026
CZ03,17.573664
CZ04,17.40957
CZ05,17.687922
CZ06,18.970575
DE40,18.75857
EL53,21.919886
EL54,22.693232
EL61,24.411768
EL62,24.5953
EL63,24.230158
ES70,21.28692
ITC1,18.474817
ITC2,12.717432
DE11,18.32815
DE12,18.731714
DE13,18.38717
DE14,17.776209
DE21,17.63534
DE22,18.447687
DE23,17.966822
DE24,17.604273
DE25,18.363428
DE26,18.160944
DE27,17.061823
DE30,18.922419
EL42,24.872187
LV00,17.395197
ME00,19.737574
MK00,21.732355
MT00,25.082483
NL11,17.08645
NL12,16.918024
EL64,24.837488
EL65,25.218744
ES11,18.304438
ES12,17.251398
ES13,18.022242
ES21,18.76275
ES22,20.085382
ES23,19.34884
ES24,21.996729
ES30,23.987421
IE05,14.978785
IE06,15.147852
IS00,8.874048
ITC3,21.33114
FI19,15.846216
FI1B,16.515162
FI1C,16.496607
DEA1,18.280817
DEA2,17.518
DEA3,18.112421
DEA4,17.664637
DEA5,17.174524
DEB1,17.609278
DEB2,17.211939
DEB3,18.954401
DEC0,18.278955
DED2,18.283533
DED4,17.321497
DED5,18.897058
DEE0,18.423609
DEF0,17.196894
DEG0,17.471735
DK01,17.040735
DK02,17.158075
DK03,16.645258
DK04,16.346277
ES41,20.403955
ES42,24.576258
HU23,21.895472
HU31,21.426752
HU32,22.415277
HU33,22.468775
IE04,14.674494
EE00,17.115808
EL30,26.53393
EL41,24.97561
EL43,25.337397
EL51,23.992365
EL52,24.821283
FI20,15.817469
FR10,18.90948
FRB0,19.460321
FRC1,19.64419
FRC2,18.98977
FRD1,17.480433
FRD2,17.629297
FRE1,17.575556
FRE2,18.1224
FRF1,18.989344
NL13,17.24972
NL21,17.606714
NL22,17.87884
NL23,17.454706
NL31,17.644983
NL32,17.070032
ITG2,24.046106
ITH1,12.354639
ITH2,15.779657
FRI3,20.056238
FRJ1,20.579004
FRJ2,19.613428
FRK1,18.392328
FRK2,18.224451
FRL0,20.074366
FRM0,22.850183
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,26.249445
TR32,25.958216
TR33,23.510096
HR03,22.612604
HR02,22.052668
HU11,21.871454
HU12,21.756067
HU21,21.45138
HU22,21.400568
PT16,21.57934
PT17,21.21609
FRF2,18.704401
FRF3,18.53805
FRG0,18.982752
FRH0,17.411951
FRI1,20.602869
FRI2,19.006983
ITC4,20.490198
ITF1,21.566034
ITF2,22.553095
ITF3,23.171167
ITF4,25.271296
ITF5,23.824335
ITF6,23.937067
ITG1,24.868677
LT01,17.784357
LT02,17.679132
LU00,17.192225
PL22,18.552942
PL41,18.812738
PL42,18.036737
PT18,23.832056
PT20,-273.15
PT30,-273.15
RO11,19.462824
RO12,18.162287
RO21,19.770716
RO22,22.811365
RO31,22.425379
RO32,23.6979
ITH3,20.973902
ITH4,19.894434
ITH5,23.25854
ITI1,22.755457
ITI2,22.238123
ITI3,22.938227
ITI4,22.609858
LI00,15.025263
FI1D,14.563471
TR82,20.748468
TR83,21.188257
TR90,18.55517
TRA1,18.155207
TRA2,16.184595
PL43,19.076746
PL51,18.337244
PL52,18.9255
PL61,18.288263
PL62,17.873926
PL63,17.538141
PL71,18.870691
PL72,18.933344
PL81,18.991083
PL82,18.65777
PL84,18.250483
PL91,18.798243
PL92,18.616632
PT11,20.449976
PT15,22.75097
TRB1,23.663202
TRB2,21.851587
TRC1,28.064325
RS12,22.996027
RS21,20.623255
RS22,21.323938
SE11,16.504755
SE12,16.546778
NL33,17.560541
NL34,17.859186
NL41,18.136042
NL42,18.224482
PL21,18.03277
UKM6,13.035028
TR22,24.21734
TRC2,30.247278
TRC3,30.455835
UKC1,14.752588
UKC2,14.528345
UKD1,14.42193
UKD3,15.292353
UKD4,15.075953
UKD6,15.794123
UKD7,15.858088
UKE1,15.941889
UKE2,14.99975
UKE3,15.915918
RO41,22.179468
RO42,20.599024
RS11,23.083582
TR41,23.041712
TR42,21.671564
TR51,23.214563
TR52,23.381617
TR61,23.905848
TR62,24.425837
TR63,24.906153
TR71,23.400751
TR72,20.53045
TR81,20.775446
UKK1,16.547785
UKK2,16.376215
UKK3,16.012201
UKK4,15.918848
UKL1,15.239374
UKL2,15.300684
UKM5,13.407648
UKM7,13.626795
UKM8,14.251581
UKM9,14.144342
UKN0,14.464838
SE21,16.406824
SE22,16.5852
SE23,16.408533
SE31,15.318018
SE32,13.572596
SE33,13.062433
SI03,20.055536
SI04,19.706781
SK01,21.04577
SK02,20.247583
SK03,17.840876
SK04,18.648157
TR10,24.131067
TR21,24.459925
UKE4,15.244898
UKF1,15.996424
UKF2,16.604883
UKF3,16.577051
UKG1,16.251154
UKG2,15.690485
UKG3,16.344538
UKH1,16.707544
UKH2,16.959162
UKH3,17.073816
UKI3,17.180231
UKI4,17.180231
UKI5,17.128077
UKI6,17.101496
UKI7,17.028131
UKJ1,16.715052
UKJ2,16.79754
UKJ3,16.77273
UKJ4,17.060297
NO09,13.946161
NO0A,12.367395
NO0B,4.9669433
HR05,22.135492
HR06,21.766657
NO02,12.358973
NO06,12.456934
NO07,11.490259
NO08,14.117701
