nuts,Winter Mean Temperature (°C) (1981 - 2010)
DE50,2.1487365
DE60,1.7854248
DE71,1.2380005
DE72,0.6312195
DE73,0.47490844
DE80,1.1428162
DE91,0.84966433
BG41,-0.4632019
BG42,1.1369873
CH01,-4.7787538
AT32,-5.2980714
AT33,-6.998297
AT34,-5.2684693
BE10,3.624475
BE23,3.9362426
BE24,3.5295043
BE25,4.4029174
BE31,3.301416
BE32,3.4739928
BE33,1.9205567
BE34,1.6034485
BE35,2.491571
BG31,0.30684814
BG32,0.7417847
BG33,1.6752259
BG34,2.3845458
DE92,1.7499024
DE93,1.7786194
DE94,2.525537
CZ07,-1.4590515
CZ08,-1.5267395
AL01,2.7415404
AL02,3.9996886
AL03,4.869928
AT11,0.08550415
AT12,-0.7474731
AT13,0.3238159
AT21,-4.2307496
AT22,-3.162787
AT31,-1.5800537
DK05,2.2804503
BE21,3.616693
BE22,3.1977172
ES43,7.9680114
ES51,5.594354
ES52,8.342493
ES53,12.712549
ES61,9.160639
ES62,9.124018
ES63,13.747309
ES64,13.498194
CH02,-1.9933227
CH03,1.363855
CH04,0.7751709
CH05,-5.448981
CH06,-3.1320558
CH07,-3.0332093
CY00,12.821283
CZ01,0.029901123
CZ02,-0.4697632
CZ03,-1.2970642
CZ04,-1.1617798
CZ05,-1.4115967
CZ06,-0.87546384
DE40,0.8714844
EL53,1.6172425
EL54,4.9233336
EL61,6.349115
EL62,11.952723
EL63,7.8817687
ES70,17.162867
ITC1,-0.67966306
ITC2,-7.1007447
DE11,0.6289002
DE12,1.1921326
DE13,0.93721926
DE14,0.076654054
DE21,-0.83814085
DE22,-0.3603882
DE23,-0.69580686
DE24,-0.42978516
DE25,0.26931152
DE26,0.5744568
DE27,-0.9555725
DE30,0.8814026
EL42,13.242029
LV00,-3.2388062
ME00,1.0937744
MK00,0.83233035
MT00,14.458887
NL11,2.9013305
NL12,3.9375243
EL64,7.58761
EL65,9.224329
ES11,7.5454345
ES12,6.5822997
ES13,6.7016234
ES21,7.048059
ES22,5.2920165
ES23,4.4359374
ES24,4.588739
ES30,4.9179626
IE05,6.071161
IE06,5.3471313
IS00,-2.8473878
ITC3,5.585962
FI19,-6.332373
FI1B,-4.42652
FI1C,-5.2062135
DEA1,2.9194884
DEA2,1.9244629
DEA3,2.5723205
DEA4,1.6783692
DEA5,1.2069031
DEB1,1.214624
DEB2,1.0770203
DEB3,1.7123657
DEC0,1.6131836
DED2,0.043023683
DED4,-0.5976623
DED5,1.0892884
DEE0,1.0158631
DEF0,1.8763977
DEG0,0.03222046
DK01,1.6837097
DK02,1.8766114
DK03,1.8858277
DK04,1.903833
ES41,4.4103637
ES42,5.6835876
HU23,0.8409668
HU31,-0.6012939
HU32,-0.013189698
HU33,0.5723206
IE04,5.6804442
EE00,-3.4886842
EL30,10.7781315
EL41,11.225733
EL43,12.272333
EL51,4.5161376
EL52,5.077234
FI20,-0.8871826
FR10,3.971826
FRB0,4.398767
FRC1,3.3906188
FRC2,2.1891723
FRD1,5.335504
FRD2,4.549127
FRE1,4.178552
FRE2,3.7828918
FRF1,1.757959
NL13,2.7266479
NL21,2.8720946
NL22,3.1111083
NL23,3.4646544
NL31,3.408502
NL32,4.360254
ITG2,9.761377
ITH1,-7.5327516
ITH2,-4.025824
FRI3,5.7529845
FRJ1,4.7891784
FRJ2,4.1264586
FRK1,2.6285338
FRK2,0.610376
FRL0,2.9364562
FRM0,8.896631
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,8.07345
TR32,7.0768676
TR33,2.9679198
HR03,5.2806945
HR02,1.3305603
HU11,0.19780883
HU12,0.060479738
HU21,0.33272704
HU22,0.6174561
PT16,8.688257
PT17,11.809961
FRF2,2.9640136
FRF3,2.0466552
FRG0,5.6195617
FRH0,6.8618712
FRI1,6.276239
FRI2,4.028375
ITC4,0.29607543
ITF1,4.0927367
ITF2,5.4443297
ITF3,7.4349914
ITF4,9.292841
ITF5,6.671289
ITF6,9.435358
ITG1,11.242823
LT01,-3.530249
LT02,-2.7252564
LU00,1.3150269
PL22,-1.2556518
PL41,-0.30963746
PL42,0.21630248
PT18,10.119196
PT20,-273.15
PT30,16.193628
RO11,-2.125647
RO12,-3.1235414
RO21,-2.6745667
RO22,0.32613525
RO31,-0.39435425
RO32,-0.07694092
ITH3,1.4126831
ITH4,0.62313235
ITH5,3.998407
ITI1,6.2980895
ITI2,4.091699
ITI3,5.354303
ITI4,5.938165
LI00,-3.5992494
FI1D,-9.953863
TR82,1.211969
TR83,1.3625427
TR90,-1.9242004
TRA1,-6.457953
TRA2,-6.3047853
PL43,0.3283325
PL51,-0.6871704
PL52,-0.56040037
PL61,-0.8253845
PL62,-1.7426819
PL63,-0.49454346
PL71,-0.8791565
PL72,-1.2143921
PL81,-1.7030395
PL82,-1.8838562
PL84,-2.3800416
PL91,-1.2364563
PL92,-1.425116
PT11,6.80697
PT15,12.066431
TRB1,-2.7369752
TRB2,-5.1104493
TRC1,3.2330565
RS12,1.2473389
RS21,0.113427736
RS22,0.116967775
SE11,-1.3258423
SE12,-2.3425965
NL33,3.966577
NL34,4.1397643
NL41,3.4760985
NL42,3.1583495
PL21,-1.8904175
UKM6,4.8528075
TR22,6.312036
TRC2,3.39364
TRC3,1.2075745
UKC1,3.9637694
UKC2,4.0275207
UKD1,3.7589355
UKD3,3.9838805
UKD4,4.2061706
UKD6,4.4421935
UKD7,5.1050963
UKE1,4.662256
UKE2,3.8917785
UKE3,4.095941
RO41,-0.355719
RO42,-0.3442749
RS11,1.5736328
TR41,3.0730224
TR42,3.1987548
TR51,1.2299744
TR52,0.9876343
TR61,4.167047
TR62,4.413934
TR63,3.2080626
TR71,0.5917603
TR72,-2.5269532
TR81,2.640924
UKK1,4.907251
UKK2,5.8150573
UKK3,7.5737853
UKK4,6.242822
UKL1,5.4989867
UKL2,4.21853
UKM5,3.7127318
UKM7,3.0317626
UKM8,3.9340148
UKM9,4.269769
UKN0,5.3571105
SE21,-0.69315183
SE22,0.3239685
SE23,-0.84909666
SE31,-4.7819886
SE32,-7.040869
SE33,-9.925634
SI03,0.18642578
SI04,0.5422913
SK01,0.16655883
SK02,-0.5356811
SK03,-2.550818
SK04,-2.3141847
TR10,6.68728
TR21,5.225
UKE4,3.7567077
UKF1,4.0797057
UKF2,4.359033
UKF3,4.594873
UKG1,4.3980346
UKG2,4.1289916
UKG3,4.397882
UKH1,4.877832
UKH2,4.5713744
UKH3,5.0046325
UKI3,4.834314
UKI4,4.834314
UKI5,4.777948
UKI6,4.8114257
UKI7,4.7447753
UKJ1,4.5523314
UKJ2,5.597833
UKJ3,5.548822
UKJ4,5.376306
NO09,-3.077826
NO0A,-2.3336549
NO0B,-3.236548
HR05,1.4330994
HR06,1.2565857
NO02,-8.115026
NO06,-4.4493165
NO07,-7.304053
NO08,-5.5075746
