nuts,Winter Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,3.6662536
DE60,3.305078
DE71,2.8756652
DE72,2.2491088
DE73,2.1046996
DE80,2.7445617
DE91,2.5185485
BG41,1.4137818
BG42,2.768457
CH01,-3.2161927
AT32,-3.621222
AT33,-5.2681336
AT34,-3.5819154
BE10,4.899713
BE23,5.1914
BE24,4.8164916
BE25,5.5979247
BE31,4.556268
BE32,4.6798644
BE33,3.2630858
BE34,2.941217
BE35,3.7714477
BG31,2.1820006
BG32,2.3878722
BG33,3.0937133
BG34,3.7493224
DE92,3.3562255
DE93,3.3413634
DE94,4.033258
CZ07,0.38390502
CZ08,0.32613525
AL01,4.2127013
AL02,5.3583617
AL03,6.204614
AT11,1.8453308
AT12,1.0617615
AT13,2.132318
AT21,-2.2610536
AT22,-1.4189514
AT31,0.216333
DK05,3.6326537
BE21,4.979028
BE22,4.5520263
ES43,9.041864
ES51,6.940576
ES52,9.586359
ES53,13.717585
ES61,10.209162
ES62,10.338251
ES63,14.429529
ES64,14.361994
CH02,-0.5953735
CH03,2.674768
CH04,2.1892943
CH05,-3.7940125
CH06,-1.6415466
CH07,-1.3463501
CY00,14.299433
CZ01,1.8902832
CZ02,1.4001099
CZ03,0.54537356
CZ04,0.7010437
CZ05,0.43981323
CZ06,0.96776736
DE40,2.6206603
EL53,3.3092895
EL54,6.248407
EL61,7.7321715
EL62,13.124292
EL63,9.044764
ES70,18.222528
ITC1,0.94396365
ITC2,-5.495795
DE11,2.2121825
DE12,2.8062987
DE13,2.4230895
DE14,1.621576
DE21,0.8796021
DE22,1.3552796
DE23,1.0247437
DE24,1.2446839
DE25,1.8850952
DE26,2.2031493
DE27,0.69967043
DE30,2.6436706
EL42,14.387934
LV00,-0.8430542
ME00,2.7909484
MK00,2.4660277
MT00,15.59939
NL11,4.346063
NL12,5.2818847
EL64,8.844568
EL65,10.393274
ES11,8.565729
ES12,7.7159057
ES13,7.810907
ES21,8.12414
ES22,6.495416
ES23,5.664514
ES24,5.9315124
ES30,6.0992064
IE05,7.015222
IE06,6.312158
IS00,-0.8442749
ITC3,6.9710326
FI19,-3.7065187
FI1B,-1.9284424
FI1C,-2.6690736
DEA1,4.4427123
DEA2,3.3958068
DEA3,4.161157
DEA4,3.2959838
DEA5,2.7830443
DEB1,2.7334533
DEB2,2.5145812
DEB3,3.2856383
DEC0,3.089746
DED2,1.8105103
DED4,1.1238037
DED5,2.829248
DEE0,2.7325072
DEF0,3.3469787
DEG0,1.7247864
DK01,3.1247497
DK02,3.2572265
DK03,3.2481322
DK04,3.2669005
ES41,5.5429015
ES42,6.8722777
HU23,2.6465697
HU31,1.4473511
HU32,1.8366028
HU33,2.4007506
IE04,6.6238036
EE00,-1.1372436
EL30,11.973719
EL41,12.403711
EL43,13.414209
EL51,5.812433
EL52,6.429498
FI20,1.0971009
FR10,5.145807
FRB0,5.6379333
FRC1,4.6992126
FRC2,3.5396972
FRD1,6.4068847
FRD2,5.668817
FRE1,5.313867
FRE2,4.9293456
FRF1,3.2084289
NL13,4.234369
NL21,4.4094787
NL22,4.654382
NL23,4.913385
NL31,4.905969
NL32,5.7197814
ITG2,10.940393
ITH1,-5.635138
ITH2,-2.0833802
FRI3,6.9696593
FRJ1,6.172815
FRJ2,5.4677672
FRK1,3.9598327
FRK2,2.1761107
FRL0,4.4343505
FRM0,10.132349
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,9.217035
TR32,8.613581
TR33,4.6956725
HR03,6.8260436
HR02,3.0469298
HU11,1.9994751
HU12,1.8727661
HU21,2.1404052
HU22,2.4229674
PT16,9.680841
PT17,12.728479
FRF2,4.222833
FRF3,3.4481444
FRG0,6.7746215
FRH0,7.8472533
FRI1,7.4269958
FRI2,5.251825
ITC4,1.9426209
ITF1,5.577081
ITF2,6.871301
ITF3,8.741205
ITF4,10.626032
ITF5,8.000025
ITF6,10.701136
ITG1,12.431818
LT01,-1.2679199
LT02,-0.50882566
LU00,2.702417
PL22,0.63549197
PL41,1.5559632
PL42,1.9444824
PT18,11.106684
PT20,-273.15
PT30,-273.15
RO11,-0.24869385
RO12,-1.0560669
RO21,-0.54715574
RO22,2.0846496
RO31,1.5365235
RO32,1.8633972
ITH3,3.0489135
ITH4,2.3185973
ITH5,5.343225
ITI1,7.5937743
ITI2,5.4748473
ITI3,6.737268
ITI4,7.278589
LI00,-1.9910034
FI1D,-7.141455
TR82,3.0313659
TR83,3.2366576
TR90,0.0967041
TRA1,-4.29975
TRA2,-4.8345704
PL43,2.150476
PL51,1.1743408
PL52,1.3434082
PL61,1.0699097
PL62,0.24590454
PL63,1.3894593
PL71,1.014978
PL72,0.7101685
PL81,0.2800232
PL82,0.029321289
PL84,-0.32770386
PL91,0.67415774
PL92,0.5003296
PT11,7.815332
PT15,12.902735
TRB1,-0.3944153
TRB2,-2.7960877
TRC1,5.385431
RS12,3.0752196
RS21,1.9197937
RS22,1.8668762
SE11,0.6288086
SE12,-0.2681946
NL33,5.400232
NL34,5.472711
NL41,4.912744
NL42,4.595361
PL21,-0.00836792
UKM6,5.894098
TR22,7.4781127
TRC2,5.6761413
TRC3,6.0229735
UKC1,5.1122375
UKC2,5.167505
UKD1,4.9038024
UKD3,5.094232
UKD4,5.324121
UKD6,5.516992
UKD7,6.1592956
UKE1,5.749231
UKE2,5.02572
UKE3,5.237146
