nuts,Annual Total Precipitation (mm) (1981 - 2010)
DE50,855.31586
DE60,870.72986
DE71,864.5592
DE72,882.8022
DE73,878.4878
DE80,725.77765
DE91,817.9868
BG41,828.3573
BG42,802.7793
CH01,1695.2351
AT32,1565.8771
AT33,1590.4515
AT34,1729.7854
BE10,818.4803
BE23,815.5089
BE24,838.91815
BE25,816.33417
BE31,856.13043
BE32,858.25476
BE33,1007.34186
BE34,1031.5383
BE35,964.1933
BG31,745.7466
BG32,727.185
BG33,669.0453
BG34,709.6311
DE92,835.9327
DE93,834.3708
DE94,880.0852
CZ07,839.75574
CZ08,900.71985
AL01,1436.0223
AL02,1101.7645
AL03,1044.2498
AT11,751.4346
AT12,876.2225
AT13,718.9815
AT21,1324.0676
AT22,1189.6708
AT31,1264.5186
DK05,818.35956
BE21,839.34094
BE22,882.5516
ES43,608.7482
ES51,754.4286
ES52,498.89218
ES53,428.51932
ES61,531.8964
ES62,362.47577
ES63,660.4928
ES64,346.13525
CH02,1620.2323
CH03,1382.5315
CH04,1354.5385
CH05,1515.228
CH06,1819.3954
CH07,1739.1537
CY00,368.17365
CZ01,690.0606
CZ02,736.3602
CZ03,863.4517
CZ04,806.1648
CZ05,846.7734
CZ06,737.9663
DE40,694.29694
EL53,722.3713
EL54,1153.7397
EL61,781.5214
EL62,1027.2992
EL63,985.3962
ES70,194.0865
ITC1,1367.4486
ITC2,1526.5358
DE11,980.14453
DE12,1041.2737
DE13,1206.4413
DE14,1193.7091
DE21,1289.5111
DE22,1018.59906
DE23,943.60297
DE24,915.67725
DE25,898.86945
DE26,887.16833
DE27,1289.1143
DE30,679.51373
EL42,454.67752
LV00,775.333
ME00,1535.0518
MK00,755.0108
MT00,432.84164
NL11,903.3419
NL12,945.4514
EL64,700.5613
EL65,632.3616
ES11,1288.0559
ES12,1271.6848
ES13,1110.3416
ES21,1065.7128
ES22,893.8796
ES23,722.35516
ES24,640.133
ES30,549.08844
IE05,1104.3237
IE06,948.7421
IS00,1424.4866
ITC3,1148.1205
FI19,698.9929
FI1B,725.3463
FI1C,716.9258
DEA1,926.5429
DEA2,992.72614
DEA3,893.5648
DEA4,899.7344
DEA5,1055.2914
DEB1,890.3311
DEB2,935.57806
DEB3,838.3195
DEC0,963.7051
DED2,818.6095
DED4,901.1686
DED5,730.5362
DEE0,708.35
DEF0,840.05273
DEG0,817.853
DK01,745.72046
DK02,723.5102
DK03,821.58777
DK04,818.3745
ES41,696.3402
ES42,522.5512
HU23,702.5316
HU31,687.4034
HU32,696.1056
HU33,640.64703
IE04,1254.8932
EE00,760.9037
EL30,418.77405
EL41,578.5282
EL43,469.66888
EL51,730.7279
EL52,709.04926
FI20,636.1036
FR10,753.20355
FRB0,784.3062
FRC1,990.296
FRC2,1383.1941
FRD1,861.56055
FRD2,831.1184
FRE1,841.51624
FRE2,816.8197
FRF1,1110.101
NL13,850.683
NL21,864.4222
NL22,858.33093
NL23,892.88275
NL31,861.25555
NL32,936.18207
ITG2,541.82416
ITH1,1273.7949
ITH2,1386.5673
FRI3,833.088
FRJ1,959.238
FRJ2,1068.0973
FRK1,1048.1842
FRK2,1259.9666
FRL0,891.3181
FRM0,720.2664
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,697.0282
TR32,681.8208
TR33,530.4136
HR03,1256.0347
HR02,893.49457
HU11,624.20215
HU12,646.6561
HU21,675.3084
HU22,718.0994
PT16,858.85046
PT17,609.92224
FRF2,948.837
FRF3,1043.9271
FRG0,776.87177
FRH0,871.5896
FRI1,999.1316
FRI2,1094.9592
ITC4,1204.8485
ITF1,934.48315
ITF2,849.8585
ITF3,1017.5946
ITF4,602.7127
ITF5,684.5003
ITF6,856.651
ITG1,576.84595
LT01,782.94446
LT02,771.5192
LU00,968.4532
PL22,879.85315
PL41,680.6381
PL42,750.52246
PT18,570.2162
PT20,0.0
PT30,466.99554
RO11,985.1969
RO12,958.13257
RO21,780.3028
RO22,604.6494
RO31,736.39404
RO32,680.65063
ITH3,1212.5361
ITH4,1580.7808
ITH5,955.3948
ITI1,938.4803
ITI2,925.6046
ITI3,838.0586
ITI4,1017.78937
LI00,1928.8826
FI1D,683.4561
TR82,811.5934
TR83,745.9404
TR90,1331.7312
TRA1,809.2944
TRA2,813.7563
PL43,702.3849
PL51,798.68695
PL52,765.976
PL61,676.0687
PL62,752.6501
PL63,763.948
PL71,704.47424
PL72,735.7307
PL81,741.91064
PL82,895.74713
PL84,723.5064
PL91,704.3401
PL92,699.941
PT11,1091.3854
PT15,515.2895
TRB1,796.2579
TRB2,762.2887
TRC1,627.9515
RS12,680.90875
RS21,868.1681
RS22,757.66266
SE11,642.42645
SE12,696.6515
NL33,881.1368
NL34,830.6016
NL41,842.62244
NL42,863.6677
PL21,926.4577
UKM6,1473.226
TR22,678.0759
TRC2,617.7298
TRC3,748.3775
UKC1,857.13916
UKC2,864.36383
UKD1,1261.7678
UKD3,1063.54
UKD4,1214.5067
UKD6,911.8497
UKD7,1038.5435
UKE1,744.9823
UKE2,900.54443
UKE3,805.3051
RO41,814.17975
RO42,904.51807
RS11,728.23627
TR41,597.65186
TR42,841.9599
TR51,481.13605
TR52,467.44604
TR61,747.60223
TR62,802.0164
TR63,722.06647
TR71,482.9105
TR72,616.5127
TR81,979.80914
UKK1,797.68054
UKK2,875.0048
UKK3,997.68835
UKK4,957.1366
UKL1,1201.0657
UKL2,1035.3369
UKM5,964.35913
UKM7,1155.5789
UKM8,1409.111
UKM9,1202.8549
UKN0,1093.5726
SE21,725.15
SE22,761.6101
SE23,882.22656
SE31,784.8007
SE32,827.001
SE33,797.13025
SI03,1149.3098
SI04,1423.2413
SK01,679.97565
SK02,749.8405
SK03,912.39044
SK04,860.00995
TR10,703.2007
TR21,643.70215
UKE4,921.79175
UKF1,800.5253
UKF2,715.62506
UKF3,715.8142
UKG1,771.8435
UKG2,836.5536
UKG3,772.93524
UKH1,714.7478
UKH2,692.56946
UKH3,688.36334
UKI3,684.75903
UKI4,684.75903
UKI5,681.3305
UKI6,705.5787
UKI7,692.57227
UKJ1,727.0514
UKJ2,784.1316
UKJ3,795.1837
UKJ4,742.3227
NO09,1330.412
NO0A,1971.0109
NO0B,765.32355
HR05,909.80963
HR06,889.03906
NO02,946.0182
NO06,1337.7407
NO07,1130.3418
NO08,997.47095
