nuts,Annual Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,858.85846
DE60,886.4571
DE71,878.98975
DE72,890.3366
DE73,888.6629
DE80,746.75305
DE91,832.5099
BG41,826.0119
BG42,807.40753
CH01,1715.5754
AT32,1614.4966
AT33,1624.2755
AT34,1751.0721
BE10,826.15656
BE23,831.9409
BE24,848.6916
BE25,830.03577
BE31,875.03973
BE32,876.2913
BE33,1024.096
BE34,1045.8416
BE35,990.8206
BG31,750.14844
BG32,742.3346
BG33,686.0775
BG34,720.45953
DE92,842.0133
DE93,845.94995
DE94,896.9109
CZ07,876.17267
CZ08,927.28937
AL01,1467.8617
AL02,1140.676
AL03,1081.9573
AT11,798.32074
AT12,918.3967
AT13,759.05054
AT21,1379.3396
AT22,1239.382
AT31,1305.3888
DK05,855.2966
BE21,856.32056
BE22,904.14954
ES43,592.9979
ES51,754.74554
ES52,464.06888
ES53,419.40225
ES61,516.2419
ES62,338.13156
ES63,613.2365
ES64,322.4463
CH02,1652.6284
CH03,1421.9995
CH04,1396.4689
CH05,1537.1963
CH06,1834.4431
CH07,1761.3705
CY00,364.1556
CZ01,704.1599
CZ02,753.0206
CZ03,888.8864
CZ04,823.1128
CZ05,872.8774
CZ06,756.95496
DE40,709.2788
EL53,722.68384
EL54,1191.6224
EL61,780.51324
EL62,1074.7987
EL63,999.0218
ES70,12.082968
ITC1,1399.8248
ITC2,1537.917
DE11,1009.578
DE12,1079.3416
DE13,1239.6482
DE14,1231.8481
DE21,1314.645
DE22,1045.7834
DE23,959.22943
DE24,932.4151
DE25,921.36957
DE26,910.2115
DE27,1313.9806
DE30,694.3154
EL42,459.4594
LV00,797.7822
ME00,1594.6636
MK00,759.563
MT00,405.30295
NL11,925.5611
NL12,960.0229
EL64,697.9547
EL65,627.7859
ES11,1290.7327
ES12,1286.4667
ES13,1114.963
ES21,1081.2712
ES22,922.0724
ES23,712.8402
ES24,632.6713
ES30,550.32855
IE05,1107.8262
IE06,955.0307
IS00,1466.2239
ITC3,1185.2389
FI19,718.6829
FI1B,747.6073
FI1C,734.009
DEA1,955.7118
DEA2,1003.974
DEA3,910.13885
DEA4,901.006
DEA5,1063.1771
DEB1,898.974
DEB2,943.28625
DEB3,863.10297
DEC0,987.25555
DED2,840.935
DED4,902.9338
DED5,734.8883
DEE0,725.1203
DEF0,866.2676
DEG0,826.0183
DK01,772.2874
DK02,760.3584
DK03,855.4247
DK04,853.7187
ES41,698.2555
ES42,507.0272
HU23,745.276
HU31,717.7028
HU32,722.3934
HU33,672.4558
IE04,1269.5029
EE00,783.9255
EL30,421.03586
EL41,608.00214
EL43,460.50974
EL51,746.0854
EL52,711.19037
FI20,656.60657
FR10,778.58234
FRB0,814.2752
FRC1,1010.61255
FRC2,1413.2701
FRD1,883.3729
FRD2,861.68823
FRE1,871.4832
FRE2,843.22144
FRF1,1146.2933
NL13,863.43854
NL21,882.4376
NL22,887.48334
NL23,912.9981
NL31,887.4272
NL32,962.2033
ITG2,542.8838
ITH1,1309.5864
ITH2,1407.7378
FRI3,859.73395
FRJ1,965.41394
FRJ2,1079.7909
FRK1,1056.5012
FRK2,1267.4177
FRL0,905.9094
FRM0,723.77405
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,715.4227
TR32,696.9776
TR33,545.3649
HR03,1302.7239
HR02,927.9534
HU11,655.4713
HU12,679.31934
HU21,714.3104
HU22,761.20044
PT16,843.6403
PT17,584.6987
FRF2,983.01196
FRF3,1077.8499
