nuts,April Total Precipitation (mm) (1981 - 2010)
DE50,57.675125
DE60,54.910824
DE71,62.763348
DE72,63.637733
DE73,64.37919
DE80,47.368164
DE91,58.747936
BG41,83.332306
BG42,73.25671
CH01,133.80704
AT32,112.84112
AT33,117.65083
AT34,125.683815
BE10,60.0171
BE23,60.26084
BE24,61.126682
BE25,59.555046
BE31,63.33767
BE32,64.20345
BE33,74.015045
BE34,77.34109
BE35,72.49807
BG31,74.195724
BG32,66.01618
BG33,59.20599
BG34,63.43392
DE92,58.863506
DE93,55.243855
DE94,56.479137
CZ07,59.022747
CZ08,64.04634
AL01,134.5668
AL02,112.26032
AL03,95.29961
AT11,56.371273
AT12,63.87423
AT13,52.150604
AT21,107.41721
AT22,87.469215
AT31,89.024635
DK05,47.17628
BE21,59.334953
BE22,62.819294
ES43,63.698776
ES51,74.23766
ES52,51.181656
ES53,35.08738
ES61,55.607674
ES62,37.63317
ES63,54.609394
ES64,38.7833
CH02,123.630356
CH03,106.568375
CH04,104.49832
CH05,119.795784
CH06,136.46959
CH07,162.42186
CY00,20.743544
CZ01,47.570343
CZ02,50.93766
CZ03,61.02275
CZ04,56.087605
CZ05,55.87851
CZ06,52.104626
DE40,47.461655
EL53,73.69597
EL54,94.818115
EL61,62.16837
EL62,59.785263
EL63,76.562515
ES70,13.41275
ITC1,143.57213
ITC2,144.20207
DE11,73.289185
DE12,77.23923
DE13,91.9551
DE14,92.176476
DE21,93.75271
DE22,70.40707
DE23,64.882126
DE24,64.85109
DE25,64.01272
DE26,64.970726
DE27,96.209496
DE30,46.45825
EL42,24.08009
LV00,46.080387
ME00,138.15924
MK00,80.30403
MT00,18.885372
NL11,53.831493
NL12,48.77834
EL64,53.904247
EL65,45.776062
ES11,125.21702
ES12,125.58479
ES13,108.583595
ES21,108.2994
ES22,97.06665
ES23,80.875626
ES24,69.93613
ES30,63.868843
IE05,78.195564
IE06,72.151024
IS00,99.880844
ITC3,119.38047
FI19,39.583263
FI1B,37.61787
FI1C,37.710888
DEA1,62.254364
DEA2,70.13368
DEA3,60.493145
DEA4,63.22448
DEA5,72.79722
DEB1,65.586296
DEB2,69.060875
DEB3,63.722656
DEC0,70.14618
DED2,55.438225
DED4,63.14771
DED5,50.73387
DEE0,50.06961
DEF0,49.916405
DEG0,60.95354
DK01,40.553978
DK02,40.12036
DK03,45.54391
DK04,47.278053
ES41,75.28678
ES42,60.929474
HU23,58.20484
HU31,59.102314
HU32,59.766777
HU33,56.94146
IE04,85.26451
EE00,40.77997
EL30,27.88801
EL41,37.99427
EL43,27.425556
EL51,61.658604
EL52,64.06555
FI20,35.639637
FR10,62.807278
FRB0,68.58758
FRC1,85.739944
FRC2,109.60563
FRD1,66.163765
FRD2,65.861946
FRE1,63.299007
FRE2,65.58244
FRF1,82.81381
NL13,53.84222
NL21,55.922855
NL22,56.72576
NL23,54.720833
NL31,56.729137
NL32,50.060734
ITG2,61.289616
ITH1,104.95747
ITH2,124.91686
FRI3,75.49338
FRJ1,93.95862
FRJ2,108.0765
FRK1,100.65793
FRK2,112.76689
FRL0,93.68786
FRM0,73.33836
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,56.357418
TR32,55.229847
TR33,59.89201
HR03,109.82727
HR02,79.01727
HU11,53.49843
HU12,54.95351
HU21,54.52249
HU22,55.929127
PT16,84.70947
PT17,60.459095
FRF2,75.42233
FRF3,77.86096
FRG0,64.815254
FRH0,69.4197
FRI1,98.16908
