nuts,April Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,59.057796
DE60,57.687702
DE71,63.251225
DE72,63.04148
DE73,63.876965
DE80,50.97643
DE91,57.702087
BG41,83.02037
BG42,71.75475
CH01,125.923195
AT32,116.55167
AT33,121.329704
AT34,130.54855
BE10,58.66366
BE23,58.675957
BE24,60.63077
BE25,57.332226
BE31,62.341038
BE32,60.309597
BE33,73.834984
BE34,72.402245
BE35,70.58055
BG31,75.66824
BG32,68.32763
BG33,59.487877
BG34,63.081223
DE92,60.137
DE93,57.26831
DE94,57.43096
CZ07,67.44363
CZ08,78.31884
AL01,114.1015
AL02,102.65034
AL03,85.460754
AT11,57.843307
AT12,70.85522
AT13,57.988544
AT21,106.227936
AT22,90.82029
AT31,102.41977
DK05,51.758923
BE21,59.86565
BE22,63.9926
ES43,53.485
ES51,69.42423
ES52,49.028637
ES53,35.26388
ES61,45.67422
ES62,36.16228
ES63,39.387486
ES64,28.248024
CH02,119.00923
CH03,109.153114
CH04,110.92449
CH05,121.74294
CH06,137.62677
CH07,153.77542
CY00,17.353127
CZ01,50.62363
CZ02,53.806274
CZ03,66.90229
CZ04,60.410595
CZ05,62.752964
CZ06,55.191128
DE40,50.677647
EL53,67.378235
EL54,82.91378
EL61,57.95038
EL62,49.95882
EL63,67.29257
ES70,0.38758776
ITC1,124.31439
ITC2,121.858406
DE11,73.5322
DE12,76.361336
DE13,92.43053
DE14,95.77465
DE21,96.19424
DE22,76.33551
DE23,65.894966
DE24,64.511116
DE25,64.033875
DE26,65.57926
DE27,97.07464
DE30,49.368607
EL42,21.449942
LV00,52.410267
ME00,116.70908
MK00,74.63886
MT00,16.455406
NL11,56.5476
NL12,52.302296
EL64,49.44127
EL65,38.383686
ES11,103.42923
ES12,114.58909
ES13,99.89191
ES21,101.25562
ES22,89.273544
ES23,74.93639
ES24,62.814995
ES30,56.998535
IE05,74.76163
IE06,67.17052
IS00,111.41206
ITC3,101.091576
FI19,43.96347
FI1B,43.669464
FI1C,42.229473
DEA1,62.633865
DEA2,69.41653
DEA3,59.638596
DEA4,62.966843
DEA5,71.579926
DEB1,63.943615
DEB2,65.63092
DEB3,62.67231
DEC0,66.73562
DED2,60.52211
DED4,67.78201
DED5,52.299488
DEE0,49.77188
DEF0,53.738075
DEG0,60.9667
DK01,43.96769
DK02,43.58543
DK03,49.98863
DK04,51.512928
ES41,67.19449
ES42,53.33552
HU23,54.812325
HU31,57.793785
HU32,60.230747
HU33,55.310947
IE04,84.29159
EE00,48.917427
EL30,24.345861
EL41,35.344986
EL43,23.860905
EL51,56.62644
EL52,57.181927
FI20,36.239017
FR10,58.657192
FRB0,67.45854
FRC1,87.54522
FRC2,106.89094
FRD1,60.523384
FRD2,62.19385
FRE1,60.674072
FRE2,60.964684
FRF1,79.751526
NL13,54.74556
NL21,57.22258
NL22,59.086212
NL23,58.304756
NL31,60.15918
NL32,53.33895
ITG2,52.037365
ITH1,103.13204
ITH2,116.043724
FRI3,70.74345
FRJ1,86.18217
FRJ2,97.47949
FRK1,97.95426
FRK2,106.80806
FRL0,80.50432
FRM0,66.11074
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,51.649445
TR32,48.9766
TR33,54.82113
HR03,103.5693
HR02,74.71488
HU11,50.020935
HU12,51.74499
HU21,54.1546
