nuts,August Total Precipitation (mm) (1981 - 2010)
DE50,82.61648
DE60,87.03311
DE71,68.98694
DE72,74.56624
DE73,77.74886
DE80,74.92959
DE91,73.737976
BG41,65.436325
BG42,50.63927
CH01,163.52841
AT32,181.22969
AT33,187.63269
AT34,191.48018
BE10,72.04179
BE23,71.3993
BE24,73.52269
BE25,70.20958
BE31,74.56841
BE32,73.02411
BE33,86.38194
BE34,83.05098
BE35,81.43699
BG31,62.785843
BG32,57.024624
BG33,48.87953
BG34,43.772823
DE92,77.051926
DE93,80.62602
DE94,82.74932
CZ07,89.90342
CZ08,96.66197
AL01,56.432327
AL02,41.981457
AL03,31.217665
AT11,85.4129
AT12,98.179634
AT13,76.93681
AT21,150.27348
AT22,140.28113
AT31,141.40598
DK05,77.091095
BE21,74.0454
BE22,76.02299
ES43,10.377066
ES51,63.972683
ES52,29.450531
ES53,16.361006
ES61,8.6199875
ES62,13.912103
ES63,9.442878
ES64,6.1527095
CH02,166.7546
CH03,145.03973
CH04,138.8491
CH05,163.16228
CH06,206.21489
CH07,177.603
CY00,1.1918033
CZ01,80.95691
CZ02,84.125465
CZ03,97.32507
CZ04,87.56175
CZ05,91.95511
CZ06,81.88296
DE40,71.07737
EL53,30.166042
EL54,26.16267
EL61,27.289932
EL62,13.459262
EL63,18.116968
ES70,3.91834
ITC1,118.22217
ITC2,131.63478
DE11,81.24761
DE12,82.45789
DE13,105.66583
DE14,118.46761
DE21,145.01662
DE22,107.6992
DE23,93.2641
DE24,81.55044
DE25,79.65294
DE26,71.40198
DE27,136.54324
DE30,68.15243
EL42,0.6504721
LV00,83.766495
ME00,70.85646
MK00,41.186584
MT00,2.874563
NL11,87.75218
NL12,92.18725
EL64,18.37672
EL65,10.188222
ES11,46.58324
ES12,79.64683
ES13,74.32486
ES21,65.30212
ES22,61.597286
ES23,44.481045
ES24,50.232067
ES30,17.374296
IE05,89.033
IE06,85.69526
IS00,106.70145
ITC3,64.99297
FI19,85.96707
FI1B,81.138
FI1C,85.45354
DEA1,78.39756
DEA2,84.31301
DEA3,76.70812
DEA4,80.34953
DEA5,89.16138
DEB1,73.15636
DEB2,75.578445
DEB3,66.397934
DEC0,71.75863
DED2,88.70999
DED4,92.25252
DED5,71.6953
DEE0,68.46371
DEF0,83.69192
DEG0,76.28846
DK01,73.659225
DK02,72.0102
