nuts,August Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,81.648735
DE60,84.37225
DE71,65.81291
DE72,71.17063
DE73,73.523476
DE80,72.07068
DE91,72.49587
BG41,55.961845
BG42,40.833656
CH01,149.29753
AT32,162.21138
AT33,171.24791
AT34,172.96722
BE10,63.198265
BE23,66.74869
BE24,64.61199
BE25,67.52793
BE31,65.219894
BE32,63.4196
BE33,79.80455
BE34,76.810616
BE35,70.03314
BG31,54.03755
BG32,45.42637
BG33,41.947117
BG34,34.088943
DE92,76.30624
DE93,79.48334
DE94,81.724464
CZ07,81.73556
CZ08,87.19708
AL01,44.943592
AL02,30.548601
AL03,25.201212
AT11,81.24131
AT12,90.51629
AT13,73.820625
AT21,136.0954
AT22,129.32729
AT31,127.708115
DK05,83.26392
BE21,69.15988
BE22,68.74012
ES43,7.5519867
ES51,55.480095
ES52,22.428036
ES53,11.817609
ES61,6.7312074
ES62,10.478328
ES63,7.627516
ES64,5.2412877
CH02,153.95262
CH03,138.40068
CH04,133.72351
CH05,152.11827
CH06,193.74348
CH07,169.5317
CY00,0.85504276
CZ01,79.20672
CZ02,80.30348
CZ03,88.08768
CZ04,83.2961
CZ05,84.7416
CZ06,77.19432
DE40,64.26718
EL53,28.841461
EL54,19.933878
EL61,28.055254
EL62,10.731608
EL63,16.925766
ES70,0.19041494
ITC1,107.14015
ITC2,117.12635
DE11,80.58662
DE12,81.6434
DE13,103.25114
DE14,113.12165
DE21,129.88963
DE22,95.99065
DE23,83.68831
DE24,75.162964
DE25,75.816284
DE26,68.53235
DE27,121.75632
DE30,61.15634
EL42,0.68038464
LV00,93.11512
ME00,53.573948
MK00,35.195793
MT00,2.2519338
NL11,88.574394
NL12,85.96753
EL64,18.483664
EL65,10.036087
ES11,33.365208
ES12,61.91176
ES13,57.164318
ES21,51.840565
ES22,52.148354
ES23,34.020374
ES24,41.40195
ES30,12.970441
IE05,79.437485
IE06,76.00434
IS00,109.10374
ITC3,59.849476
FI19,96.18196
FI1B,89.51323
FI1C,93.7353
DEA1,73.23812
DEA2,83.76541
DEA3,74.561325
DEA4,77.12114
DEA5,83.74482
DEB1,67.7702
DEB2,70.58732
DEB3,64.084335
DEC0,64.83158
DED2,87.15094
DED4,85.85697
DED5,64.31386
DEE0,65.70736
DEF0,82.98881
DEG0,70.955345
DK01,78.631386
DK02,73.49427
DK03,84.17823
DK04,86.43041
ES41,22.283133
ES42,13.291185
HU23,57.999763
HU31,59.460285
HU32,54.260605
HU33,51.920956
IE04,102.789955
EE00,101.16425
EL30,3.9831877
EL41,1.17234
EL43,2.7299237
EL51,22.33522
EL52,34.05723
FI20,74.4093
FR10,50.297005
FRB0,48.89887
FRC1,68.22561
FRC2,97.09998
FRD1,52.098022
FRD2,55.677074
FRE1,63.620285
FRE2,58.826385
FRF1,90.15547
NL13,78.74647
NL21,73.27723
NL22,71.11944
NL23,79.918884
NL31,73.15573
NL32,84.12982
ITG2,8.141483
ITH1,133.48589
ITH2,132.34976
FRI3,44.36384
FRJ1,53.40242
FRJ2,72.51853
FRK1,75.57002
FRK2,85.09751
FRL0,43.489574
FRM0,16.715431
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.1352966
TR32,6.274052
TR33,9.686873
HR03,54.460827
HR02,62.52131
HU11,52.350964
HU12,56.587444
HU21,59.73332
HU22,66.662125
PT16,10.382466
PT17,3.8640256
FRF2,62.303032
FRF3,73.153435
FRG0,39.15119
FRH0,44.962765
FRI1,61.092793
FRI2,69.41693
ITC4,108.28834
ITF1,41.68746
ITF2,34.706482
ITF3,22.4677
ITF4,20.51671
ITF5,24.474548
ITF6,26.39836
ITG1,9.517619
LT01,83.58711
LT02,86.45309
LU00,74.529396
PL22,87.05976
PL41,68.68119
PL42,78.85941
PT18,5.3235807
PT20,0.0
PT30,0.0
RO11,80.156685
RO12,96.58747
RO21,76.3262
RO22,45.03835
RO31,62.888813
RO32,50.62596
ITH3,104.62439
ITH4,120.98591
ITH5,58.8641
ITI1,40.984737
ITI2,41.77466
ITI3,46.530704
ITI4,30.393307
LI00,211.66882
FI1D,93.04046
TR82,26.867031
TR83,20.964552
TR90,87.20465
TRA1,18.281168
TRA2,1.3763672
PL43,69.8614
PL51,77.94237
PL52,73.10954
PL61,72.14461
PL62,73.89678
PL63,85.96952
PL71,68.29126
PL72,75.79988
PL81,70.523865
PL82,81.040306
PL84,75.29447
PL91,69.26781
PL92,69.12652
PT11,19.222551
PT15,3.1082768
TRB1,3.4041781
TRB2,0.35688287
TRC1,1.2677984
RS12,47.999535
RS21,55.07741
RS22,47.074444
SE11,75.69752
SE12,87.60066
NL33,78.05823
NL34,72.19467
NL41,69.13073
NL42,68.43503
PL21,90.36
UKM6,117.27185
TR22,8.315011
TRC2,0.72095805
TRC3,0.16670692
