nuts,Autumn Total Precipitation (mm) (1981 - 2010)
DE50,203.534
DE60,215.94893
DE71,212.69742
DE72,214.4964
DE73,208.40482
DE80,173.4307
DE91,193.27611
BG41,170.08525
BG42,171.80927
CH01,404.68835
AT32,350.5405
AT33,347.93802
AT34,367.9337
BE10,193.91885
BE23,201.379
BE24,198.59909
BE25,216.20442
BE31,201.69641
BE32,204.41283
BE33,234.73593
BE34,246.2387
BE35,225.69673
BG31,152.13304
BG32,158.33714
BG33,158.36455
BG34,171.13712
DE92,200.34566
DE93,200.36784
DE94,224.73425
CZ07,183.80788
CZ08,194.7086
AL01,430.21912
AL02,316.64386
AL03,330.3368
AT11,183.80069
AT12,194.19257
AT13,167.21852
AT21,346.14243
AT22,271.81085
AT31,273.37906
DK05,246.19133
BE21,203.41487
BE22,209.9372
ES43,193.52875
ES51,226.67653
ES52,168.26903
ES53,166.33125
ES61,160.65717
ES62,120.86339
ES63,205.03777
ES64,108.6199
CH02,372.51935
CH03,315.9414
CH04,307.0216
CH05,357.13635
CH06,417.743
CH07,515.4203
CY00,82.34486
CZ01,146.77208
CZ02,157.72809
CZ03,181.20723
CZ04,175.5583
CZ05,183.93542
CZ06,160.74623
DE40,156.29031
EL53,186.63867
EL54,367.83887
EL61,215.43791
EL62,388.7514
EL63,307.2796
ES70,53.531727
ITC1,402.35675
ITC2,399.32855
DE11,226.39006
DE12,246.57979
DE13,279.9432
DE14,262.7063
DE21,276.81046
DE22,220.19356
DE23,208.35635
DE24,212.4286
DE25,205.75578
DE26,211.96443
DE27,273.93176
DE30,152.8442
EL42,107.75223
LV00,203.15858
ME00,471.84006
MK00,184.74455
MT00,163.70493
NL11,239.76862
NL12,285.31317
EL64,187.48131
EL65,178.26253
ES11,384.39365
ES12,348.13998
ES13,299.95334
ES21,284.778
ES22,237.34639
ES23,178.21129
ES24,176.81546
ES30,162.04077
IE05,306.05322
IE06,250.83151
IS00,413.2696
ITC3,393.25934
FI19,184.84113
FI1B,210.5278
FI1C,198.69522
DEA1,233.5326
DEA2,242.70563
DEA3,223.38489
DEA4,220.72762
DEA5,260.2716
DEB1,219.71323
DEB2,228.02553
DEB3,208.18727
DEC0,243.89937
DED2,181.74075
DED4,201.13431
DED5,170.05539
DEE0,164.75583
DEF0,221.08939
DEG0,189.46178
DK01,215.25429
