nuts,Autumn Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,217.49869
DE60,234.68947
DE71,214.25815
DE72,217.36691
DE73,211.42705
DE80,191.04349
DE91,196.60063
BG41,169.2703
BG42,167.54227
CH01,386.76285
AT32,370.6437
AT33,360.8152
AT34,365.26593
BE10,201.84258
BE23,207.20811
BE24,208.26883
BE25,219.97607
BE31,207.4348
BE32,208.83382
BE33,227.23459
BE34,240.47806
BE35,225.88173
BG31,166.79149
BG32,154.85728
BG33,156.4365
BG34,176.39357
DE92,204.50526
DE93,214.29573
DE94,235.84662
CZ07,202.15265
CZ08,213.1006
AL01,430.16968
AL02,305.8747
AL03,331.27786
AT11,213.43053
AT12,210.97968
AT13,185.09087
AT21,356.53317
AT22,294.3779
AT31,296.73074
DK05,271.80603
BE21,216.82191
BE22,218.88075
ES43,149.27644
ES51,218.24931
ES52,160.5993
ES53,150.09442
ES61,106.47186
ES62,98.09435
ES63,128.40771
ES64,67.8541
CH02,362.66104
CH03,322.98392
CH04,319.9071
CH05,353.96237
CH06,403.47882
CH07,464.08325
CY00,71.40522
CZ01,176.75357
CZ02,184.6631
CZ03,201.74017
CZ04,190.27179
CZ05,202.3251
CZ06,184.42212
DE40,169.89494
EL53,189.86784
EL54,350.8388
EL61,216.50569
EL62,398.6293
EL63,299.73495
ES70,2.593024
ITC1,382.63055
ITC2,382.81445
DE11,237.71646
DE12,250.49486
DE13,272.26398
DE14,269.89844
DE21,300.82193
DE22,237.93065
DE23,224.29367
DE24,218.4986
DE25,219.71812
DE26,220.42728
DE27,287.85492
DE30,166.76236
EL42,96.53443
LV00,233.08348
ME00,486.82574
MK00,187.09735
MT00,155.20209
NL11,246.34357
NL12,296.91376
EL64,166.29865
EL65,156.58221
ES11,313.77505
ES12,293.6258
ES13,258.7265
ES21,264.07675
ES22,220.91154
ES23,164.78954
ES24,160.85767
ES30,132.15906
IE05,319.0934
IE06,269.59576
IS00,507.6642
ITC3,400.49374
FI19,218.69151
FI1B,242.06395
FI1C,229.17082
DEA1,241.61389
DEA2,237.7117
DEA3,228.07433
DEA4,222.4445
DEA5,256.3484
DEB1,220.8073
DEB2,226.81381
DEB3,211.86816
DEC0,239.07715
DED2,192.1159
DED4,209.19568
DED5,178.30667
DEE0,173.25323
DEF0,242.82661
DEG0,193.67761
DK01,232.23425
DK02,222.27347
DK03,253.81137
DK04,259.67935
ES41,155.95299
ES42,122.251465
HU23,203.44426
HU31,173.08614
HU32,173.6277
HU33,169.45126
IE04,366.39215
EE00,244.3065
EL30,101.54762
EL41,139.66273
EL43,92.82431
EL51,170.16124
EL52,186.63266
FI20,239.80728
FR10,185.54338
FRB0,195.27228
FRC1,258.46707
FRC2,329.95233
FRD1,229.67343
FRD2,222.0367
FRE1,221.20132
FRE2,201.73398
FRF1,267.9072
NL13,221.31328
NL21,225.59683
NL22,220.94875
NL23,247.53183
NL31,228.07764
NL32,303.3813
ITG2,166.85114
ITH1,314.67447
ITH2,359.99704
FRI3,208.53671
FRJ1,304.19644
FRJ2,252.99724
FRK1,270.09702
FRK2,334.52127
FRL0,274.4689
FRM0,235.62164
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,170.87122
TR32,140.95175
TR33,110.48805
HR03,434.35242
HR02,253.54845
HU11,175.42755
HU12,175.27939
HU21,189.82146
HU22,205.204
PT16,201.52939
PT17,148.15213
FRF2,235.10178
FRF3,256.59653
FRG0,194.94196
FRH0,224.8408
FRI1,247.2405
FRI2,270.0458
ITC4,368.1919
ITF1,267.9237
ITF2,252.2807
ITF3,342.89975
ITF4,199.29715
ITF5,190.78595
ITF6,253.19258
ITG1,181.84355
LT01,197.87753
LT02,213.54324
LU00,233.91728
PL22,214.60306
PL41,161.1484
PL42,193.81827
PT18,134.12704
PT20,0.0
PT30,0.0
RO11,212.36667
RO12,187.12778
RO21,161.32147
RO22,140.29828
RO31,154.50813
RO32,156.71281
ITH3,374.24783
ITH4,494.09515
ITH5,307.02997
ITI1,338.57495
ITI2,297.8989
ITI3,240.27176
ITI4,365.77798
LI00,396.3635
FI1D,213.2823
TR82,195.6719
TR83,176.85146
TR90,363.27927
TRA1,144.0719
TRA2,6.038146
PL43,165.47496
PL51,185.57239
PL52,190.9212
PL61,163.51079
PL62,190.08548
PL63,202.18349
PL71,176.91145
PL72,182.35454
PL81,185.27881
PL82,213.92554
PL84,180.76802
PL91,171.4566
PL92,171.06555
PT11,257.53555
PT15,114.06141
TRB1,162.61343
TRB2,10.95276
TRC1,116.88703
RS12,169.3179
RS21,205.47574
RS22,175.28387
SE11,207.86041
SE12,202.61966
NL33,258.795
NL34,232.6579
NL41,221.0071
NL42,219.82707
PL21,218.63423
UKM6,489.04578
TR22,179.64725
TRC2,118.48798
TRC3,22.146439
UKC1,237.19002
UKC2,238.15688
UKD1,383.02045
UKD3,296.22388
UKD4,365.9298
