nuts,December Total Precipitation (mm) (1981 - 2010)
DE50,69.922844
DE60,70.8803
DE71,80.60709
DE72,80.32516
DE73,77.30028
DE80,58.187077
DE91,72.520454
BG41,69.34035
BG42,79.20524
CH01,134.79985
AT32,102.680435
AT33,99.64425
AT34,120.682945
BE10,73.33367
BE23,72.38545
BE24,75.61639
BE25,74.52701
BE31,77.24324
BE32,78.80428
BE33,92.83948
BE34,99.20524
BE35,89.68616
BG31,56.366676
BG32,54.45409
BG33,52.928047
BG34,67.059586
DE92,74.07516
DE93,69.0502
DE94,74.60101
CZ07,62.023167
CZ08,63.670284
AL01,180.63121
AL02,135.58076
AL03,144.28911
AT11,49.200855
AT12,57.034973
AT13,48.170525
AT21,81.20236
AT22,74.11011
AT31,89.05067
DK05,72.132675
BE21,75.089806
BE22,80.76416
ES43,90.93768
ES51,54.481026
ES52,41.383324
ES53,51.68689
ES61,82.23521
ES62,31.588476
ES63,116.36292
ES64,33.169514
CH02,124.73624
CH03,104.99886
CH04,103.66631
CH05,103.27895
CH06,125.04722
CH07,97.47475
CY00,75.224686
CZ01,48.995495
CZ02,53.58606
CZ03,61.760105
CZ04,62.83611
CZ05,66.30977
CZ06,51.41878
DE40,57.364388
EL53,91.65786
EL54,178.11536
EL61,115.64959
EL62,183.82649
EL63,155.71346
ES70,37.15609
ITC1,92.116066
ITC2,112.27664
DE11,87.3688
DE12,97.69546
DE13,106.71151
DE14,91.22476
DE21,88.94487
DE22,79.8451
DE23,78.905235
DE24,83.1925
DE25,78.017845
DE26,82.28198
DE27,93.740585
DE30,56.490368
EL42,94.234245
LV00,59.223007
ME00,182.82094
MK00,82.26838
MT00,86.89508
NL11,73.83652
NL12,85.96354
EL64,105.69167
EL65,104.501625
ES11,165.63286
ES12,126.41319
ES13,100.669075
ES21,104.14132
ES22,81.16584
ES23,60.984825
ES24,50.724987
ES30,63.643394
IE05,105.86193
IE06,84.598755
IS00,144.8937
ITC3,118.19366
FI19,51.501823
FI1B,64.678024
FI1C,59.743134
DEA1,86.13659
DEA2,92.17962
DEA3,81.50112
DEA4,81.28551
DEA5,97.37772
DEB1,82.6524
DEB2,89.30651
DEB3,79.01653
DEC0,98.931274
DED2,67.77506
DED4,75.43841
DED5,63.63528
DEE0,60.142776
DEF0,69.525475
DEG0,71.16771
DK01,66.57031
DK02,63.355118
DK03,69.936035
DK04,70.27718
ES41,76.31989
ES42,61.16281
HU23,58.385746
HU31,48.11446
HU32,53.306248
HU33,51.877407
IE04,120.344505
EE00,59.53974
EL30,73.62859
EL41,124.46062
EL43,87.69213
EL51,97.59884
EL52,92.225464
FI20,64.231346
FR10,73.161285
FRB0,74.497604
FRC1,92.14105
FRC2,128.76477
FRD1,90.67132
FRD2,82.04615
FRE1,80.469696
FRE2,78.63732
FRF1,104.46155
NL13,70.112854
NL21,74.91823
NL22,75.29145
NL23,78.51134
NL31,74.338585
NL32,87.96387
ITG2,72.17654
ITH1,74.97973
ITH2,79.6491
FRI3,84.07798
FRJ1,83.50939
FRJ2,89.29288
FRK1,85.018745
FRK2,108.25042
FRL0,83.24077
FRM0,95.09169
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,126.95844
TR32,121.34253
TR33,69.2585
HR03,144.44052
HR02,75.763115
HU11,49.128414
HU12,49.391533
HU21,54.1173
HU22,53.36712
PT16,124.632675
PT17,99.274254
FRF2,94.13699
FRF3,105.03807
FRG0,81.09747
FRH0,97.43847
FRI1,92.71657
FRI2,98.28398
ITC4,79.52311
ITF1,103.46096
ITF2,99.11988
ITF3,135.48732
ITF4,78.15382
ITF5,84.5789
ITF6,121.13107
ITG1,85.55174
