nuts,December Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,83.117836
DE60,85.46477
DE71,101.24729
DE72,100.37647
DE73,94.1079
DE80,71.20218
DE91,84.24191
BG41,69.587654
BG42,75.40618
CH01,143.70847
AT32,109.48712
AT33,107.56493
AT34,131.76744
BE10,90.48248
BE23,88.993416
BE24,92.48912
BE25,88.47529
BE31,94.13175
BE32,94.38161
BE33,111.16655
BE34,118.134315
BE35,108.26236
BG31,61.03514
BG32,59.766136
BG33,54.737926
BG34,66.4725
DE92,85.741
DE93,80.7207
DE94,89.575455
CZ07,69.36218
CZ08,70.67092
AL01,166.8116
AL02,116.33635
AL03,120.43941
AT11,52.85682
AT12,62.508293
AT13,53.582493
AT21,75.46171
AT22,78.42294
AT31,99.19188
DK05,87.56021
BE21,93.175835
BE22,97.84906
ES43,63.767574
ES51,44.462887
ES52,37.34021
ES53,43.738075
ES61,53.43259
ES62,23.157522
ES63,71.12773
ES64,20.763653
CH02,134.69142
CH03,118.89249
CH04,120.7103
CH05,109.14801
CH06,136.09854
CH07,88.87614
CY00,55.56512
CZ01,56.73858
CZ02,61.98091
CZ03,70.3808
CZ04,73.49921
CZ05,76.74638
CZ06,57.136024
DE40,70.163795
EL53,82.14492
EL54,139.26117
EL61,111.15642
EL62,170.87138
EL63,126.945564
ES70,1.1600132
ITC1,78.320885
ITC2,107.51162
DE11,103.75301
DE12,118.81769
DE13,127.7522
DE14,103.57015
DE21,98.46288
DE22,93.69793
DE23,94.11891
DE24,99.90574
DE25,95.572876
DE26,101.94465
DE27,103.872955
DE30,71.04281
EL42,81.41503
LV00,73.14553
ME00,175.5245
MK00,75.77903
MT00,76.49574
NL11,90.71261
NL12,103.8985
EL64,97.82478
EL65,84.33445
ES11,144.56912
ES12,106.56169
ES13,86.79123
ES21,91.9291
ES22,68.15944
ES23,50.76204
ES24,39.582367
ES30,46.471195
IE05,128.00366
IE06,97.773605
IS00,169.60242
ITC3,97.829704
FI19,66.41715
FI1B,80.49858
FI1C,75.204796
DEA1,104.4126
DEA2,110.98606
DEA3,98.88024
DEA4,93.43935
DEA5,117.79793
DEB1,98.56869
DEB2,102.85425
DEB3,97.10108
DEC0,116.26507
DED2,76.789696
DED4,85.60924
DED5,75.23436
DEE0,71.295715
DEF0,87.24641
DEG0,83.50653
DK01,82.25925
DK02,77.837654
DK03,90.622696
DK04,86.69555
ES41,61.683884
ES42,47.516716
HU23,67.63695
HU31,52.410748
HU32,59.262062
HU33,58.987595
IE04,149.77885
EE00,75.74204
EL30,61.70425
EL41,112.21094
EL43,68.28459
EL51,89.45758
EL52,91.39276
FI20,75.7369
FR10,81.44316
FRB0,80.73387
FRC1,100.04008
FRC2,149.48112
FRD1,106.12299
FRD2,96.52001
FRE1,95.59271
FRE2,92.89389
FRF1,120.52129
NL13,83.67553
NL21,90.97148
NL22,91.039246
NL23,94.601105
NL31,91.67358
NL32,103.65983
ITG2,54.46118
ITH1,78.71338
ITH2,68.50742
FRI3,87.96386
FRJ1,70.54563
FRJ2,73.42789
FRK1,82.42306
FRK2,108.55628
FRL0,72.30676
FRM0,82.36029
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,107.96098
TR32,97.10463
TR33,56.0347
HR03,136.16331
HR02,80.186165
HU11,56.354763
HU12,55.934437
HU21,62.20348
HU22,60.516632
PT16,94.08698
PT17,70.05948
FRF2,105.96576
FRF3,121.65748
FRG0,91.76854
FRH0,111.705246
FRI1,84.332
FRI2,97.2886
ITC4,69.00686
ITF1,84.25167
ITF2,78.78043
ITF3,111.824455
ITF4,65.71089
ITF5,69.75828
ITF6,100.99986
ITG1,68.67425
LT01,76.07519
LT02,73.987366
LU00,107.92169
PL22,73.229095
PL41,64.94751
PL42,75.39982
PT18,61.315968
PT20,0.0
PT30,0.0
RO11,75.050995
RO12,61.223087
RO21,49.464767
RO22,43.33565
RO31,54.548927
RO32,56.08588
ITH3,68.21893
ITH4,104.23955
ITH5,74.796005
ITI1,93.80905
ITI2,89.46099
ITI3,76.01505
ITI4,103.57885
LI00,133.13887
FI1D,58.84799
TR82,97.78112
TR83,79.26438
TR90,111.71204
TRA1,58.02685
TRA2,2.3413515
PL43,68.27341
PL51,70.80117
PL52,64.441574
PL61,64.35727
PL62,70.23911
PL63,72.28408
PL71,63.84718
PL72,61.21037
PL81,63.550186
PL82,71.91443
PL84,65.83591
PL91,66.61019
PL92,66.233765
PT11,121.40214
PT15,61.22257
TRB1,95.73382
TRB2,6.7275763
TRC1,81.91671
RS12,61.409714
RS21,77.57758
RS22,70.893166
SE11,62.217712
SE12,61.01277
NL33,95.5377
NL34,90.498375
NL41,91.18834
NL42,94.851715
PL21,68.2921
UKM6,185.69794
TR22,95.39373
TRC2,76.45917
TRC3,15.242232
UKC1,88.51427
UKC2,87.880035
UKD1,162.36739
UKD3,119.01321
UKD4,150.00423
UKD6,95.23343
UKD7,121.09453
UKE1,71.018074
UKE2,94.12775
UKE3,76.92171
RO41,65.91099
RO42,73.67819
RS11,63.943066
TR41,73.011536
TR42,98.38307
TR51,50.2413
TR52,48.54028
TR61,82.78072
TR62,88.09012
TR63,83.19284
TR71,52.094868
TR72,60.32095
TR81,117.54283
UKK1,84.41881
UKK2,97.98139
UKK3,122.627235
UKK4,111.52411
UKL1,156.77058
UKL2,118.07365
UKM5,95.65636
UKM7,128.69225
UKM8,175.65768
UKM9,145.99617
UKN0,117.403595
SE21,71.76494
SE22,75.90272
SE23,94.30456
SE31,67.6559
SE32,73.849976
SE33,73.515854
SI03,86.91797
SI04,108.07123
SK01,53.72261
SK02,63.41031
SK03,70.70098
SK04,62.57328
TR10,100.64786
TR21,76.44693
UKE4,93.91438
UKF1,76.443504
UKF2,65.17103
UKF3,65.09563
UKG1,77.06273
UKG2,84.05604
UKG3,74.98348
UKH1,69.90486
UKH2,66.61555
UKH3,73.301544
UKI3,70.721275
UKI4,70.721275
UKI5,69.15162
UKI6,74.486145
UKI7,70.36713
UKJ1,71.7248
UKJ2,94.92329
UKJ3,92.45182
UKJ4,83.13128
NO09,156.94594
NO0A,272.00516
NO0B,87.25751
HR05,79.03389
HR06,77.27627
NO02,83.44514
NO06,151.47226
NO07,120.26202
NO08,95.21463
