nuts,February Total Precipitation (mm) (1981 - 2010)
DE50,54.770542
DE60,55.433716
DE71,62.35491
DE72,61.55221
DE73,59.15723
DE80,46.72101
DE91,54.01481
BG41,54.61643
BG42,60.37586
CH01,113.482765
AT32,86.50787
AT33,85.01078
AT34,105.8963
BE10,58.31585
BE23,54.660168
BE24,59.99639
BE25,52.955708
BE31,62.06111
BE32,60.990658
BE33,76.325165
BE34,78.59356
BE35,72.25179
BG31,44.37517
BG32,46.53448
BG33,46.33998
BG34,54.586563
DE92,55.238617
DE93,54.157967
DE94,56.657486
CZ07,47.40439
CZ08,50.054897
AL01,137.00456
AL02,103.32432
AL03,103.85845
AT11,36.925335
AT12,47.72691
AT13,39.457386
AT21,57.024258
AT22,60.328808
AT31,76.32521
DK05,54.725086
BE21,59.033092
BE22,65.0865
ES43,56.115486
ES51,42.865032
ES52,35.808937
ES53,35.8328
ES61,54.26447
ES62,31.491701
ES63,86.26127
ES64,40.260258
CH02,103.91724
CH03,81.4266
CH04,82.689766
CH05,83.28847
CH06,106.55923
CH07,73.741486
CY00,59.449944
CZ01,38.08824
CZ02,42.356564
CZ03,50.237537
CZ04,49.372997
CZ05,51.176727
CZ06,40.35265
DE40,44.929173
EL53,66.6852
EL54,126.37967
EL61,80.894226
EL62,119.61767
EL63,119.04318
ES70,25.18236
ITC1,66.831665
ITC2,92.47576
DE11,68.086365
DE12,75.35081
DE13,79.87008
DE14,71.71039
DE21,73.54585
DE22,63.385345
DE23,61.812153
DE24,63.683525
DE25,61.371826
DE26,64.14522
DE27,77.18313
DE30,43.894787
EL42,76.22174
LV00,43.945145
ME00,140.57779
MK00,60.21259
MT00,46.43657
NL11,56.16673
NL12,59.656654
EL64,82.33066
EL65,82.18749
ES11,110.08539
ES12,97.09864
ES13,83.16158
ES21,85.83747
ES22,64.910774
ES23,48.40654
ES24,39.407516
ES30,42.780933
IE05,83.89986
IE06,63.85664
IS00,132.52841
ITC3,67.836624
FI19,35.35076
FI1B,43.30694
FI1C,40.16861
DEA1,66.38067
DEA2,73.32973
DEA3,61.36191
DEA4,60.99553
DEA5,75.9304
DEB1,63.935833
DEB2,68.84393
DEB3,59.748352
DEC0,72.7299
DED2,53.048916
DED4,58.880806
DED5,47.40213
DEE0,45.101498
DEF0,54.556465
DEG0,53.53376
DK01,47.423454
DK02,46.40665
DK03,54.795277
DK04,54.825005
ES41,52.148415
ES42,42.361652
HU23,40.463684
HU31,37.882565
HU32,41.382263
HU33,38.82328
IE04,91.746956
EE00,41.759167
EL30,53.949562
EL41,84.09102
EL43,76.66907
EL51,70.182014
EL52,60.92497
FI20,35.61134
FR10,54.155228
FRB0,57.26632
FRC1,72.24221
FRC2,102.32101
FRD1,64.737656
FRD2,58.010365
FRE1,57.824787
FRE2,58.008915
FRF1,77.443436
NL13,53.856506
NL21,55.878067
NL22,57.205208
NL23,56.652817
NL31,55.3353
NL32,58.996346
ITG2,50.23011
ITH1,56.198765
ITH2,52.35409
FRI3,60.52096
FRJ1,65.570816
FRJ2,74.10069
FRK1,69.85598
FRK2,84.207535
FRL0,55.26527
FRM0,56.17563
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,98.96838
TR32,99.376884
TR33,63.85608
HR03,97.92483
HR02,54.74641
HU11,34.6017
HU12,35.823776
HU21,37.56725
HU22,38.06529
PT16,79.286415
PT17,63.565342
FRF2,71.06925
FRF3,77.51682
FRG0,58.962322
FRH0,70.99184
FRI1,72.25197
FRI2,78.75641
ITC4,52.172203
ITF1,75.349815
ITF2,73.50255
ITF3,98.93234
ITF4,56.220535
ITF5,65.21675
ITF6,85.85148
ITG1,59.371944
LT01,45.509262
LT02,45.29973
LU00,71.49959
PL22,50.28203
PL41,41.823273
PL42,47.190807
PT18,56.281853
PT20,0.0
PT30,52.421326
RO11,54.486816
RO12,45.713837
RO21,37.45395
RO22,37.08462
RO31,40.823112
RO32,38.00787
ITH3,52.39945
ITH4,70.58247
ITH5,55.51309
ITI1,63.702957
ITI2,71.699585
ITI3,61.261
ITI4,86.19796
LI00,114.811646
FI1D,34.874905
TR82,68.553764
TR83,63.598423
TR90,90.673004
TRA1,65.92036
TRA2,52.857697
PL43,44.83141
PL51,49.146854
PL52,43.586487
PL61,40.236103
PL62,43.96076
PL63,45.339825
PL71,42.30892
PL72,41.297024
