nuts,February Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,52.856396
DE60,55.020157
DE71,60.883698
DE72,60.163044
DE73,57.80531
DE80,48.80261
DE91,55.97035
BG41,59.11031
BG42,67.50905
CH01,121.90599
AT32,93.790825
AT33,92.3697
AT34,108.17846
BE10,59.41134
BE23,56.332783
BE24,60.565384
BE25,56.64357
BE31,62.02387
BE32,61.68868
BE33,73.75672
BE34,77.69299
BE35,71.0594
BG31,50.48001
BG32,50.689026
BG33,50.65922
BG34,57.025803
DE92,56.621693
DE93,53.347095
DE94,55.75223
CZ07,52.22962
CZ08,56.34893
AL01,157.92627
AL02,111.892235
AL03,111.40606
AT11,48.908806
AT12,54.199608
AT13,46.69806
AT21,81.093445
AT22,69.00139
AT31,78.75453
DK05,54.416794
BE21,60.437897
BE22,63.93931
ES43,60.169434
ES51,53.957638
ES52,42.733242
ES53,39.012905
ES61,57.259457
ES62,27.896309
ES63,85.17548
ES64,37.209225
CH02,108.60412
CH03,88.386345
CH04,87.77638
CH05,91.74976
CH06,111.173386
CH07,104.91283
CY00,53.427998
CZ01,39.02122
CZ02,43.882797
CZ03,51.428207
CZ04,50.01736
CZ05,52.80195
CZ06,43.68722
DE40,46.453365
EL53,72.15362
EL54,133.98221
EL61,84.61279
EL62,131.06914
EL63,118.36906
ES70,1.2545315
ITC1,92.79423
ITC2,110.33466
DE11,68.83152
DE12,76.747116
DE13,85.25455
DE14,75.7791
DE21,76.84716
DE22,63.95633
DE23,60.696835
DE24,59.787632
DE25,59.828957
DE26,62.42781
DE27,80.26424
DE30,45.62864
EL42,75.44235
LV00,46.408012
ME00,171.971
MK00,65.130806
MT00,44.668392
NL11,56.242092
NL12,61.445274
EL64,82.9004
EL65,77.17954
ES11,116.69409
ES12,113.84386
ES13,96.80842
ES21,98.56183
ES22,77.283424
ES23,58.68663
ES24,45.591743
ES30,55.445576
IE05,92.14866
IE06,68.97705
IS00,146.21657
ITC3,98.23362
FI19,36.96505
FI1B,46.1574
FI1C,44.655037
DEA1,65.12156
DEA2,71.60493
DEA3,61.106632
DEA4,61.629482
DEA5,74.349075
DEB1,63.058903
DEB2,69.25024
DEB3,63.266457
DEC0,74.795
DED2,54.757713
DED4,58.318657
DED5,47.905014
DEE0,47.825336
DEF0,54.791847
DEG0,52.878227
DK01,48.642673
DK02,47.13466
DK03,56.165127
DK04,54.320595
ES41,65.53997
ES42,49.873684
HU23,59.388275
HU31,51.213943
HU32,54.360134
HU33,52.7851
IE04,92.4748
EE00,45.38028
EL30,53.92653
EL41,90.6603
EL43,70.02464
EL51,74.94063
EL52,62.191628
FI20,37.520084
FR10,57.049534
FRB0,63.073574
FRC1,81.85933
FRC2,114.055
FRD1,69.24081
FRD2,61.63082
FRE1,61.393013
FRE2,59.955578
FRF1,83.30529
NL13,56.029964
NL21,59.979034
NL22,60.556015
NL23,60.878227
NL31,58.01326
NL32,62.382687
ITG2,59.597282
ITH1,74.443405
ITH2,82.360214
FRI3,69.1633
FRJ1,80.74714
FRJ2,85.73205
FRK1,81.94431
FRK2,95.72648
FRL0,75.15476
FRM0,81.55316
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,98.61146
TR32,89.10625
TR33,60.217617
HR03,130.5448
HR02,74.75277
HU11,47.334435
HU12,48.329586
HU21,49.195023
HU22,53.97309
PT16,81.77434
PT17,63.777996
FRF2,74.65487
FRF3,80.21429
FRG0,64.61542
FRH0,78.05673
FRI1,86.51318
FRI2,88.20031
ITC4,78.18537
ITF1,84.48331
ITF2,86.59056
ITF3,116.7674
ITF4,64.849075
ITF5,73.951485
ITF6,96.17527
ITG1,63.853306
LT01,49.80865
LT02,48.500954
LU00,72.27419
PL22,53.90862
PL41,45.152103
PL42,49.076736
PT18,57.123226
PT20,0.0
PT30,0.0
RO11,63.453056
RO12,52.285767
RO21,47.13934
RO22,44.43574
RO31,47.41328
RO32,46.097042
ITH3,83.21067
ITH4,103.36269
ITH5,82.79201
ITI1,89.7748
ITI2,90.46319
ITI3,79.2143
ITI4,108.36929
LI00,124.19698
FI1D,37.767284
TR82,67.00777
TR83,65.39367
TR90,90.63877
TRA1,55.454914
TRA2,1.9005313
PL43,47.385708
PL51,51.079323
PL52,48.730114
PL61,42.355305
PL62,47.929195
PL63,46.61224
PL71,45.740906
PL72,45.7061
PL81,48.29492
PL82,61.654457
PL84,47.940273
PL91,46.27742
PL92,46.116405
PT11,98.400604
PT15,50.504784
TRB1,90.99675
TRB2,6.307678
TRC1,81.28661
RS12,54.560528
RS21,68.07937
RS22,58.360703
SE11,38.27097
SE12,39.733498
NL33,58.189686
NL34,56.126896
NL41,60.810432
NL42,62.96208
PL21,57.901608
UKM6,119.21083
TR22,87.07483
TRC2,77.57018
TRC3,16.35897
UKC1,66.64285
UKC2,65.52167
UKD1,93.35879
UKD3,75.73432
UKD4,88.34973
UKD6,65.10465
UKD7,71.50094
UKE1,51.0151
UKE2,65.51101
UKE3,55.522602
RO41,51.68456
RO42,68.47662
RS11,57.268044
TR41,64.187004
TR42,80.4609
TR51,48.765106
TR52,51.703594
TR61,86.99151
TR62,87.964165
TR63,88.548004
TR71,49.960915
TR72,57.240067
TR81,88.03107
UKK1,54.314
UKK2,64.170334
UKK3,83.13447
UKK4,74.18096
UKL1,90.81442
UKL2,75.77331
UKM5,75.17596
UKM7,93.42371
UKM8,109.08977
UKM9,91.99307
UKN0,81.74626
SE21,47.388924
SE22,49.509148
SE23,53.439514
SE31,42.368404
SE32,49.75446
SE33,50.526173
SI03,85.65281
SI04,103.62103
SK01,46.539093
SK02,52.354065
SK03,61.09521
SK04,59.86335
TR10,75.19518
TR21,68.925705
UKE4,66.86211
UKF1,55.636303
UKF2,46.67869
UKF3,46.2857
UKG1,51.756363
UKG2,60.584904
UKG3,52.279503
UKH1,49.47118
UKH2,49.03108
UKH3,49.60091
UKI3,50.51216
UKI4,50.51216
UKI5,49.477367
UKI6,51.63168
UKI7,51.484722
UKJ1,51.18538
UKJ2,60.005844
UKJ3,60.75519
UKJ4,54.947926
NO09,97.0264
NO0A,148.32748
NO0B,56.27099
HR05,70.4603
HR06,71.46355
NO02,53.063065
NO06,95.83111
NO07,92.039604
NO08,61.494015
