nuts,January Total Precipitation (mm) (1981 - 2010)
DE50,74.44237
DE60,73.22212
DE71,71.51425
DE72,74.7895
DE73,72.46976
DE80,57.687725
DE91,68.56688
BG41,50.2273
BG42,55.456696
CH01,127.049965
AT32,86.53107
AT33,85.401276
AT34,110.87411
BE10,68.27097
BE23,67.693115
BE24,69.84523
BE25,68.18661
BE31,71.429565
BE32,74.31716
BE33,88.504486
BE34,95.01988
BE35,84.644066
BG31,44.1729
BG32,47.336987
BG33,47.80793
BG34,53.23423
DE92,73.10794
DE93,71.49313
DE94,77.408066
CZ07,50.293365
CZ08,52.261757
AL01,136.05171
AL02,102.47505
AL03,100.68578
AT11,34.549774
AT12,47.643433
AT13,37.786446
AT21,54.666126
AT22,57.682396
AT31,79.636765
DK05,73.92066
BE21,70.27629
BE22,74.46434
ES43,66.49936
ES51,52.07837
ES52,38.538124
ES53,41.391674
ES61,58.378353
ES62,30.904692
ES63,90.33466
ES64,39.38609
CH02,113.71462
CH03,88.3484
CH04,88.992805
CH05,90.2516
CH06,114.83731
CH07,82.71564
CY00,72.1562
CZ01,41.20662
CZ02,46.749283
CZ03,56.208717
CZ04,56.86544
CZ05,59.79983
CZ06,42.870403
DE40,55.020565
EL53,67.47847
EL54,123.54903
EL61,94.77006
EL62,124.7735
EL63,117.419945
ES70,23.285957
ITC1,76.96573
ITC2,105.01067
DE11,75.58177
DE12,84.011925
DE13,90.32472
DE14,77.92124
DE21,76.0982
DE22,71.32935
DE23,71.59499
DE24,75.79528
DE25,68.99128
DE26,74.629456
DE27,81.83297
DE30,54.508068
EL42,87.07466
LV00,56.377785
ME00,133.34512
MK00,58.022137
MT00,72.70575
NL11,77.62885
NL12,82.95009
EL64,92.81163
EL65,88.360275
ES11,136.1288
ES12,109.84973
ES13,94.8497
ES21,97.649605
ES22,73.532555
ES23,55.622196
ES24,45.105377
ES30,48.770363
IE05,107.46107
IE06,83.55661
IS00,150.58043
ITC3,90.24695
FI19,48.316612
FI1B,58.46824
FI1C,54.229275
DEA1,81.53721
DEA2,87.25048
DEA3,79.38503
DEA4,78.81861
DEA5,95.094315
DEB1,75.163635
DEB2,83.03062
DEB3,65.94282
DEC0,86.04683
DED2,61.772514
DED4,67.39319
DED5,55.999535
DEE0,55.043823
DEF0,71.31305
DEG0,62.7544
DK01,61.881413
DK02,58.88245
DK03,70.27461
DK04,70.00304
ES41,62.68575
ES42,45.546288
HU23,42.014904
HU31,37.847755
HU32,41.79343
HU33,38.613625
IE04,120.85018
EE00,56.22152
EL30,66.86512
EL41,93.85745
EL43,83.960266
EL51,64.17857
EL52,61.84833
FI20,52.412308
FR10,63.618668
FRB0,68.04064
FRC1,84.13271
FRC2,115.63857
FRD1,83.89246
FRD2,72.577675
FRE1,74.28067
FRE2,70.06529
FRF1,87.50173
NL13,73.8471
NL21,75.089096
NL22,72.979355
NL23,76.877
NL31,71.70464
NL32,81.75599
ITG2,54.451828
ITH1,56.603436
ITH2,53.937634
FRI3,78.01537
FRJ1,78.946785
FRJ2,84.929085
FRK1,81.44257
FRK2,99.72342
FRL0,70.68559
FRM0,66.911194
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,104.47846
TR32,110.0507
TR33,64.85966
HR03,102.07044
HR02,57.538517
HU11,38.375717
HU12,38.312546
HU21,40.42981
HU22,37.41331
PT16,98.14475
PT17,74.84639
FRF2,84.695786
FRF3,91.82414
FRG0,76.91177
FRH0,91.40109
FRI1,84.96925
FRI2,94.4299
ITC4,60.73688
ITF1,75.56723
ITF2,77.50698
ITF3,102.867874
ITF4,61.621174
ITF5,68.46199
ITF6,105.18258
ITG1,78.34888
LT01,55.884163
LT02,56.72415
LU00,87.22665
PL22,54.903423
PL41,48.285065
PL42,58.219704
PT18,63.88081
PT20,0.0
PT30,51.038162
RO11,59.588356
RO12,47.10533
RO21,37.664093
RO22,38.295826
RO31,41.000763
RO32,39.426792
ITH3,56.926476
ITH4,74.87835
ITH5,64.7658
ITI1,71.50667
ITI2,66.574425
ITI3,60.903713
ITI4,81.868645
LI00,117.913124
FI1D,43.3418
TR82,71.808044
TR83,62.027985
TR90,96.7697
TRA1,57.496296
TRA2,42.62085
PL43,53.29951
PL51,56.094604
PL52,48.050087
PL61,46.469467
PL62,54.85879
PL63,56.086395
PL71,46.22771
PL72,44.885674
PL81,45.85133
PL82,53.686275
PL84,49.70507
PL91,47.216137
PL92,46.709415
PT11,119.52007
PT15,59.82621
TRB1,90.3504
TRB2,74.55892
TRC1,99.312164
RS12,44.45312
RS21,58.010864
RS22,51.023
SE11,48.848495
SE12,47.233658
NL33,73.63555
NL34,68.57012
NL41,70.37532
NL42,73.39617
PL21,53.70866
UKM6,161.39014
TR22,86.83063
TRC2,89.064
TRC3,99.59046
