nuts,January Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,79.83185
DE60,80.694695
DE71,85.07107
DE72,83.194115
DE73,81.8557
DE80,64.71346
DE91,74.15502
BG41,60.87013
BG42,69.83211
CH01,144.92996
AT32,103.95057
AT33,102.09065
AT34,128.74564
BE10,76.52915
BE23,76.07925
BE24,77.85082
BE25,76.69065
BE31,79.56572
BE32,82.83767
BE33,98.08221
BE34,104.70344
BE35,94.55503
BG31,56.19913
BG32,63.721237
BG33,60.716
BG34,63.572784
DE92,79.21166
DE93,77.3788
DE94,84.03464
CZ07,55.22477
CZ08,58.952705
AL01,152.3411
AL02,118.662025
AL03,111.86686
AT11,43.76266
AT12,56.836258
AT13,48.00269
AT21,67.12908
AT22,70.511215
AT31,96.87279
DK05,79.61509
BE21,77.5907
BE22,82.04484
ES43,63.63447
ES51,46.885235
ES52,33.877956
ES53,42.21683
ES61,51.669426
ES62,29.019707
ES63,72.55576
ES64,36.381023
CH02,131.34254
CH03,105.22635
CH04,104.24023
CH05,103.62819
CH06,130.66174
CH07,98.70218
CY00,61.957985
CZ01,51.386303
CZ02,56.521984
CZ03,66.009155
CZ04,66.3336
CZ05,66.73028
CZ06,48.767178
DE40,62.39206
EL53,70.23436
EL54,133.87396
EL61,95.55795
EL62,139.83768
EL63,127.9014
ES70,1.176548
ITC1,87.17751
ITC2,119.36636
DE11,89.754036
DE12,99.66122
DE13,107.62417
DE14,92.02917
DE21,91.35666
DE22,85.0026
DE23,83.9188
DE24,87.07794
DE25,82.88964
DE26,86.918526
DE27,95.53227
DE30,62.352974
EL42,85.35929
LV00,61.63584
ME00,156.43933
MK00,65.38035
MT00,65.83567
NL11,85.18426
NL12,91.202225
EL64,90.48309
EL65,91.346634
ES11,159.58978
ES12,127.29449
ES13,104.50518
ES21,107.212234
ES22,82.39467
ES23,61.96307
ES24,47.04932
ES30,50.61633
IE05,115.47954
IE06,91.624016
IS00,153.40791
ITC3,98.24439
FI19,55.321915
FI1B,69.65601
FI1C,63.81672
DEA1,89.86238
DEA2,96.77618
DEA3,86.15109
DEA4,84.815155
DEA5,104.26027
DEB1,84.09089
DEB2,89.97359
DEB3,78.3193
DEC0,96.067184
DED2,67.89471
DED4,76.03543
DED5,62.658607
DEE0,60.802235
DEF0,79.69409
DEG0,71.5082
DK01,70.20056
DK02,67.728935
DK03,78.191246
DK04,76.36783
ES41,70.5773
ES42,43.490734
HU23,51.99458
HU31,44.408115
HU32,49.645817
HU33,48.37903
IE04,130.0474
EE00,62.37063
EL30,62.239098
EL41,108.67224
EL43,74.51558
EL51,76.29271
EL52,64.82215
FI20,59.49251
FR10,69.68144
FRB0,76.06174
FRC1,95.69205
FRC2,133.29013
FRD1,86.922356
FRD2,76.87881
FRE1,82.00051
FRE2,76.56803
FRF1,103.009415
NL13,80.959305
NL21,83.33217
NL22,78.025116
NL23,84.80933
NL31,80.280876
NL32,90.46053
ITG2,53.27209
ITH1,67.78569
ITH2,64.350945
FRI3,93.7537
FRJ1,81.00383
FRJ2,91.06284
FRK1,93.258064
FRK2,115.731705
FRL0,77.03158
FRM0,75.307594
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,124.077896
TR32,121.38679
TR33,76.25259
HR03,122.70412
HR02,70.49063
HU11,46.83949
HU12,46.264126
HU21,49.606827
HU22,48.860943
PT16,102.74973
PT17,70.447395
FRF2,95.167336
FRF3,105.73977
FRG0,84.01573
FRH0,93.86349
FRI1,98.636
FRI2,107.51649
ITC4,66.76755
ITF1,84.50985
ITF2,82.3754
ITF3,117.5997
ITF4,64.77183
ITF5,71.45374
ITF6,104.4581
ITG1,80.07207
LT01,60.793507
LT02,62.38855
LU00,94.851494
PL22,59.422062
PL41,54.282383
PL42,66.882774
PT18,59.425865
PT20,0.0
PT30,0.0
RO11,70.04884
RO12,58.436234
RO21,49.75156
RO22,48.905193
RO31,50.08374
RO32,48.375015
ITH3,73.40277
ITH4,88.54897
ITH5,75.84686
ITI1,85.119736
ITI2,78.63703
ITI3,67.57252
ITI4,96.72389
LI00,135.1721
FI1D,48.59122
TR82,79.08973
TR83,73.37665
TR90,113.67521
TRA1,56.57802
TRA2,2.543062
PL43,59.15013
PL51,62.341057
PL52,53.371
PL61,53.951767
PL62,58.733376
PL63,61.922153
PL71,51.80531
PL72,51.46686
PL81,54.103554
PL82,61.93467
PL84,54.741783
PL91,53.766594
PL92,52.97963
PT11,136.60008
PT15,45.82559
TRB1,105.24916
TRB2,7.2866554
TRC1,98.64042
RS12,54.68733
RS21,68.71506
RS22,64.717316
SE11,56.667496
SE12,55.14927
NL33,82.7299
NL34,76.90544
NL41,77.53524
NL42,79.8538
PL21,60.710712
UKM6,165.16977
TR22,102.00134
TRC2,84.413765
TRC3,16.689758
UKC1,87.50791
UKC2,87.618515
UKD1,130.4942
UKD3,98.12975
UKD4,119.78981
UKD6,81.82817
UKD7,95.21939
UKE1,68.27056
UKE2,89.56696
UKE3,70.47214
RO41,58.309006
RO42,65.717
RS11,55.69979
TR41,74.42709
TR42,93.21451
TR51,59.99113
TR52,65.00724
TR61,115.71638
TR62,104.43038
TR63,104.54858
TR71,58.402496
TR72,66.60045
TR81,100.157486
UKK1,78.532364
UKK2,88.8081
UKK3,112.828384
UKK4,100.25235
UKL1,128.78076
UKL2,107.58703
UKM5,96.08562
UKM7,127.88929
UKM8,156.9939
UKM9,130.21846
UKN0,109.362076
SE21,62.82918
SE22,68.972206
SE23,75.56852
SE31,60.856625
SE32,69.71737
SE33,63.092407
SI03,73.13971
SI04,91.24466
SK01,44.52861
SK02,51.95568
SK03,62.568344
SK04,56.136497
TR10,89.53509
TR21,79.10588
UKE4,86.05213
UKF1,69.52954
UKF2,64.357185
UKF3,63.06038
UKG1,72.595856
UKG2,76.57795
UKG3,69.71042
UKH1,66.832565
UKH2,61.881855
UKH3,64.33051
UKI3,62.25537
UKI4,62.25537
UKI5,61.16965
UKI6,65.0548
UKI7,62.160995
UKJ1,66.530975
UKJ2,83.97098
UKJ3,80.589226
UKJ4,76.83336
NO09,141.30109
NO0A,203.19817
NO0B,64.43013
HR05,68.56889
HR06,65.01915
NO02,75.08744
NO06,122.705666
NO07,100.1892
NO08,85.60672
