nuts,July Total Precipitation (mm) (1981 - 2010)
DE50,89.722244
DE60,90.69059
DE71,76.038
DE72,80.085
DE73,83.49685
DE80,73.31507
DE91,80.75056
BG41,75.34635
BG42,69.46794
CH01,165.6355
AT32,192.34904
AT33,200.45923
AT34,205.14203
BE10,75.89025
BE23,76.38671
BE24,77.46961
BE25,71.43102
BE31,77.78954
BE32,75.347046
BE33,89.52991
BE34,86.18902
BE35,83.825874
BG31,75.719795
BG32,75.29642
BG33,62.471943
BG34,59.028187
DE92,81.11983
DE93,87.8674
DE94,87.080315
CZ07,103.48884
CZ08,115.84009
AL01,55.359882
AL02,42.230843
AL03,28.955065
AT11,80.17314
AT12,103.667694
AT13,80.63696
AT21,148.89856
AT22,140.47878
AT31,149.1764
DK05,65.879486
BE21,78.77825
BE22,80.23728
ES43,7.20136
ES51,47.08239
ES52,14.759542
ES53,4.8196
ES61,5.644121
ES62,6.374273
ES63,3.0818155
ES64,2.5396984
CH02,170.43074
CH03,149.52942
CH04,146.55905
CH05,172.63318
CH06,210.98364
CH07,170.67752
CY00,1.3321078
CZ01,89.31175
CZ02,92.92401
CZ03,107.316124
CZ04,94.64039
CZ05,102.95294
CZ06,91.5157
DE40,72.741425
EL53,34.165283
EL54,24.22696
EL61,25.321198
EL62,6.4642906
EL63,16.819668
ES70,3.8269188
ITC1,102.441345
ITC2,131.6786
DE11,94.29113
DE12,92.70526
DE13,116.135376
DE14,134.51756
DE21,156.15494
DE22,119.07446
DE23,105.382195
DE24,92.58912
DE25,93.04301
DE26,81.211334
DE27,152.31276
DE30,70.62914
EL42,0.5041648
LV00,84.531944
ME00,66.79092
MK00,46.600773
MT00,0.4710724
NL11,93.233795
NL12,86.01232
EL64,17.992632
EL65,8.781656
ES11,43.91616
ES12,78.58177
ES13,75.318474
ES21,64.88953
ES22,54.505222
ES23,47.397747
ES24,36.696865
ES30,15.090398
IE05,80.76004
IE06,77.941055
IS00,89.58872
ITC3,45.169106
FI19,89.91424
FI1B,72.29678
FI1C,79.51665
DEA1,82.25858
DEA2,87.61299
DEA3,81.66189
DEA4,82.60116
DEA5,94.90688
DEB1,76.19009
DEB2,79.09959
DEB3,70.48273
DEC0,74.108986
DED2,90.57808
DED4,97.73599
DED5,74.66456
DEE0,73.01986
DEF0,82.160904
DEG0,82.59661
DK01,67.34352
DK02,65.1557
DK03,73.941376
DK04,70.103836
ES41,30.936377
ES42,12.480026
HU23,62.830166
HU31,75.22497
HU32,73.49352
HU33,58.653633
IE04,96.30743
EE00,80.90924
EL30,4.1133237
EL41,1.7633734
EL43,1.9011804
EL51,40.493176
EL52,37.607697
FI20,54.124493
FR10,59.52424
FRB0,61.23999
FRC1,71.111984
FRC2,105.53874
FRD1,61.700882
FRD2,65.87541
FRE1,68.35101
FRE2,65.69729
FRF1,94.44492
NL13,88.903015
NL21,86.30644
NL22,82.91207
NL23,86.45083
NL31,84.13392
NL32,80.00435
ITG2,6.2500544
ITH1,154.73312
ITH2,156.40927
FRI3,56.686817
FRJ1,48.009937
FRJ2,75.010056
FRK1,75.24117
FRK2,90.39558
FRL0,42.904896
FRM0,14.024121
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,4.1603274
TR32,6.401873
TR33,13.73342
HR03,45.938786
HR02,74.59574
HU11,59.63825
HU12,63.26341
HU21,63.857502
HU22,70.52832
PT16,14.49162
PT17,5.3069263
FRF2,72.04012
FRF3,78.1981
FRG0,53.429638
FRH0,53.882217
FRI1,67.92407
FRI2,76.73715
ITC4,102.37141
ITF1,48.283886
ITF2,39.351837
ITF3,25.311876
ITF4,20.323801
ITF5,27.672207
ITF6,22.61692
ITG1,6.011806
LT01,90.627945
LT02,87.33987
LU00,81.38613
PL22,110.738976
PL41,86.1147
PL42,81.54739
PT18,5.2841554
PT20,0.0
PT30,7.6621947
RO11,114.830734
RO12,126.4741
RO21,107.35894
RO22,63.561058
RO31,88.18732
RO32,81.9067
ITH3,109.838806
ITH4,128.68874
ITH5,55.396854
ITI1,34.04211
ITI2,38.985382
ITI3,44.31977
ITI4,32.304665
LI00,234.65933
FI1D,89.15504
TR82,42.466236
TR83,32.721455
TR90,103.40926
TRA1,47.94176
TRA2,64.64778
PL43,79.78166
PL51,100.61183
PL52,100.8865
PL61,85.34356
PL62,87.499435
PL63,88.15298
PL71,86.9678
PL72,92.06314
PL81,91.45655
PL82,116.01203
PL84,84.52167
PL91,81.47893
PL92,82.31042
PT11,27.472977
PT15,2.3617246
TRB1,11.246888
TRB2,20.19204
TRC1,2.895605
RS12,61.734318
RS21,78.32516
RS22,63.155994
SE11,69.61774
SE12,83.889366
NL33,81.04885
NL34,77.18309
NL41,79.16109
NL42,78.32361
PL21,119.26525
UKM6,99.293724
TR22,14.567622
TRC2,2.1440394
TRC3,3.4425845
UKC1,70.48966
UKC2,72.35859
UKD1,94.40021
UKD3,87.00009
UKD4,92.328354
UKD6,77.72723
UKD7,83.44949
UKE1,66.17907
UKE2,73.475334
UKE3,70.45258
RO41,86.11478
RO42,89.95928
RS11,66.35488
TR41,23.41417
TR42,44.319443
TR51,16.182173
TR52,9.410141
TR61,11.457628
TR62,16.136765
TR63,8.423745
TR71,10.98438
TR72,14.945865
TR81,64.09672
UKK1,64.60619
UKK2,64.27373
UKK3,70.004944
UKK4,70.17855
UKL1,83.61075
UKL2,79.65943
UKM5,77.389275
UKM7,89.00005
UKM8,100.62107
UKM9,89.69827
UKN0,88.98098
SE21,83.9344
SE22,79.72555
SE23,93.08764
SE31,89.89973
SE32,103.006294
SE33,105.27086
SI03,103.23274
SI04,111.590706
SK01,75.03697
SK02,79.340965
SK03,102.6098
SK04,109.90281
TR10,29.276157
TR21,28.94335
UKE4,75.94076
UKF1,70.201805
UKF2,64.70422
UKF3,65.77097
UKG1,66.10774
UKG2,70.5855
UKG3,68.18156
UKH1,61.653378
UKH2,60.57026
UKH3,56.396282
UKI3,57.228004
UKI4,57.228004
UKI5,57.51305
UKI6,59.216095
UKI7,57.990334
UKJ1,62.631866
UKJ2,54.937344
UKJ3,57.197895
UKJ4,56.153988
NO09,104.871735
NO0A,136.21713
NO0B,35.28917
HR05,78.534874
HR06,79.08451
NO02,110.23524
NO06,117.77248
NO07,100.64992
NO08,103.2072
