nuts,July Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,90.7247
DE60,88.8157
DE71,76.39028
DE72,79.1763
DE73,84.46445
DE80,77.04946
DE91,81.42273
BG41,69.369225
BG42,60.952007
CH01,152.82152
AT32,188.25694
AT33,193.68498
AT34,192.90657
BE10,75.507866
BE23,77.70013
BE24,78.37322
BE25,70.07964
BE31,76.474655
BE32,73.73
BE33,89.17761
BE34,86.25981
BE35,82.16763
BG31,71.00202
BG32,73.50042
BG33,56.95002
BG34,51.95085
DE92,82.41955
DE93,86.59362
DE94,88.128006
CZ07,100.28452
CZ08,111.9706
AL01,41.298786
AL02,28.031136
AL03,20.317177
AT11,83.455826
AT12,106.611946
AT13,83.13483
AT21,150.2518
AT22,138.66428
AT31,148.01118
DK05,63.155983
BE21,82.949196
BE22,80.50797
ES43,6.76398
ES51,41.1341
ES52,12.201578
ES53,4.3297915
ES61,4.758624
ES62,5.9131117
ES63,2.5010982
ES64,2.1717155
CH02,158.59448
CH03,147.13533
CH04,143.6655
CH05,161.11633
CH06,194.82173
CH07,161.6396
CY00,1.1253569
CZ01,88.43828
CZ02,90.79511
CZ03,105.465225
CZ04,96.43144
CZ05,99.18285
CZ06,90.76417
DE40,77.588684
EL53,26.191515
EL54,17.410833
EL61,22.280272
EL62,5.414179
EL63,11.803995
ES70,0.24578176
ITC1,102.00834
ITC2,117.961655
DE11,97.16566
DE12,94.12526
DE13,115.922775
DE14,130.96532
DE21,152.51921
DE22,115.20101
DE23,100.889046
DE24,86.88285
DE25,91.32508
DE26,78.87938
DE27,152.82515
DE30,76.04104
EL42,0.40802708
LV00,86.46972
ME00,57.201385
MK00,38.44754
MT00,0.25941008
NL11,94.861305
NL12,85.10392
EL64,15.768595
EL65,6.3580723
ES11,39.989067
ES12,81.02789
ES13,72.85949
ES21,58.90028
ES22,51.743393
ES23,46.17339
ES24,35.067787
ES30,14.68238
IE05,75.246735
IE06,72.06188
IS00,93.23597
ITC3,45.388504
FI19,95.60726
FI1B,74.600426
FI1C,82.40289
DEA1,86.442215
DEA2,85.989876
DEA3,84.40453
DEA4,81.054344
DEA5,93.996376
DEB1,75.73966
DEB2,80.44901
DEB3,71.55176
DEC0,74.82322
DED2,97.76873
DED4,101.14712
DED5,81.63252
DEE0,76.99414
DEF0,82.343506
DEG0,79.16546
DK01,68.27218
DK02,65.38058
DK03,73.9652
DK04,69.46058
ES41,31.613829
ES42,12.244434
HU23,60.60873
HU31,71.352936
HU32,66.75176
HU33,52.599487
IE04,91.36736
EE00,83.823524
EL30,2.7052534
EL41,1.992319
EL43,2.154003
EL51,35.81725
EL52,34.318333
FI20,58.150833
FR10,57.6821
FRB0,60.109486
FRC1,69.23184
FRC2,102.84244
FRD1,58.710796
FRD2,62.6665
FRE1,67.19521
FRE2,64.31748
FRF1,94.783066
NL13,87.93067
NL21,88.02865
NL22,85.696846
NL23,85.98513
NL31,84.80399
NL32,78.29483
ITG2,7.0060673
ITH1,150.46556
ITH2,153.20306
FRI3,49.114204
FRJ1,45.067295
FRJ2,70.288124
FRK1,69.9126
FRK2,83.73247
FRL0,38.70304
FRM0,15.472075
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.329142
TR32,5.6961803
TR33,11.225282
HR03,38.57637
HR02,66.9643
HU11,52.93493
HU12,57.214733
HU21,61.00544
HU22,70.0275
PT16,13.123654
PT17,4.032391
FRF2,71.30039
FRF3,78.144516
FRG0,49.095932
FRH0,48.756027
FRI1,65.33607
FRI2,70.6091
ITC4,103.33145
ITF1,48.306835
ITF2,40.142643
ITF3,21.118717
ITF4,18.529438
ITF5,22.143085
ITF6,17.3488
