nuts,June Total Precipitation (mm) (1981 - 2010)
DE50,82.99472
DE60,81.40641
DE71,73.203415
DE72,76.84656
DE73,78.6726
DE80,73.36176
DE91,74.445564
BG41,91.71821
BG42,81.6197
CH01,162.67253
AT32,184.85165
AT33,192.87352
AT34,197.92654
BE10,73.93312
BE23,70.99585
BE24,76.402176
BE25,67.821434
BE31,77.488525
BE32,75.41614
BE33,91.02776
BE34,88.18185
BE35,85.87182
BG31,87.21336
BG32,83.15029
BG33,72.775085
BG34,65.98673
DE92,75.1053
DE93,77.74295
DE94,80.60778
CZ07,98.27534
CZ08,107.274704
AL01,74.96309
AL02,59.68923
AL03,42.668877
AT11,92.07305
AT12,105.0195
AT13,84.90385
AT21,158.00159
AT22,148.37094
AT31,141.44733
DK05,65.434006
BE21,74.5691
BE22,80.37135
ES43,22.544596
ES51,62.200962
ES52,31.493563
ES53,13.017844
ES61,18.180622
ES62,19.232122
ES63,7.043001
ES64,8.472546
CH02,161.71378
CH03,141.1043
CH04,139.82478
CH05,166.98732
CH06,192.9798
CH07,170.58601
CY00,3.4177203
CZ01,76.51699
CZ02,79.41458
CZ03,95.142456
CZ04,83.284325
CZ05,89.425095
CZ06,86.77241
DE40,67.40231
EL53,38.42618
EL54,36.494205
EL61,28.542212
EL62,13.9399805
EL63,23.254839
ES70,5.022363
ITC1,127.44336
ITC2,144.94373
DE11,88.888245
DE12,89.14773
DE13,113.006546
DE14,126.18981
DE21,148.8468
DE22,107.029015
DE23,94.01444
DE24,82.03172
DE25,84.46433
DE26,74.957115
DE27,144.4992
DE30,65.50296
EL42,1.2837738
LV00,86.85301
ME00,88.066956
MK00,59.0604
MT00,2.6095836
NL11,82.784546
NL12,72.59083
EL64,19.880543
EL65,10.21162
ES11,63.474915
ES12,85.540634
ES13,78.88501
ES21,70.34338
ES22,65.900955
ES23,64.54692
ES24,54.60602
ES30,32.062965
IE05,79.91541
IE06,78.51517
IS00,74.91683
ITC3,73.860115
FI19,73.06274
FI1B,66.84018
FI1C,70.6265
DEA1,81.5947
DEA2,87.67404
DEA3,79.175674
DEA4,79.62126
DEA5,91.76479
DEB1,77.106995
DEB2,79.686775
DEB3,70.62506
DEC0,75.846634
DED2,78.198975
DED4,88.0314
DED5,67.451965
DEE0,65.984505
DEF0,76.8462
DEG0,74.99425
DK01,68.64629
DK02,69.89169
DK03,73.18227
DK04,69.31664
ES41,46.055126
ES42,32.37736
HU23,79.30819
HU31,81.78707
HU32,79.33434
HU33,74.07912
IE04,91.15156
EE00,80.56901
EL30,4.534309
EL41,4.182442
EL43,3.185662
EL51,50.100372
EL52,44.212116
FI20,50.476067
FR10,61.387585
FRB0,59.78854
FRC1,78.203766
FRC2,113.88538
FRD1,59.771763
FRD2,65.18474
FRE1,68.99447
FRE2,68.819885
FRF1,96.39706
NL13,80.38108
NL21,79.24
NL22,77.14939
NL23,75.51683
NL31,73.71355
NL32,67.43148
ITG2,17.87071
ITH1,154.44943
ITH2,164.25421
FRI3,58.494846
FRJ1,64.680984
FRJ2,89.19021
FRK1,88.50165
FRK2,105.805046
FRL0,65.45163
FRM0,33.242035
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,10.090289
TR32,12.968111
TR33,23.974228
HR03,75.810234
HR02,93.98777
HU11,69.81294
HU12,74.55893
HU21,75.27284
HU22,84.32981
PT16,30.355026
PT17,14.1184225
FRF2,76.176834
FRF3,84.51734
FRG0,50.587677
FRH0,54.133656
FRI1,75.02386
FRI2,86.06051
ITC4,115.07169
ITF1,68.17292
ITF2,55.21082
ITF3,39.12429
ITF4,26.950844
ITF5,34.653378
ITF6,26.985445
ITG1,12.863817
LT01,89.34139
LT02,84.23385
LU00,82.443634
PL22,100.82162
PL41,71.66896
PL42,76.74897
PT18,16.988003
PT20,0.0
PT30,13.064416
RO11,119.146355
RO12,130.17444
RO21,108.47197
RO22,74.482285
RO31,93.92379
RO32,86.26929
ITH3,126.400856
ITH4,156.81654
ITH5,75.05592
ITI1,55.66204
ITI2,61.482998
ITI3,65.28596
ITI4,51.008114
LI00,226.42892
FI1D,74.81008
TR82,67.753624
TR83,59.69701
TR90,118.803986
TRA1,72.47641
TRA2,93.41272
PL43,71.1588
PL51,84.00116
PL52,85.305145
PL61,73.04348
PL62,85.87118
PL63,79.782326
