nuts,June Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,95.250084
DE60,93.39235
DE71,80.70317
DE72,85.81836
DE73,86.10447
DE80,80.693085
DE91,84.55467
BG41,74.44727
BG42,67.04721
CH01,162.39426
AT32,206.90242
AT33,212.90659
AT34,225.42615
BE10,76.953964
BE23,70.34661
BE24,78.40161
BE25,69.57512
BE31,79.66188
BE32,74.912384
BE33,93.24836
BE34,92.13705
BE35,86.350235
BG31,78.786865
BG32,75.00514
BG33,67.429085
BG34,57.938217
DE92,85.02656
DE93,86.61476
DE94,86.0243
CZ07,101.82068
CZ08,113.087204
AL01,64.10126
AL02,42.747936
AL03,31.034412
AT11,95.69638
AT12,113.96246
AT13,89.627525
AT21,163.7406
AT22,159.1697
AT31,153.18878
DK05,78.53522
BE21,76.68021
BE22,81.74373
ES43,11.297567
ES51,47.138783
ES52,21.507017
ES53,8.806577
ES61,11.040008
ES62,11.446838
ES63,4.979736
ES64,5.7868514
CH02,167.9415
CH03,162.20947
CH04,153.13568
CH05,180.33607
CH06,202.86938
CH07,173.35347
CY00,2.904485
CZ01,85.60162
CZ02,88.96196
CZ03,106.69834
CZ04,93.424644
CZ05,99.84622
CZ06,92.96619
DE40,77.99773
EL53,31.944014
EL54,25.261227
EL61,22.648077
EL62,12.458634
EL63,17.326674
ES70,0.32739243
ITC1,116.89367
ITC2,129.72948
DE11,98.255775
DE12,97.67833
DE13,129.78476
DE14,141.41046
DE21,167.36815
DE22,120.866936
DE23,105.42213
DE24,91.45376
DE25,96.007744
DE26,86.84582
DE27,159.30594
DE30,77.640945
EL42,1.4883611
LV00,98.94714
ME00,72.188446
MK00,47.25994
MT00,1.9171882
NL11,92.56557
NL12,80.3004
EL64,16.44304
EL65,10.042597
ES11,41.471573
ES12,67.06675
ES13,64.32967
ES21,63.261654
ES22,53.324398
ES23,50.47154
ES24,39.042534
ES30,18.920393
IE05,74.12355
IE06,73.19734
IS00,76.93083
ITC3,57.77422
FI19,86.44229
FI1B,81.42671
FI1C,84.54256
DEA1,81.467255
DEA2,91.280876
DEA3,82.04043
DEA4,84.00543
DEA5,95.74078
DEB1,85.99729
DEB2,84.89542
DEB3,80.18856
DEC0,82.07683
DED2,91.76301
DED4,95.45587
DED5,73.5666
DEE0,77.48646
DEF0,87.27641
DEG0,82.75143
DK01,77.93458
DK02,80.52148
DK03,88.015854
DK04,83.70267
ES41,34.1238
ES42,19.953985
HU23,84.573616
HU31,82.62178
HU32,79.10175
HU33,75.10155
IE04,92.10551
EE00,92.03833
EL30,4.8293138
EL41,5.4771953
EL43,3.5742939
EL51,43.230278
EL52,35.97217
FI20,56.13554
FR10,59.672615
FRB0,51.92423
FRC1,81.69646
FRC2,121.952675
FRD1,57.673214
FRD2,60.237263
FRE1,67.27687
FRE2,65.35329
FRF1,107.15666
NL13,87.68109
NL21,84.80354
NL22,84.38251
NL23,83.4734
NL31,79.32409
NL32,75.68526
ITG2,13.284722
ITH1,161.03214
ITH2,162.84592
FRI3,48.819984
FRJ1,48.0143
FRJ2,68.87634
FRK1,71.25389
FRK2,93.950905
FRL0,53.238186
FRM0,25.229565
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,11.868466
TR32,12.9397335
TR33,23.624979
HR03,69.43372
HR02,91.186615
HU11,70.60652
HU12,72.66227
HU21,76.931435
HU22,88.037415
PT16,15.054943
PT17,7.295872
FRF2,77.10724
FRF3,89.538635
FRG0,44.088367
FRH0,49.152832
FRI1,60.916138
FRI2,67.76028
ITC4,110.199394
ITF1,52.194607
ITF2,46.4728
ITF3,30.016506
ITF4,21.92695
ITF5,24.651772
ITF6,17.93785
ITG1,7.5238867
LT01,97.17056
LT02,92.58575
LU00,88.194336
PL22,108.0616
PL41,84.64072
PL42,90.6443
PT18,9.008793
PT20,0.0
PT30,0.0
RO11,118.17961
RO12,124.81824
RO21,106.84116
RO22,69.1569
RO31,92.58894
RO32,85.03254
ITH3,124.403786
ITH4,144.36311
ITH5,66.89915
ITI1,41.893425
ITI2,46.112442
ITI3,52.708675
ITI4,37.627537
LI00,261.86526
FI1D,97.31413
TR82,53.99287
TR83,45.044975
TR90,94.09814
TRA1,43.949036
TRA2,2.3256927
PL43,84.17873
PL51,94.49255
PL52,93.80081
PL61,86.37585
PL62,94.768326
PL63,90.41988
PL71,88.88181
PL72,101.14658
PL81,100.770546
PL82,117.224556
PL84,95.63318
PL91,97.03044
PL92,95.42332
PT11,27.316856
PT15,5.176245
TRB1,15.463706
TRB2,1.1521741
TRC1,6.868121
RS12,68.35941
RS21,80.896164
RS22,71.709114
SE11,69.24024
SE12,82.08115
NL33,71.26887
NL34,70.358315
NL41,78.18343
NL42,79.81777
PL21,119.9684
UKM6,89.054634
TR22,23.311502
TRC2,5.970577
TRC3,1.0322729
UKC1,76.01225
UKC2,78.02109
UKD1,96.26175
UKD3,89.45954
UKD4,94.438385
UKD6,81.68756
UKD7,86.858536
UKE1,68.3972
UKE2,76.96689
UKE3,78.254105
RO41,90.15031
RO42,99.18915
RS11,72.52613
TR41,32.650974
TR42,53.02687
TR51,28.548798
TR52,21.244823
TR61,20.556507
TR62,27.06059
TR63,13.924077
TR71,26.31336
TR72,30.65289
TR81,62.036793
UKK1,64.87094
UKK2,66.77426
UKK3,63.064083
UKK4,65.39662
UKL1,81.492355
UKL2,79.398224
UKM5,76.798355
UKM7,85.92333
UKM8,95.654724
UKM9,89.99609
UKN0,84.202354
SE21,78.8781
SE22,81.92736
SE23,99.06922
