nuts,March Total Precipitation (mm) (1981 - 2010)
DE50,70.98978
DE60,70.64461
DE71,77.06473
DE72,76.50531
DE73,75.77443
DE80,57.04241
DE91,70.8399
BG41,69.88475
BG42,73.12593
CH01,127.794014
AT32,122.49867
AT33,117.494064
AT34,134.33215
BE10,70.525505
BE23,67.29413
BE24,72.63467
BE25,63.772984
BE31,74.49113
BE32,74.61857
BE33,88.96617
BE34,91.22257
BE35,85.17496
BG31,62.368965
BG32,61.710304
BG33,58.09797
BG34,64.697044
DE92,72.91153
DE93,69.440254
DE94,72.43736
CZ07,58.397705
CZ08,60.846916
AL01,132.97643
AL02,107.564896
AL03,103.593704
AT11,54.49051
AT12,66.89825
AT13,56.217358
AT21,86.59578
AT22,87.04945
AT31,104.62225
DK05,58.67314
BE21,71.480835
BE22,77.61582
ES43,44.941433
ES51,49.495274
ES52,34.263218
ES53,29.554691
ES61,45.216915
ES62,32.180954
ES63,58.382046
ES64,42.018806
CH02,122.71843
CH03,104.58458
CH04,104.793076
CH05,107.34315
CH06,131.63026
CH07,100.21357
CY00,39.980488
CZ01,49.91019
CZ02,55.515762
CZ03,66.91058
CZ04,62.23676
CZ05,65.15654
CZ06,52.758972
DE40,57.212666
EL53,70.68555
EL54,112.697784
EL61,83.37036
EL62,91.174324
EL63,101.27199
ES70,20.809414
ITC1,87.472
ITC2,108.38608
DE11,86.15991
DE12,93.67986
DE13,98.57576
DE14,92.40156
DE21,100.15992
DE22,82.94213
DE23,77.22902
DE24,76.56394
DE25,76.863144
DE26,79.247314
DE27,100.304016
DE30,56.57107
EL42,51.791687
LV00,48.95032
ME00,135.89421
MK00,68.49335
MT00,31.983414
NL11,69.44022
NL12,67.95626
EL64,82.60782
EL65,75.082054
ES11,102.628975
ES12,99.451416
ES13,89.0644
ES21,87.77856
ES22,67.72956
ES23,51.48401
ES24,41.388535
ES30,39.89131
IE05,89.23205
IE06,74.43057
IS00,132.32324
ITC3,83.98424
FI19,39.257572
FI1B,44.34926
FI1C,42.37629
DEA1,81.33753
DEA2,87.52563
DEA3,78.84319
DEA4,79.14624
DEA5,93.47924
DEB1,78.22108
DEB2,81.244835
DEB3,73.65908
DEC0,85.64951
DED2,66.23761
DED4,73.26057
DED5,61.00827
DEE0,59.1747
DEF0,65.96537
DEG0,68.37331
DK01,50.81576
DK02,51.62354
DK03,62.615364
DK04,59.760456
ES41,50.565685
ES42,39.683125
HU23,51.43128
HU31,43.771286
HU32,46.300266
HU33,45.112038
IE04,102.90798
EE00,44.300365
EL30,54.895058
EL41,67.27002
EL43,53.909176
EL51,72.45079
EL52,66.18489
FI20,36.344067
FR10,60.99592
FRB0,60.80093
FRC1,76.20992
FRC2,113.627785
FRD1,69.7409
FRD2,68.509895
FRE1,68.32598
FRE2,68.46305
FRF1,93.66525
NL13,68.85614
NL21,72.770584
NL22,73.66433
NL23,71.56742
NL31,71.647606
NL32,68.50967
ITG2,54.039936
ITH1,80.95782
ITH2,81.31929
FRI3,62.22114
FRJ1,62.258484
FRJ2,78.848915
FRK1,73.229454
FRK2,91.133545
FRL0,60.27722
FRM0,61.017593
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,81.77329
TR32,78.03535
TR33,64.160095
HR03,103.662834
HR02,70.19394
HU11,41.462048
HU12,42.411427
HU21,47.748123
HU22,52.090908
PT16,64.016785
PT17,47.760506
FRF2,79.31329
FRF3,90.0506
FRG0,59.872025
FRH0,70.43054
FRI1,74.72808
FRI2,83.07661
ITC4,75.61139
ITF1,84.218765
ITF2,80.376816
ITF3,97.50342
ITF4,61.535915
ITF5,71.360825
ITF6,89.064224
ITG1,55.722317
LT01,51.38035
LT02,50.903584
LU00,83.940285
PL22,61.51432
PL41,52.368298
PL42,58.803295
PT18,44.015488
PT20,0.0
PT30,47.396484
RO11,68.72886
RO12,62.418827
RO21,52.411015
RO22,48.2898
RO31,53.564095
RO32,50.542957
ITH3,79.20357
ITH4,104.00437
ITH5,74.31828
ITI1,74.23313
ITI2,81.30293
ITI3,73.375885
ITI4,86.96537
