nuts,March Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,66.77112
DE60,65.21927
DE71,72.1723
DE72,70.559685
DE73,68.88438
DE80,54.180344
DE91,64.45729
BG41,74.93024
BG42,81.57029
CH01,123.1202
AT32,121.605316
AT33,116.76854
AT34,128.43005
BE10,67.97858
BE23,64.91422
BE24,69.424706
BE25,63.06578
BE31,71.97211
BE32,70.72995
BE33,80.74855
BE34,85.04101
BE35,80.550644
BG31,68.1712
BG32,67.3868
BG33,62.19679
BG34,76.204124
DE92,66.39283
DE93,63.89072
DE94,68.208694
CZ07,60.6009
CZ08,62.48318
AL01,136.23936
AL02,105.06793
AL03,99.44933
AT11,57.085167
AT12,66.465126
AT13,57.413425
AT21,98.380165
AT22,86.80989
AT31,105.42835
DK05,61.35523
BE21,68.94234
BE22,71.866356
ES43,50.687542
ES51,57.093616
ES52,34.396034
ES53,31.176638
ES61,47.540745
ES62,30.498728
ES63,56.571167
ES64,31.79061
CH02,117.50347
CH03,103.42985
CH04,100.17693
CH05,108.36451
CH06,126.25024
CH07,122.58757
CY00,36.712627
CZ01,50.324722
CZ02,56.414913
CZ03,66.47258
CZ04,59.417507
CZ05,63.5634
CZ06,53.733932
DE40,54.532753
EL53,73.657684
EL54,108.07599
EL61,88.99166
EL62,91.57446
EL63,96.50222
ES70,1.0941168
ITC1,108.01473
ITC2,116.41938
DE11,80.7208
DE12,86.5238
DE13,94.41849
DE14,89.337715
DE21,100.26774
DE22,81.62841
DE23,71.970566
DE24,69.75766
DE25,70.75498
DE26,71.33003
DE27,97.77519
DE30,53.900517
EL42,49.979603
LV00,49.853027
ME00,140.8847
MK00,73.40541
MT00,27.86071
NL11,67.265816
NL12,65.700066
EL64,80.24148
EL65,64.88491
ES11,110.76863
ES12,104.35776
ES13,92.62061
ES21,94.17485
ES22,73.68144
ES23,58.520943
ES24,49.53574
ES30,47.69283
IE05,89.34686
IE06,75.570404
IS00,140.36522
ITC3,104.59444
FI19,41.701706
FI1B,45.2053
FI1C,43.76128
DEA1,75.72096
DEA2,79.984604
DEA3,72.14459
DEA4,71.127884
DEA5,84.50399
DEB1,73.727135
DEB2,77.63869
DEB3,70.80276
DEC0,83.41522
DED2,63.23463
DED4,68.56966
DED5,57.107285
DEE0,55.171124
DEF0,61.345505
DEG0,63.526466
DK01,50.71006
DK02,50.610146
DK03,59.662678
DK04,59.048145
ES41,59.007362
