nuts,May Total Precipitation (mm) (1981 - 2010)
DE50,68.6477
DE60,70.55935
DE71,79.32906
DE72,79.99817
DE73,81.08376
DE80,63.734123
DE91,71.08659
BG41,98.36998
BG42,87.82266
CH01,161.77675
AT32,145.8469
AT33,156.34705
AT34,169.83362
BE10,72.23318
BE23,73.054344
BE24,73.705315
BE25,71.67042
BE31,76.024796
BE32,77.12054
BE33,85.01586
BE34,86.49552
BE35,83.106834
BG31,86.41517
BG32,77.3244
BG33,62.174244
BG34,66.69482
DE92,68.113205
DE93,68.38128
DE94,67.33056
CZ07,87.1388
CZ08,95.35424
AL01,97.81717
AL02,80.01373
AL03,63.344673
AT11,78.43708
AT12,91.98533
AT13,75.50307
AT21,133.84586
AT22,122.08931
AT31,120.45025
DK05,57.13574
BE21,73.318275
BE22,75.23252
ES43,52.90368
ES51,81.33853
ES52,53.744312
ES53,34.436222
ES61,43.091816
ES62,38.294945
ES63,29.936993
ES64,26.732437
CH02,160.09703
CH03,144.98975
CH04,137.64362
CH05,151.35088
CH06,176.93025
CH07,188.29979
CY00,12.332272
CZ01,70.73195
CZ02,73.02282
CZ03,86.32113
CZ04,77.72104
CZ05,80.18341
CZ06,77.54361
DE40,64.797104
EL53,62.77203
EL54,63.457027
EL61,48.077457
EL62,25.506952
EL63,49.914074
ES70,7.9406137
ITC1,150.02744
ITC2,156.5988
DE11,98.8414
DE12,102.4057
DE13,124.253136
DE14,126.39344
DE21,130.1808
DE22,96.69388
DE23,88.16239
DE24,82.991035
DE25,86.696556
DE26,82.35884
DE27,132.5573
DE30,64.46251
EL42,11.084466
LV00,62.446293
ME00,106.7001
MK00,74.11805
MT00,6.2753563
NL11,68.899025
NL12,64.04303
EL64,39.48408
EL65,29.01001
ES11,109.99515
ES12,121.377785
ES13,105.5315
ES21,96.69344
ES22,90.124344
ES23,90.345055
ES24,75.22004
ES30,63.56513
IE05,83.9117
IE06,77.16557
IS00,79.80345
ITC3,91.19709
FI19,51.197704
FI1B,46.1232
FI1C,48.405712
DEA1,73.113075
DEA2,80.00121
DEA3,71.04986
DEA4,72.96441
DEA5,84.50782
DEB1,78.60513
DEB2,81.700836
DEB3,80.53717
DEC0,84.587776
DED2,75.10936
DED4,83.89365
DED5,67.88991
DEE0,66.593666
DEF0,64.987526
DEG0,77.729225
DK01,53.57213
DK02,53.3325
DK03,60.537735
DK04,60.956238
ES41,76.859795
ES42,58.76545
HU23,66.25361
HU31,81.34648
HU32,75.607605
HU33,65.17878
IE04,90.979805
EE00,52.51644
EL30,15.861656
EL41,16.227592
EL43,15.06327
EL51,61.117657
EL52,58.960365
FI20,35.49827
FR10,70.20585
FRB0,76.6763
FRC1,95.50607
FRC2,132.85133
FRD1,71.89627
FRD2,72.77621
FRE1,74.301506
FRE2,74.415405
FRF1,110.1125
NL13,69.997826
NL21,71.311874
NL22,72.14045
NL23,71.28024
NL31,72.40401
NL32,63.00453
