nuts,May Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,74.64909
DE60,75.295364
DE71,83.36384
DE72,84.52217
DE73,86.233215
DE80,68.16551
DE91,76.006485
BG41,99.894844
BG42,89.73336
CH01,167.87004
AT32,157.98267
AT33,167.09682
AT34,179.52272
BE10,74.1132
BE23,77.316345
BE24,75.96479
BE25,74.77684
BE31,79.24941
BE32,80.87385
BE33,86.91673
BE34,92.09389
BE35,87.0465
BG31,93.76497
BG32,81.36616
BG33,66.40869
BG34,72.76567
DE92,72.26842
DE93,76.685425
DE94,69.521935
CZ07,88.95854
CZ08,97.85399
AL01,91.1699
AL02,74.06747
AL03,61.079613
AT11,82.53274
AT12,96.5675
AT13,80.36883
AT21,139.30553
AT22,131.35971
AT31,131.1331
DK05,57.34265
BE21,77.15264
BE22,79.2919
ES43,40.58343
ES51,78.153984
ES52,44.315826
ES53,31.678286
ES61,32.79573
ES62,27.832449
ES63,19.694065
ES64,19.240587
CH02,169.96288
CH03,155.79488
CH04,142.3366
CH05,156.67621
CH06,182.03166
CH07,170.03575
CY00,12.356235
CZ01,72.919754
CZ02,76.34481
CZ03,96.249794
CZ04,83.66866
CZ05,79.82414
CZ06,78.7924
DE40,66.85308
EL53,64.49858
EL54,54.859997
EL61,51.181458
EL62,22.079306
EL63,41.850544
ES70,0.3999417
ITC1,138.18776
ITC2,148.52538
DE11,104.69674
DE12,107.83704
DE13,132.94633
DE14,130.22092
DE21,143.24399
DE22,109.61528
DE23,97.78737
DE24,91.888535
DE25,94.43651
DE26,84.95257
DE27,142.90173
DE30,66.51428
EL42,8.9155
LV00,71.493164
ME00,101.49164
MK00,72.98669
MT00,5.871154
NL11,67.36496
NL12,64.2386
EL64,40.08755
EL65,24.574852
ES11,98.089294
ES12,106.90471
ES13,100.5316
ES21,90.0777
ES22,90.04283
ES23,85.155235
ES24,70.28972
ES30,55.709194
IE05,83.95758
IE06,77.28783
IS00,88.02128
ITC3,85.80705
FI19,57.051727
FI1B,52.61031
FI1C,53.534954
DEA1,77.625465
DEA2,83.00137
DEA3,69.62087
DEA4,75.32775
DEA5,89.542915
DEB1,81.69556
DEB2,85.32219
DEB3,83.392944
DEC0,87.68428
DED2,75.92876
DED4,92.09928
DED5,75.039665
DEE0,69.56218
DEF0,68.14985
DEG0,85.41225
DK01,56.35998
DK02,57.64898
DK03,60.728943
DK04,60.574917
ES41,69.455345
ES42,49.336407
HU23,70.487335
HU31,81.70407
HU32,75.370415
HU33,67.080124
IE04,93.085434
EE00,58.07242
EL30,13.874784
EL41,15.582759
EL43,14.68038
EL51,60.736107
EL52,59.54102
FI20,37.241196
FR10,76.40709
FRB0,81.699005
FRC1,103.57098
FRC2,136.24487
FRD1,73.995544
FRD2,76.978096
FRE1,78.1423
FRE2,81.57967
FRF1,117.00453
NL13,69.23708
NL21,71.02224
NL22,72.73777
NL23,74.19727
NL31,74.66347
NL32,63.445686
ITG2,36.738003
ITH1,142.75932
ITH2,162.02924
FRI3,80.17634
FRJ1,88.25104
FRJ2,109.92606
FRK1,114.519135
FRK2,124.38565
FRL0,84.01501
FRM0,48.75572
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,29.759964
TR32,34.39588
TR33,44.529358
HR03,88.81557
HR02,88.96872
HU11,71.38929
HU12,73.71919
HU21,71.72509
HU22,76.27146
PT16,61.477795
PT17,34.459656
FRF2,94.004265
FRF3,101.2583
FRG0,72.01395
FRH0,69.08668
FRI1,93.56182
FRI2,114.74765
ITC4,133.00554
ITF1,69.737976
ITF2,55.112568
ITF3,55.49979
ITF4,30.059404
ITF5,40.70869
ITF6,35.95367
ITG1,17.86762
LT01,79.4854
LT02,71.93477
LU00,86.65032
PL22,94.59715
PL41,61.90766
PL42,64.83624
PT18,35.267704
PT20,0.0
PT30,0.0
RO11,107.85124
RO12,118.924484
RO21,84.69119
RO22,62.371037
RO31,81.35546
RO32,66.45741
ITH3,124.22708
ITH4,159.8781
ITH5,79.3475
ITI1,67.29943
ITI2,72.84352
ITI3,65.954865
ITI4,67.90952
LI00,199.03552
FI1D,63.714973
TR82,85.34504
TR83,87.00567
TR90,138.1829
TRA1,90.079636
TRA2,3.4392195
PL43,62.648373
PL51,72.684105
PL52,78.89162
PL61,63.44006
PL62,73.63313
PL63,65.56199
PL71,73.21123
PL72,78.38763
PL81,83.864815
PL82,98.99719
PL84,79.202156
PL91,73.04636
PL92,73.35704
PT11,78.920494
PT15,22.324373
TRB1,77.569435
TRB2,4.7742596
TRC1,37.928097
RS12,74.92993
RS21,98.01482
RS22,84.07843
SE11,42.43297
SE12,57.237625
NL33,69.22757
NL34,72.40103
NL41,74.50686
NL42,75.64552
PL21,109.96559
UKM6,87.03162
TR22,35.87206
TRC2,29.853485
TRC3,5.656472
UKC1,64.383705
UKC2,65.91025
UKD1,82.135666
UKD3,76.701996
UKD4,79.93552
UKD6,71.41968
UKD7,73.2957
UKE1,57.959133
UKE2,67.473976
UKE3,63.93574
RO41,92.16881
RO42,100.41105
RS11,83.9126
TR41,46.39021
TR42,63.76046
TR51,50.016506
TR52,43.77608
TR61,47.156372
TR62,65.739296
TR63,54.63406
TR71,53.266647
TR72,83.0808
TR81,83.42806
UKK1,69.34331
UKK2,67.6539
UKK3,69.33703
UKK4,70.171425
UKL1,83.90905
UKL2,82.27485
UKM5,69.62006
UKM7,87.659775
UKM8,99.40034
UKM9,83.97678
UKN0,81.77317
SE21,60.815983
SE22,59.601067
SE23,70.41559
SE31,74.33755
SE32,76.54155
SE33,68.26564
SI03,107.210144
SI04,126.829994
SK01,73.91733
SK02,84.166084
SK03,108.226654
SK04,101.068405
TR10,31.848768
TR21,45.844894
UKE4,71.18829
UKF1,65.510414
UKF2,61.819492
UKF3,59.612892
UKG1,69.64435
UKG2,70.94709
UKG3,69.92991
UKH1,57.390854
UKH2,57.86119
UKH3,56.519157
UKI3,57.47048
UKI4,57.47048
UKI5,57.22316
UKI6,59.605576
UKI7,57.492065
UKJ1,63.992237
UKJ2,59.684265
UKJ3,62.201355
UKJ4,58.95219
NO09,95.54093
NO0A,121.04472
NO0B,35.657475
HR05,86.12635
HR06,86.144066
NO02,88.83091
NO06,102.24452
