nuts,November Total Precipitation (mm) (1981 - 2010)
DE50,64.91746
DE60,68.45727
DE71,71.11885
DE72,71.15494
DE73,70.44668
DE80,55.003593
DE91,65.83607
BG41,62.407726
BG42,67.97918
CH01,133.86574
AT32,108.52024
AT33,110.16946
AT34,124.22025
BE10,66.72584
BE23,68.33074
BE24,68.39507
BE25,73.55015
BE31,69.53057
BE32,70.31124
BE33,80.15585
BE34,84.02741
BE35,78.031044
BG31,52.190647
BG32,53.69272
BG33,54.47634
BG34,64.04153
DE92,66.161446
DE93,64.47815
DE94,70.77734
CZ07,60.394432
CZ08,62.73161
AL01,182.38942
AL02,131.74408
AL03,147.95622
AT11,54.965225
AT12,58.890503
AT13,51.531506
AT21,106.07955
AT22,79.82368
AT31,84.43437
DK05,75.78934
BE21,68.97114
BE22,71.98862
ES43,80.48306
ES51,65.10599
ES52,48.267086
ES53,62.25098
ES61,71.14149
ES62,40.554253
ES63,101.678276
ES64,47.335575
CH02,120.086586
CH03,97.81314
CH04,99.42198
CH05,118.4659
CH06,133.0364
CH07,151.72021
CY00,50.760464
CZ01,48.22453
CZ02,51.945904
CZ03,57.65735
CZ04,59.90613
CZ05,61.824753
CZ06,51.339523
DE40,51.979885
EL53,81.531395
EL54,180.87724
EL61,94.51929
EL62,194.77505
EL63,162.30177
ES70,26.128132
ITC1,124.38694
ITC2,128.0153
DE11,74.38288
DE12,81.93054
DE13,91.30133
DE14,85.032555
DE21,85.94412
DE22,70.804146
DE23,69.50262
DE24,74.083405
DE25,68.833954
DE26,71.716835
DE27,89.44045
DE30,49.908558
EL42,67.260475
LV00,61.07491
ME00,196.13622
MK00,76.42054
MT00,68.98833
NL11,73.716774
NL12,91.27668
EL64,90.35842
EL65,98.10992
ES11,152.43677
ES12,133.69737
ES13,114.95039
ES21,115.61847
ES22,86.64271
ES23,65.678185
ES24,55.50386
ES30,68.74148
IE05,103.83649
IE06,84.58842
IS00,135.24803
ITC3,140.14168
FI19,57.53855
FI1B,70.692795
FI1C,64.678734
DEA1,79.53183
DEA2,82.37998
DEA3,74.2329
DEA4,73.424805
DEA5,88.61011
DEB1,72.53631
DEB2,75.24409
DEB3,67.79842
DEC0,81.16904
DED2,64.49773
DED4,72.24259
DED5,61.849716
DEE0,55.88523
DEF0,69.772766
DEG0,66.457405
DK01,68.44972
DK02,64.45181
DK03,71.05604
DK04,72.22732
ES41,75.337776
ES42,58.82959
HU23,59.30045
HU31,51.024868
HU32,52.865723
HU33,51.716026
IE04,118.37466
EE00,65.44476
EL30,61.04331
EL41,89.49203
EL43,65.4806
EL51,89.54843
EL52,78.67512
FI20,72.17005
FR10,61.95026
FRB0,67.50823
FRC1,88.413
FRC2,118.49717
FRD1,82.040276
FRD2,73.890854
FRE1,75.1737
FRE2,67.74678
FRF1,88.2549
NL13,65.412704
NL21,68.90478
NL22,70.29474
NL23,76.36448
NL31,72.35933
NL32,93.63927
ITG2,75.97996
ITH1,102.48468
ITH2,119.45284
FRI3,79.97104
FRJ1,97.492966
FRJ2,89.504486
FRK1,89.18855
FRK2,114.733315
FRL0,94.87204
FRM0,104.01066
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,109.18616
TR32,98.9875
TR33,61.744484
HR03,162.85423
HR02,77.17215
HU11,51.945515
HU12,52.621914
HU21,56.01988
HU22,57.081764
PT16,111.00549
PT17,87.942955
FRF2,80.79412
FRF3,87.6753
FRG0,72.01334
FRH0,86.22431
FRI1,95.45088
FRI2,96.279274
ITC4,114.083954
ITF1,103.32931
ITF2,97.42991
ITF3,145.46638
ITF4,73.32222
ITF5,76.1946
ITF6,107.594574
ITG1,74.55983
LT01,53.130043
LT02,58.123886
LU00,78.03726
PL22,61.792873
PL41,48.556076
PL42,55.553745
PT18,77.37503
PT20,0.0
PT30,61.39375
RO11,64.40331
RO12,50.854992
RO21,42.241005
RO22,43.957752
RO31,48.939163
RO32,47.303165
ITH3,113.20198
ITH4,160.66779
ITH5,101.75837
ITI1,117.89715
ITI2,108.59325
ITI3,88.63258
ITI4,139.75749
LI00,134.699
FI1D,53.15211
TR82,73.91699
TR83,72.80135
TR90,119.239426
TRA1,71.85435
TRA2,55.62638
PL43,51.482048
PL51,58.20303
PL52,54.676113
PL61,47.111908
PL62,54.10172
PL63,56.97528
PL71,51.95919
PL72,49.412003
PL81,49.410442
PL82,57.718575
PL84,49.84001
PL91,51.68329
PL92,49.85784
PT11,135.07706
PT15,76.747055
TRB1,89.00615
TRB2,73.80652
TRC1,72.25049
RS12,54.58062
RS21,69.540146
RS22,61.68465
SE11,60.466152
SE12,57.209766
NL33,81.50782
NL34,75.119
NL41,69.501595
NL42,71.1716
PL21,59.64857
UKM6,150.67696
TR22,91.79561
TRC2,71.580055
TRC3,80.49908
UKC1,77.937775
UKC2,78.81031
UKD1,123.038284
UKD3,93.870316
UKD4,117.0032
UKD6,78.9914
UKD7,99.6981
UKE1,65.811874
UKE2,80.52253
UKE3,67.22357
RO41,58.131264
RO42,62.943466
RS11,57.66555
TR41,61.725414
TR42,82.11173
TR51,49.608166
TR52,54.218693
TR61,94.916855
TR62,91.85994
TR63,80.85096
TR71,51.808495
TR72,63.690952
TR81,91.12721
UKK1,71.02883
UKK2,86.34853
UKK3,104.63929
UKK4,95.67334
UKL1,127.200264
UKL2,95.30998
UKM5,90.73014
UKM7,102.64995
UKM8,130.20929
UKM9,115.0573
UKN0,100.361305
SE21,62.167
SE22,64.154434
SE23,72.13176
SE31,64.138466
SE32,66.077484
SE33,62.809147
SI03,99.47065
SI04,142.6134
SK01,51.32902
SK02,58.146793
SK03,65.572845
SK04,55.45408
TR10,85.451
TR21,81.872086
UKE4,78.85966
UKF1,66.377335
UKF2,58.807777
UKF3,59.840446
UKG1,65.11187
UKG2,71.15909
UKG3,63.68033
UKH1,62.8636
UKH2,58.852066
UKH3,61.358803
UKI3,61.896286
UKI4,61.896286
UKI5,60.28374
UKI6,63.917248
UKI7,62.345135
UKJ1,63.16715
UKJ2,85.20504
UKJ3,82.78795
UKJ4,74.01339
NO09,133.42482
NO0A,195.11827
NO0B,86.56048
HR05,78.240074
HR06,75.15657
NO02,76.38619
NO06,112.00679
NO07,90.487404
NO08,88.518875
