nuts,November Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,67.499596
DE60,74.5138
DE71,73.12744
DE72,72.82474
DE73,73.01931
DE80,58.60461
DE91,66.295494
BG41,67.37809
BG42,64.72871
CH01,137.92015
AT32,110.87953
AT33,110.49723
AT34,119.72524
BE10,72.01736
BE23,74.20103
BE24,73.66106
BE25,79.77208
BE31,72.08453
BE32,74.15279
BE33,79.40687
BE34,85.66798
BE35,79.41712
BG31,59.390884
BG32,51.876354
BG33,57.63147
BG34,63.281143
DE92,66.74081
DE93,67.950424
DE94,74.435326
CZ07,64.69853
CZ08,65.870964
AL01,193.1965
AL02,136.944
AL03,156.59296
AT11,64.95355
AT12,63.271996
AT13,60.550583
AT21,112.83506
AT22,90.03477
AT31,88.645096
DK05,79.62937
BE21,74.86129
BE22,75.78547
ES43,68.60289
ES51,84.333015
ES52,56.612125
ES53,68.45597
ES61,52.377182
ES62,39.683304
ES63,65.08549
ES64,32.905544
CH02,119.49435
CH03,106.668976
CH04,103.02101
CH05,117.54629
CH06,132.21506
CH07,166.04233
CY00,42.524525
CZ01,53.34501
CZ02,56.999638
CZ03,62.104397
CZ04,64.41354
CZ05,65.651146
CZ06,57.427353
DE40,54.887733
EL53,80.64504
EL54,167.91885
EL61,93.0264
EL62,196.56392
EL63,152.64983
ES70,1.0322591
ITC1,147.66757
ITC2,148.79524
DE11,78.6346
DE12,86.21512
DE13,101.86179
DE14,91.21498
DE21,87.427734
DE22,72.766685
DE23,71.631874
DE24,77.59675
DE25,71.85642
DE26,76.09452
DE27,90.9513
DE30,51.827847
EL42,56.375103
LV00,71.97257
ME00,210.01729
MK00,80.82564
MT00,67.5025
NL11,79.290375
NL12,97.2641
EL64,85.55314
EL65,88.427216
ES11,129.44377
ES12,130.14171
ES13,119.594765
ES21,126.27925
ES22,94.33153
ES23,73.78215
ES24,66.34771
ES30,63.07868
IE05,117.65871
IE06,97.009155
IS00,160.56296
ITC3,169.04836
FI19,69.063
FI1B,84.30344
FI1C,77.36254
DEA1,81.47683
DEA2,82.28479
DEA3,76.72385
DEA4,72.664055
DEA5,87.60165
DEB1,74.24363
DEB2,76.869415
DEB3,72.610374
DEC0,84.799416
DED2,67.26141
DED4,72.127846
DED5,67.180305
DEE0,59.26576
DEF0,77.83695
DEG0,69.42628
DK01,77.42305
DK02,71.72341
DK03,78.508766
DK04,77.130035
ES41,69.09988
ES42,55.31067
HU23,75.62145
HU31,60.75362
HU32,64.88117
HU33,63.74715
IE04,133.08766
EE00,79.2191
EL30,52.25131
EL41,83.46239
EL43,50.69855
EL51,82.68415
EL52,77.66778
FI20,86.16097
FR10,67.91296
FRB0,72.67454
FRC1,95.4603
FRC2,124.32002
FRD1,89.61635
FRD2,81.11019
FRE1,79.32065
FRE2,72.92489
FRF1,95.931145
NL13,70.68681
NL21,72.51067
NL22,72.55692
NL23,82.17559
NL31,75.62957
NL32,98.01362
ITG2,76.17093
ITH1,104.84925
ITH2,125.42615
FRI3,77.27098
FRJ1,118.21707
FRJ2,96.84611
FRK1,97.21774
FRK2,126.06415
FRL0,112.86407
FRM0,106.12496
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,100.13535
TR32,82.944435
TR33,56.46315
HR03,184.30457
HR02,93.63514
HU11,63.179718
HU12,62.39717
HU21,70.24504
HU22,70.85325
PT16,100.94376
PT17,79.66925
FRF2,87.13472
FRF3,92.24068
FRG0,73.03319
FRH0,88.31431
FRI1,92.60601
FRI2,96.13628
ITC4,131.41685
ITF1,106.09342
ITF2,101.04433
ITF3,152.81667
ITF4,85.85993
ITF5,81.049576
ITF6,113.59322
ITG1,70.061874
LT01,64.22023
LT02,68.19593
LU00,80.41713
PL22,67.66186
PL41,51.276306
PL42,59.857685
PT18,66.19544
PT20,0.0
PT30,0.0
RO11,70.00014
RO12,55.112125
RO21,45.706577
RO22,44.331463
RO31,46.948982
RO32,44.04306
ITH3,127.318436
ITH4,172.26976
ITH5,115.947464
ITI1,134.61417
ITI2,119.44254
ITI3,97.162735
ITI4,152.1465
LI00,125.2675
FI1D,65.123886
TR82,76.045204
TR83,74.96164
TR90,130.37003
TRA1,63.532574
TRA2,2.2436607
PL43,54.053158
PL51,59.805206
PL52,58.63425
PL61,51.800537
PL62,57.28297
PL63,63.39864
PL71,52.959995
PL72,55.055996
PL81,53.112488
PL82,65.08487
PL84,54.118946
PL91,54.925556
PL92,53.605038
PT11,109.819275
PT15,54.185017
TRB1,85.350204
TRB2,5.958861
TRC1,66.73846
RS12,64.65467
RS21,81.156
RS22,69.91437
SE11,69.87063
SE12,67.10826
NL33,85.55166
NL34,80.988144
NL41,74.14887
NL42,74.47233
PL21,66.990326
UKM6,164.7671
TR22,88.83293
TRC2,66.25089
TRC3,12.526908
UKC1,85.784706
UKC2,85.85192
UKD1,129.95586
UKD3,99.56168
UKD4,123.933586
UKD6,86.949844
UKD7,108.88091
UKE1,72.62535
UKE2,88.018715
UKE3,71.31345
RO41,61.911118
RO42,68.53817
RS11,66.85016
TR41,60.262424
TR42,81.04144
TR51,47.079315
TR52,47.01832
TR61,67.03785
TR62,74.69527
TR63,66.50357
TR71,50.471004
TR72,65.58355
TR81,95.36085
UKK1,75.13082
UKK2,90.79386
UKK3,107.7846
UKK4,99.23037
UKL1,135.23593
UKL2,99.61397
UKM5,97.5004
UKM7,115.16723
UKM8,152.41156
UKM9,126.69954
UKN0,113.82236
SE21,69.094925
SE22,71.337746
SE23,81.01861
SE31,72.91622
SE32,76.83103
SE33,73.43537
SI03,114.85556
SI04,161.71869
SK01,57.37424
SK02,62.357235
SK03,70.82956
SK04,65.699585
TR10,82.6932
TR21,79.57948
UKE4,83.43259
UKF1,70.70616
UKF2,61.374523
UKF3,63.629467
UKG1,68.97422
UKG2,76.25891
UKG3,67.68935
UKH1,66.6655
UKH2,61.158363
UKH3,65.18641
UKI3,64.920746
UKI4,64.920746
UKI5,63.089993
UKI6,66.71041
UKI7,64.831894
UKJ1,66.619705
UKJ2,86.59326
UKJ3,83.52943
UKJ4,76.75203
NO09,142.6547
NO0A,222.844
NO0B,86.07048
HR05,101.54939
HR06,95.45352
NO02,89.14072
NO06,134.71574
NO07,113.47291
NO08,100.10338
