nuts,October Total Precipitation (mm) (1981 - 2010)
DE50,67.92297
DE60,74.3246
DE71,71.56085
DE72,69.82423
DE73,66.19082
DE80,55.740025
DE91,59.7285
BG41,55.214783
BG42,53.44185
CH01,132.75082
AT32,104.490135
AT33,104.456406
AT34,104.821045
BE10,65.22576
BE23,67.63141
BE24,66.65962
BE25,74.056786
BE31,68.05087
BE32,70.76706
BE33,78.56654
BE34,85.167694
BE35,77.34885
BG31,45.705036
BG32,46.109055
BG33,46.983875
BG34,53.96808
DE92,65.45804
DE93,66.780174
DE94,76.36887
CZ07,49.965157
CZ08,52.38702
AL01,139.28047
AL02,108.20767
AL03,110.374435
AT11,54.492996
AT12,53.748615
AT13,45.313755
AT21,116.43363
AT22,82.18331
AT31,78.896614
DK05,90.68366
BE21,68.417435
BE22,69.74256
ES43,78.373
ES51,84.15067
ES52,63.750164
ES53,59.6835
ES61,58.920006
ES62,42.297047
ES63,73.17303
ES64,41.4955
CH02,119.55411
CH03,102.03226
CH04,93.74507
CH05,109.93468
CH06,125.11465
CH07,174.10896
CY00,26.551346
CZ01,40.962513
CZ02,44.11227
CZ03,53.058956
CZ04,51.869637
CZ05,51.249073
CZ06,43.01836
DE40,46.388348
EL53,65.420845
EL54,122.23788
EL61,80.38102
EL62,127.55513
EL63,97.88986
ES70,18.212591
ITC1,142.19485
ITC2,136.29082
DE11,78.297775
DE12,86.03107
DE13,95.423035
DE14,82.67757
DE21,81.17361
DE22,67.52571
DE23,66.0403
DE24,67.58394
DE25,68.82694
DE26,71.78279
DE27,81.3716
DE30,45.831295
EL42,34.285282
LV00,71.69828
ME00,149.51823
MK00,63.573414
MT00,52.676193
NL11,82.705605
NL12,99.36022
EL64,66.1099
EL65,57.96666
ES11,152.90419
ES12,126.892494
ES13,102.56815
ES21,97.39975
ES22,84.613205
ES23,63.548557
ES24,65.036934
ES30,62.578217
IE05,115.48087
IE06,90.674065
IS00,148.63632
ITC3,145.05562
FI19,64.880646
FI1B,73.91555
FI1C,69.58194
DEA1,77.53338
DEA2,80.28325
DEA3,73.80144
DEA4,71.785
DEA5,83.58749
DEB1,73.219154
DEB2,78.24153
DEB3,71.972664
DEC0,85.6544
DED2,51.67864
DED4,58.45688
DED5,47.969395
DEE0,48.26801
DEF0,77.94012
DEG0,57.546017
DK01,74.301994
DK02,71.26193
DK03,83.4671
DK04,86.20767
ES41,75.4237
ES42,57.84138
HU23,53.14737
HU31,47.40841
HU32,49.335217
HU33,45.24873
IE04,127.14974
EE00,75.97845
EL30,39.888596
EL41,44.451656
EL43,40.533226
EL51,56.877945
EL52,67.424095
FI20,70.64381
FR10,71.50451
FRB0,74.56292
FRC1,92.1911
FRC2,121.41009
FRD1,87.04555
FRD2,81.77492
FRE1,77.914406
FRE2,74.21994
FRF1,94.364456
NL13,72.36462
NL21,73.11984
NL22,71.62181
NL23,80.65762
NL31,74.0813
NL32,100.26339
ITG2,60.26619
ITH1,102.37752
ITH2,126.074615
FRI3,84.02967
FRJ1,118.914246
FRJ2,95.24925
FRK1,98.12016
FRK2,121.61182
FRL0,105.44858
FRM0,90.7581
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,51.985775
TR32,43.43297
TR33,37.91435
HR03,141.15358
HR02,70.70005
HU11,45.310497
HU12,46.00819
HU21,48.734306
HU22,52.769314
PT16,113.71787
PT17,78.52979
FRF2,84.63904
FRF3,91.73121
FRG0,80.22676
FRH0,89.99637
FRI1,92.283264
FRI2,99.17344
ITC4,121.99195
ITF1,80.88527
ITF2,76.335945
ITF3,109.91372
ITF4,66.8596
ITF5,64.51932
ITF6,88.50052
ITG1,70.30959
LT01,59.605453
LT02,64.22956
LU00,82.09117
PL22,53.18051
PL41,43.24908
PL42,55.241844
PT18,72.55392
PT20,0.0
PT30,51.29001
RO11,65.39339
RO12,54.834908
RO21,44.6465
RO22,40.511185
RO31,46.16556
RO32,44.164104
ITH3,121.080605
ITH4,176.65182
ITH5,101.44116
ITI1,117.502014
ITI2,95.01267
ITI3,73.20759
ITI4,119.83063
LI00,116.241905
FI1D,61.499878
TR82,73.77807
TR83,66.70915
TR90,136.63213
TRA1,67.525185
TRA2,62.341377
PL43,45.090843
PL51,48.6853
PL52,46.603523
PL61,44.6689
PL62,55.26053
PL63,60.05358
PL71,43.248768
PL72,44.932194
PL81,46.01194
PL82,56.638443
PL84,48.368847
PL91,43.34696
PL92,44.12569
PT11,142.10919
PT15,62.54791
TRB1,65.91896
TRB2,56.197445
TRC1,47.6049
RS12,47.80111
RS21,58.41177
RS22,50.25666
SE11,60.032593
SE12,60.329544
NL33,84.43274
NL34,75.61993
NL41,70.14596
NL42,70.00081
PL21,55.678684
UKM6,159.69041
TR22,62.701485
TRC2,47.29161
TRC3,49.935978
UKC1,75.96918
UKC2,78.55937
UKD1,133.74025
UKD3,102.84655
UKD4,126.921684
UKD6,87.225555
UKD7,108.51037
UKE1,66.64284
UKE2,82.16671
UKE3,71.694565
RO41,51.561634
RO42,57.18144
RS11,50.066128
TR41,52.671097
TR42,79.09682
TR51,35.511612
TR52,31.926992
TR61,49.184723
TR62,56.557163
TR63,54.389053
TR71,35.25753
TR72,50.74173
