nuts,October Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,81.93995
DE60,90.99824
DE71,80.26556
DE72,79.18091
DE73,77.76062
DE80,67.58033
DE91,72.64279
BG41,58.90524
BG42,54.91309
CH01,137.74786
AT32,128.58485
AT33,128.45702
AT34,126.784096
BE10,74.900055
BE23,76.42478
BE24,75.35098
BE25,84.52064
BE31,74.08347
BE32,77.403206
BE33,84.30788
BE34,91.77931
BE35,82.18283
BG31,51.142776
BG32,56.99716
BG33,56.210197
BG34,61.76553
DE92,78.256775
DE93,82.31531
DE94,89.16024
CZ07,58.22729
CZ08,64.97897
AL01,140.65227
AL02,108.75651
AL03,109.20534
AT11,66.86564
AT12,69.328186
AT13,56.78191
AT21,122.88531
AT22,94.18309
AT31,101.9196
DK05,109.75362
BE21,79.392746
BE22,79.23204
ES43,45.622925
ES51,63.633045
ES52,44.766384
ES53,49.27488
ES61,33.17692
ES62,28.61426
ES63,41.40206
ES64,20.960089
CH02,129.84766
CH03,114.8636
CH04,109.37312
CH05,128.48225
CH06,143.50565
CH07,163.5773
CY00,22.454584
CZ01,55.39577
CZ02,56.44557
CZ03,67.11726
CZ04,63.376373
CZ05,58.18239
CZ06,54.600983
DE40,58.460987
EL53,61.53406
EL54,121.811226
EL61,75.76543
EL62,143.87505
EL63,97.973045
ES70,0.82684046
ITC1,121.702225
ITC2,121.183205
DE11,90.48026
DE12,94.51118
DE13,106.60909
DE14,98.2588
DE21,106.3094
DE22,87.25693
DE23,81.964485
DE24,79.111786
DE25,81.01524
DE26,82.99825
DE27,98.96042
DE30,59.558323
EL42,27.706766
LV00,85.82115
ME00,149.77432
MK00,60.98298
MT00,49.874424
NL11,96.898994
NL12,117.379974
EL64,63.76001
EL65,54.33834
ES11,104.94369
ES12,100.51581
ES13,77.648994
ES21,80.54337
ES22,68.418785
ES23,51.802574
ES24,51.1706
ES30,41.38043
IE05,120.96446
IE06,99.99224
IS00,174.59468
ITC3,122.24319
FI19,76.83806
FI1B,88.3374
FI1C,83.84902
DEA1,88.545784
DEA2,88.89261
DEA3,85.91061
DEA4,85.54988
DEA5,93.488625
DEB1,82.631516
DEB2,88.22636
DEB3,80.63994
DEC0,91.180786
DED2,61.83416
DED4,70.807625
DED5,58.06287
DEE0,59.923283
DEF0,93.58423
DEG0,65.96329
DK01,86.62586
DK02,81.92029
DK03,94.69329
DK04,100.83012
ES41,49.47661
ES42,38.62749
HU23,63.327854
HU31,57.154236
HU32,60.72903
HU33,57.723423
IE04,133.43866
EE00,89.0026
EL30,34.59215
EL41,37.18896
EL43,32.7016
EL51,51.38617
EL52,58.085384
FI20,88.08949
FR10,75.83856
FRB0,80.66491
FRC1,97.66792
FRC2,125.47313
FRD1,91.30685
FRD2,86.79491
FRE1,87.40555
FRE2,80.05467
FRF1,101.424034
NL13,83.17179
NL21,85.732185
NL22,82.054665
NL23,93.664856
NL31,85.59707
NL32,119.60845
ITG2,55.17884
ITH1,109.75726
ITH2,121.11635
FRI3,82.27853
FRJ1,107.41127
FRJ2,90.80255
FRK1,98.80858
FRK2,122.572495
FRL0,95.74364
FRM0,84.34289
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,46.63911
TR32,45.50494
TR33,36.44169
HR03,162.23566
HR02,81.18594
HU11,54.74056
HU12,55.078716
HU21,57.88087
HU22,66.82005
PT16,66.64216
PT17,39.034897
FRF2,88.740166
FRF3,95.85806
FRG0,78.93488
FRH0,89.91645
FRI1,82.5682
FRI2,99.77285
ITC4,120.675255
ITF1,88.228745
ITF2,82.75639
ITF3,120.021614
ITF4,73.293594
ITF5,64.747406
ITF6,89.67516
ITG1,64.66228
LT01,70.17792
LT02,78.210884
LU00,89.74738
PL22,65.63986
PL41,53.22286
PL42,65.65127
PT18,42.65706
PT20,0.0
PT30,0.0
RO11,74.21988
RO12,66.18033
RO21,58.054302
RO22,54.869938
RO31,58.593803
RO32,54.906136
ITH3,120.2408
ITH4,163.6412
ITH5,106.18544
ITI1,115.05031
ITI2,98.129036
ITI3,83.21969
ITI4,123.237366
LI00,138.40887
FI1D,75.8763
TR82,76.54693
TR83,68.58203
TR90,134.98093
TRA1,54.993706
TRA2,2.3558714
PL43,54.22111
PL51,56.26208
PL52,56.306316
PL61,55.97719
PL62,66.91242
PL63,69.48003
PL71,54.079697
PL72,54.378616
PL81,53.791134
PL82,62.431656
PL84,58.121677
PL91,56.15324
PL92,56.32355
PT11,92.723785
PT15,32.767834
TRB1,64.660675
TRB2,4.2616873
TRC1,44.775993
RS12,55.563026
RS21,65.54594
RS22,57.449497
SE11,72.45743
SE12,70.085815
NL33,98.92992
NL34,85.58084
NL41,81.2482
NL42,80.17666
PL21,67.56435
UKM6,177.63158
TR22,57.35796
TRC2,48.57385
TRC3,8.429546
UKC1,83.013374
UKC2,86.18658
UKD1,148.69316
UKD3,119.0822
UKD4,143.78339
UKD6,100.657295
UKD7,125.11274
UKE1,78.22002
UKE2,93.82582
UKE3,82.10067
RO41,62.242367
RO42,68.009575
RS11,54.958183
TR41,55.14485
TR42,84.299545
TR51,38.79784
TR52,34.904766
TR61,46.218243
TR62,52.497417
TR63,49.70538
TR71,37.805733
TR72,50.38856
TR81,98.7328
UKK1,89.479706
UKK2,105.77006
UKK3,107.57585
UKK4,108.68455
UKL1,142.89404
UKL2,113.80253
UKM5,108.878914
UKM7,126.21596
UKM8,164.90433
UKM9,140.02167
UKN0,117.00724
SE21,75.301025
SE22,82.13594
SE23,99.848434
SE31,86.420135
SE32,92.78123
SE33,86.30926
SI03,112.54624
SI04,156.10648
SK01,51.96386
SK02,53.7622
SK03,66.30545
SK04,64.096695
TR10,88.30622
TR21,66.1325
UKE4,93.83745
UKF1,82.11813
UKF2,75.6282
UKF3,76.65061
UKG1,86.45853
UKG2,90.89946
UKG3,83.95532
UKH1,76.67108
UKH2,73.29132
UKH3,76.59538
UKI3,75.6508
UKI4,75.6508
UKI5,73.548035
UKI6,75.57193
UKI7,73.734146
UKJ1,77.04616
UKJ2,103.32569
UKJ3,98.374504
UKJ4,91.02935
NO09,165.15422
NO0A,233.44106
NO0B,81.53537
HR05,89.58583
HR06,84.68281
NO02,102.58834
NO06,147.03313
NO07,136.44423
NO08,117.68411
