nuts,September Total Precipitation (mm) (1981 - 2010)
DE50,70.693565
DE60,73.16704
DE71,70.0177
DE72,73.51723
DE73,71.76732
DE80,62.68709
DE91,67.711525
BG41,52.462772
BG42,50.388245
CH01,138.07181
AT32,137.53009
AT33,133.31218
AT34,138.89244
BE10,61.967243
BE23,65.41685
BE24,63.544384
BE25,68.59751
BE31,64.11495
BE32,63.33454
BE33,76.013565
BE34,77.04359
BE35,70.31684
BG31,54.23737
BG32,58.53538
BG33,56.90434
BG34,53.127495
DE92,68.72615
DE93,69.109474
DE94,77.58804
CZ07,73.4483
CZ08,79.589966
AL01,108.549255
AL02,76.69212
AL03,72.0061
AT11,74.342476
AT12,81.553444
AT13,70.37327
AT21,123.62925
AT22,109.80384
AT31,110.048096
DK05,79.71835
BE21,66.02628
BE22,68.206024
ES43,34.67267
ES51,77.41989
ES52,56.251762
ES53,44.39676
ES61,30.595678
ES62,38.012085
ES63,30.186472
ES64,19.78883
CH02,132.87868
CH03,116.09602
CH04,113.85457
CH05,128.7358
CH06,159.59198
CH07,189.5911
CY00,5.033052
CZ01,57.585033
CZ02,61.669907
CZ03,70.49092
CZ04,63.78252
CZ05,70.8616
CZ06,66.38835
DE40,57.922062
EL53,39.68642
EL54,64.723785
EL61,40.53761
EL62,66.421265
EL63,47.087982
ES70,9.191004
ITC1,135.77495
ITC2,135.0224
DE11,73.7094
DE12,78.61818
DE13,93.218834
DE14,94.99622
DE21,109.69274
DE22,81.863686
DE23,72.813416
DE24,70.761246
DE25,68.09489
DE26,68.46483
DE27,103.11972
DE30,57.104347
EL42,6.2064676
LV00,70.385414
ME00,126.18565
MK00,44.750587
MT00,42.040405
NL11,83.34624
NL12,94.67621
EL64,31.013004
EL65,22.185968
ES11,79.05267
ES12,87.55007
ES13,82.43478
ES21,71.75983
ES22,66.09051
ES23,48.984547
ES24,56.27465
ES30,30.72107
IE05,86.73586
IE06,75.56902
IS00,129.38518
ITC3,108.06203
FI19,62.42193
FI1B,65.91945
FI1C,64.43454
DEA1,76.467384
DEA2,80.04241
DEA3,75.35057
DEA4,75.517815
DEA5,88.074005
DEB1,73.95775
DEB2,74.53991
DEB3,68.416145
DEC0,77.07591
DED2,65.564384
DED4,70.43486
DED5,60.236275
DEE0,60.602562
DEF0,73.376526
DEG0,65.458374
DK01,72.50257
DK02,67.0183
DK03,75.78138
DK04,78.8764
ES41,45.01702
ES42,34.90227
HU23,65.08856
HU31,57.59109
HU32,59.31935
HU33,56.22183
IE04,100.400566
EE00,71.250786
EL30,11.611252
EL41,13.338804
EL43,11.805203
EL51,37.67117
EL52,42.25966
FI20,59.528645
FR10,55.923973
FRB0,59.628586
FRC1,81.85196
FRC2,110.11961
FRD1,66.66016
FRD2,63.581043
FRE1,64.117226
FRE2,59.514668
FRF1,88.65281
NL13,74.21597
NL21,73.651054
NL22,71.619736
NL23,80.41565
NL31,75.028755
NL32,95.40872
ITG2,37.766495
ITH1,106.36968
ITH2,123.32292
FRI3,60.74409
FRJ1,91.335884
FRJ2,83.80372
FRK1,92.123215
FRK2,109.365135
FRL0,83.12518
FRM0,51.868576
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,18.266655
TR32,14.084101
TR33,16.257006
HR03,111.89389
HR02,81.52112
HU11,52.81639
HU12,54.308746
HU21,60.583927
HU22,69.281685
PT16,47.331745
PT17,27.87707
FRF2,73.90311
FRF3,84.57803
FRG0,56.262012
FRH0,62.65548
FRI1,76.82907
FRI2,88.3574
ITC4,122.5462
ITF1,75.39497
ITF2,63.350224
ITF3,77.73699
ITF4,50.93162
ITF5,52.047394
ITF6,69.61821
ITG1,50.992138
LT01,68.17885
LT02,68.10952
LU00,75.48921
PL22,77.641075
PL41,55.873795
PL42,67.348076
PT18,30.053017
PT20,0.0
PT30,27.157856
RO11,81.86897
RO12,76.4656
RO21,63.952095
RO22,50.696358
RO31,60.07932
RO32,59.421288
ITH3,119.07208
ITH4,158.93129
ITH5,87.66849
ITI1,91.41643
ITI2,83.47399
ITI3,73.17788
ITI4,89.38756
LI00,162.04396
FI1D,62.90961
TR82,51.246544
TR83,42.49622
TR90,118.96498
TRA1,35.47223
TRA2,40.04593
PL43,56.369926
PL51,65.25951
PL52,66.51574
PL61,56.480774
PL62,65.791176
PL63,69.549
PL71,59.2411
PL72,67.11311
PL81,69.671906
PL82,82.508286
PL84,65.770775
PL91,61.482655
PL92,61.75191
PT11,61.592346
PT15,22.299002
TRB1,14.892465
TRB2,16.505178
TRC1,7.0527873
RS12,55.209183
RS21,66.518265
RS22,53.678326
SE11,58.996635
SE12,62.878952
NL33,82.97164
NL34,73.59336
NL41,69.23432
NL42,69.445564
PL21,81.04007
UKM6,130.37613
TR22,26.352798
TRC2,5.800617
TRC3,6.5987167
UKC1,69.216965
UKC2,69.9997
UKD1,103.20048
UKD3,84.26552
UKD4,99.31687
UKD6,72.91787
UKD7,86.95408
UKE1,64.68152
UKE2,72.966324
UKE3,65.477394
RO41,64.6822
RO42,73.71713
RS11,57.404247
TR41,26.775457
TR42,49.418682
TR51,15.705848
