nuts,September Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,65.19841
DE60,71.32064
DE71,68.336845
DE72,69.4
DE73,69.40906
DE80,59.550255
DE91,64.66067
BG41,46.172756
BG42,46.475365
CH01,129.5623
AT32,132.20946
AT33,126.661705
AT34,125.88708
BE10,62.583603
BE23,58.253254
BE24,64.49908
BE25,59.986214
BE31,64.48043
BE32,61.69515
BE33,72.07757
BE34,72.31031
BE35,67.38939
BG31,47.499954
BG32,46.205765
BG33,45.07158
BG34,46.585194
DE92,63.749943
DE93,65.30163
DE94,71.95976
CZ07,71.25389
CZ08,75.361565
AL01,98.30566
AL02,73.761986
AL03,73.83805
AT11,75.76665
AT12,80.49982
AT13,72.50506
AT21,126.57272
AT22,109.21713
AT31,105.60685
DK05,80.16684
BE21,64.86216
BE22,67.94658
ES43,31.042736
ES51,73.196915
ES52,51.664383
ES53,45.300655
ES61,26.300064
ES62,37.23138
ES63,22.857235
ES64,20.465681
CH02,129.60997
CH03,118.76418
CH04,106.31096
CH05,118.17003
CH06,144.95348
CH07,160.63144
CY00,4.391139
CZ01,55.81089
CZ02,58.29794
CZ03,66.2016
CZ04,60.913845
CZ05,65.67707
CZ06,65.996864
DE40,55.15802
EL53,43.59527
EL54,70.96572
EL61,47.42604
EL62,77.1504
EL63,53.58185
ES70,0.57332814
ITC1,109.4556
ITC2,108.423805
DE11,73.26068
DE12,74.87494
DE13,90.386765
DE14,90.49404
DE21,104.41886
DE22,77.61715
DE23,71.40546
DE24,67.05699
DE25,65.96636
DE26,66.81198
DE27,95.31097
DE30,56.56587
EL42,7.453729
LV00,72.401024
ME00,108.59005
MK00,48.343346
MT00,38.143005
NL11,80.285385
NL12,92.15038
EL64,35.434383
EL65,23.738314
ES11,59.633526
ES12,66.595276
ES13,59.26511
ES21,50.00604
ES22,50.939175
ES23,38.507927
ES24,48.483597
ES30,26.358454
IE05,74.15696
IE06,69.88147
IS00,146.37492
ITC3,96.38753
FI19,67.558876
FI1B,74.23178
FI1C,70.012665
DEA1,73.258934
DEA2,76.431946
DEA3,69.48443
DEA4,68.101105
DEA5,79.62644
DEB1,68.78496
DEB2,69.948296
DEB3,65.55702
DEC0,74.971634
DED2,62.02395
DED4,70.11774
DED5,58.710434
DEE0,58.39321
DEF0,71.40993
DEG0,63.561626
DK01,68.33866
DK02,66.181915
DK03,74.64907
DK04,79.66474
ES41,37.356968
ES42,30.107748
HU23,61.32399
HU31,55.24128
HU32,54.27308
HU33,50.230824
IE04,97.79432
EE00,74.2175
EL30,14.701456
EL41,17.62211
EL43,13.404536
EL51,35.94591
EL52,45.45492
FI20,65.49098
FR10,51.828068
FRB0,53.62166
FRC1,80.237366
FRC2,107.55307
FRD1,57.420048
FRD2,56.7613
FRE1,55.446335
FRE2,55.809677
FRF1,85.99646
