nuts,Spring Total Precipitation (mm) (1981 - 2010)
DE50,197.31262
DE60,196.11478
DE71,219.15718
DE72,220.14119
DE73,221.23737
DE80,168.1447
DE91,200.67444
BG41,251.58707
BG42,234.20529
CH01,423.37784
AT32,381.18668
AT33,391.4919
AT34,429.8496
BE10,202.77579
BE23,200.60934
BE24,207.46664
BE25,194.99844
BE31,213.85358
BE32,215.94257
BE33,247.99709
BE34,255.05916
BE35,240.77988
BG31,222.97986
BG32,205.05092
BG33,179.4782
BG34,194.8258
DE92,199.88823
DE93,193.06535
DE94,196.24706
CZ07,204.55927
CZ08,220.2475
AL01,365.36032
AL02,299.83896
AL03,262.23798
AT11,189.29887
AT12,222.75781
AT13,183.87103
AT21,327.8588
AT22,296.60797
AT31,314.0971
DK05,162.98517
BE21,204.13406
BE22,215.66765
ES43,161.54388
ES51,205.07144
ES52,139.18918
ES53,99.07829
ES61,143.9164
ES62,108.10908
ES63,142.92842
ES64,107.53454
CH02,406.4458
CH03,356.14273
CH04,346.93506
CH05,378.48978
CH06,445.0301
CH07,450.93524
CY00,73.056305
CZ01,168.21248
CZ02,179.47623
CZ03,214.25444
CZ04,196.04538
CZ05,201.21846
CZ06,182.40723
DE40,169.47144
EL53,207.15352
EL54,270.9729
EL61,193.6162
EL62,176.46654
EL63,227.74858
ES70,42.16278
ITC1,381.07156
ITC2,409.18695
DE11,258.2905
DE12,273.3248
DE13,314.78406
DE14,310.97144
DE21,324.09348
DE22,250.04303
DE23,230.27353
DE24,224.40608
DE25,227.57245
DE26,226.57684
DE27,329.07083
DE30,167.49184
EL42,86.956245
LV00,157.477
ME00,380.75354
MK00,222.91542
MT00,57.14414
NL11,192.17072
NL12,180.77763
EL64,175.99614
EL65,149.8681
ES11,337.8411
ES12,346.414
ES13,303.17947
ES21,292.77136
ES22,254.92058
ES23,222.7047
ES24,186.54471
ES30,167.32527
IE05,251.33931
IE06,223.74718
IS00,312.00748
ITC3,294.5618
FI19,130.03854
FI1B,128.09032
FI1C,128.49287
DEA1,216.70499
DEA2,237.6605
DEA3,210.38623
DEA4,215.33513
DEA5,250.78427
DEB1,222.41248
DEB2,232.00656
DEB3,217.9189
DEC0,240.38347
DED2,196.78523
DED4,220.30191
DED5,179.63203
DEE0,175.838
DEF0,180.8693
DEG0,207.05608
DK01,144.94188
DK02,145.07639
DK03,168.69702
DK04,167.99475
ES41,202.71225
ES42,159.37805
HU23,175.88971
HU31,184.2201
HU32,181.67464
HU33,167.23227
IE04,279.15228
EE00,137.59679
EL30,98.64474
EL41,121.49189
EL43,96.39798
EL51,195.227
EL52,189.21082
FI20,107.48199
FR10,194.00903
FRB0,206.0648
FRC1,257.45596
FRC2,356.08478
FRD1,207.8009
FRD2,207.14804
FRE1,205.92648
FRE2,208.46088
FRF1,286.59158
NL13,192.69618
NL21,200.00531
NL22,202.53055
NL23,197.56853
NL31,200.78073
NL32,181.57492
ITG2,155.73634
ITH1,321.8225
ITH2,364.5304
FRI3,216.19812
FRJ1,246.23207
FRJ2,300.17514
FRK1,284.5425
FRK2,328.20462
FRL0,241.15283
FRM0,186.11526
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,169.4705
TR32,170.0849
TR33,169.02733
HR03,302.97168
HR02,232.20253
HU11,163.30531
HU12,169.47025
HU21,171.31001
HU22,178.91795
PT16,222.56187
PT17,151.74934
FRF2,239.06754
FRF3,263.14252
FRG0,199.7193
FRH0,214.8378
FRI1,268.9553
FRI2,297.11493
ITC4,321.19772
ITF1,253.89874
ITF2,226.53584
ITF3,253.4374
ITF4,147.06892
ITF5,187.11116
ITF6,204.59319
ITG1,127.56776
LT01,176.65309
LT02,165.3248
LU00,239.38269
PL22,215.92455
PL41,158.82349
PL42,169.90524
PT18,149.98839
PT20,0.0
PT30,109.745285
RO11,258.9312
RO12,263.3391
RO21,208.53139
RO22,160.67383
RO31,199.16231
RO32,180.27948
ITH3,313.13745
ITH4,397.26785
ITH5,253.74431
ITI1,236.41739
ITI2,254.29803
ITI3,225.74762
ITI4,259.54785
LI00,468.94785
FI1D,133.53116
TR82,241.76445
TR83,246.74432
TR90,348.34872
TRA1,292.2557
TRA2,305.85306
PL43,167.48021
PL51,188.09566
PL52,182.6914
PL61,158.59457
PL62,168.42992
PL63,165.32645
PL71,170.9166
PL72,181.37941
PL81,180.7389
PL82,222.94804
PL84,169.89471
PL91,170.32666
PL92,168.7016
PT11,285.5918
PT15,126.403275
TRB1,295.60773
TRB2,298.7728
TRC1,196.0898
RS12,180.51881
RS21,244.57162
RS22,220.18529
SE11,116.29357
SE12,136.4962
NL33,193.68842
NL34,191.83617
NL41,202.00801
NL42,207.63774
PL21,234.42723
UKM6,300.92514
TR22,172.44386
TRC2,212.5889
TRC3,281.45984
UKC1,198.91382
UKC2,197.89337
UKD1,264.85428
UKD3,247.71092
UKD4,261.73843
UKD6,219.96848
UKD7,230.93295
UKE1,176.294
UKE2,208.90805
UKE3,197.8546
RO41,225.88841
RO42,247.21004
RS11,197.95271
TR41,177.12982
TR42,225.55676
TR51,161.92361
TR52,151.32039
TR61,198.3344
TR62,230.58932
TR63,230.35118
TR71,173.77315
TR72,236.40646
TR81,255.9008
UKK1,197.40941
UKK2,201.35538
UKK3,220.26483
UKK4,218.10416
UKL1,258.39148
UKL2,244.71745
UKM5,218.43222
UKM7,259.6109
UKM8,304.96255
UKM9,259.95462
UKN0,247.39049
SE21,143.95631
SE22,152.41115
SE23,173.77602
SE31,158.58305
SE32,161.30647
SE33,150.35553
SI03,283.73444
SI04,344.92398
SK01,170.43532
SK02,189.654
SK03,237.7132
SK04,222.0652
TR10,150.34244
TR21,160.30597
UKE4,219.80656
UKF1,198.56648
UKF2,181.23952
UKF3,175.12346
UKG1,194.98091
UKG2,208.48058
UKG3,196.30453
UKH1,170.43187
UKH2,175.99637
UKH3,166.9715
UKI3,171.04578
UKI4,171.04578
UKI5,171.1816
UKI6,174.1165
UKI7,173.19089
UKJ1,183.37486
UKJ2,172.71407
UKJ3,182.43239
UKJ4,169.63051
NO09,266.6439
NO0A,375.04596
NO0B,177.99715
HR05,228.75906
HR06,221.68971
NO02,192.94456
NO06,268.36005
NO07,229.49089
NO08,205.47552
