nuts,Spring Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,193.29318
DE60,191.24504
DE71,213.86496
DE72,215.95604
DE73,216.3165
DE80,164.43294
DE91,192.83711
BG41,267.3384
BG42,237.61171
CH01,424.59973
AT32,395.27072
AT33,396.60596
AT34,437.87747
BE10,195.93575
BE23,198.42088
BE24,200.65747
BE25,193.47667
BE31,206.92715
BE32,210.50238
BE33,237.81104
BE34,245.5535
BE35,234.38293
BG31,240.37444
BG32,211.73729
BG33,186.01038
BG34,203.20589
DE92,193.24016
DE93,187.39627
DE94,190.43657
CZ07,209.78226
CZ08,233.10466
AL01,370.57825
AL02,314.01288
AL03,275.6687
AT11,200.6688
AT12,237.57599
AT13,193.92317
AT21,336.79764
AT22,313.70505
AT31,335.3022
DK05,161.42618
BE21,199.98486
BE22,209.03766
ES43,167.2981
ES51,209.51666
ES52,123.26323
ES53,94.738914
ES61,138.84319
ES62,93.14327
ES63,131.90877
ES64,97.31438
CH02,407.37308
CH03,365.31702
CH04,351.6254
CH05,380.7005
CH06,443.14862
CH07,456.05106
CY00,68.55113
CZ01,172.75465
CZ02,185.4696
CZ03,221.93535
CZ04,194.97833
CZ05,204.82535
CZ06,187.34947
DE40,166.06865
EL53,200.28285
EL54,278.59332
EL61,195.06302
EL62,174.72102
EL63,222.64685
ES70,2.496954
ITC1,369.27106
ITC2,407.9431
DE11,256.4249
DE12,272.78445
DE13,321.49185
DE14,312.57993
DE21,336.2612
DE22,259.52222
DE23,229.2065
DE24,218.49998
DE25,228.84645
DE26,219.80966
DE27,329.03726
DE30,163.33893
EL42,87.10546
LV00,158.33725
ME00,392.96927
MK00,230.92247
MT00,60.060314
NL11,191.75375
NL12,180.05782
EL64,175.42883
EL65,143.47873
ES11,355.26416
ES12,351.14154
ES13,305.974
ES21,295.70856
ES22,260.4247
ES23,219.58504
ES24,185.6819
ES30,172.10371
IE05,248.2689
IE06,219.46103
IS00,314.9212
ITC3,292.78128
FI19,132.9213
FI1B,128.83018
FI1C,130.02486
DEA1,212.04686
DEA2,231.13304
DEA3,204.37091
DEA4,208.21637
DEA5,242.27794
DEB1,216.21048
DEB2,227.74907
DEB3,212.59431
DEC0,236.68604
DED2,193.77052
DED4,216.14793
DED5,174.6177
DEE0,171.35136
DEF0,180.7113
DEG0,201.71492
DK01,139.88094
DK02,139.90344
DK03,170.63438
DK04,167.06517
ES41,204.41896
ES42,154.79071
HU23,184.82935
HU31,186.7117
HU32,189.69084
HU33,176.66472
IE04,272.50183
EE00,139.96428
EL30,96.36587
EL41,125.55462
EL43,94.95332
EL51,197.14062
EL52,187.73349
FI20,106.64572
FR10,198.50952
FRB0,211.39899
FRC1,262.48126
FRC2,362.17044
FRD1,212.27759
FRD2,212.25826
FRE1,203.98856
