nuts,Summer Total Precipitation (mm) (1981 - 2010)
DE50,255.33345
DE60,259.13013
DE71,218.22836
DE72,231.49779
DE73,239.91832
DE80,221.60643
DE91,228.9341
BG41,232.50093
BG42,201.7269
CH01,491.83643
AT32,558.4304
AT33,580.9654
AT34,594.54877
BE10,221.86511
BE23,218.78188
BE24,227.3945
BE25,209.46204
BE31,229.84651
BE32,223.7873
BE33,266.9396
BE34,257.42184
BE35,251.13469
BG31,225.71898
BG32,215.47134
BG33,184.12657
BG34,168.78773
DE92,233.27707
DE93,246.23636
DE94,250.43738
CZ07,291.66757
CZ08,319.7768
AL01,186.75531
AL02,143.90152
AL03,102.841606
AT11,257.65912
AT12,306.86682
AT13,242.4776
AT21,457.17365
AT22,429.13086
AT31,432.02963
DK05,208.40459
BE21,227.39275
BE22,236.63162
ES43,40.123028
ES51,173.25603
ES52,75.70363
ES53,34.198452
ES61,32.444733
ES62,39.518494
ES63,19.567694
ES64,17.164953
CH02,498.89908
CH03,435.6734
CH04,425.2329
CH05,502.78278
CH06,610.1782
CH07,518.8666
CY00,5.9416313
CZ01,246.78566
CZ02,256.46405
CZ03,299.7837
CZ04,265.48645
CZ05,284.33313
CZ06,260.17102
DE40,211.22108
EL53,102.75751
EL54,86.88385
EL61,81.153366
EL62,33.863533
EL63,58.191475
ES70,12.767623
ITC1,348.10687
ITC2,408.25714
DE11,264.427
DE12,264.31088
DE13,334.80774
DE14,379.17502
DE21,450.01834
DE22,333.80267
DE23,292.6607
DE24,256.1713
DE25,257.16028
DE26,227.57043
DE27,433.35522
DE30,204.28453
EL42,2.438411
LV00,255.15147
ME00,225.71431
MK00,146.84773
MT00,5.955219
NL11,263.7705
NL12,250.79039
EL64,56.2499
EL65,29.181501
ES11,153.9743
ES12,243.76923
ES13,228.52832
ES21,200.53505
ES22,182.00345
ES23,156.42572
ES24,141.53499
ES30,64.52766
IE05,249.70842
IE06,242.15147
IS00,271.207
ITC3,184.02217
FI19,248.94403
FI1B,220.27496
FI1C,235.59666
DEA1,242.25085
DEA2,259.60004
DEA3,237.54567
DEA4,242.57193
DEA5,275.83304
DEB1,226.45345
DEB2,234.36482
DEB3,207.50572
DEC0,221.71426
DED2,257.48703
DED4,278.0199
DED5,213.8118
DEE0,207.46806
DEF0,242.69904
DEG0,233.87933
DK01,209.64905
DK02,207.05762
DK03,227.58037
DK04,217.96307
ES41,106.69543
ES42,62.529182
HU23,208.2412
HU31,223.3141
HU32,216.42867
HU33,190.91386
IE04,296.87442
EE00,253.11247
EL30,13.142826
EL41,7.3447905
EL43,7.13039
EL51,119.44392
EL52,116.48079
FI20,174.0241
FR10,178.8806
FRB0,176.73708
FRC1,221.86804
FRC2,330.35806
FRD1,178.71222
FRD2,192.08931
FRE1,205.8092
FRE2,200.16594
FRF1,282.83035
NL13,248.17705
NL21,242.85587
NL22,236.78806
NL23,245.8354
NL31,237.62686
NL32,236.57953
ITG2,35.21668
ITH1,452.95868
ITH2,467.2456
FRI3,169.53085
FRJ1,177.23581
FRJ2,251.04195
FRK1,247.89261
FRK2,293.87
FRL0,157.52783
FRM0,69.33529
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,17.713903
TR32,24.461216
TR33,47.496147
HR03,192.7254
HR02,243.8507
HU11,188.71855
HU12,200.7192
HU21,206.54584
HU22,231.20291
PT16,62.169624
PT17,26.13702
FRF2,220.5311
FRF3,242.421
FRG0,151.67883
FRH0,158.04419
FRI1,215.67537
FRI2,242.56386
ITC4,332.59634
ITF1,166.59685
ITF2,136.07716
ITF3,93.75252
ITF4,68.53478
ITF5,86.37014
ITF6,74.17934
ITG1,30.144033
LT01,265.89932
LT02,254.89447
LU00,241.9216
PL22,303.69965
PL41,230.17451
PL42,236.72263
PT18,30.276705
PT20,0.0
PT30,29.655035
RO11,328.97827
RO12,364.64456
RO21,302.3341
RO22,190.65814
RO31,251.6587
RO32,225.0866
ITH3,355.37283
ITH4,427.68076
ITH5,201.2387
ITI1,137.81744
ITI2,147.88177
ITI3,163.70137
ITI4,123.58827
LI00,685.95953
FI1D,248.42921
TR82,147.60161
TR83,120.14899
TR90,322.82114
TRA1,158.3107
TRA2,209.2759
PL43,226.30734
PL51,271.5106
