nuts,Summer Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,257.16507
DE60,253.52827
DE71,222.34576
DE72,233.5456
DE73,241.32147
DE80,238.89604
DE91,222.62085
BG41,196.6766
BG42,174.8724
CH01,456.11996
AT32,574.4951
AT33,581.17896
AT34,558.114
BE10,218.99806
BE23,218.06288
BE24,221.17688
BE25,209.39964
BE31,222.30547
BE32,216.16035
BE33,260.894
BE34,252.4505
BE35,244.91312
BG31,203.99542
BG32,203.02527
BG33,170.13379
BG34,146.11765
DE92,225.03433
DE93,239.95052
DE94,252.80104
CZ07,300.64026
CZ08,330.0403
AL01,154.11559
AL02,113.05694
AL03,81.98431
AT11,265.94
AT12,314.88052
AT13,255.98027
AT21,469.81827
AT22,445.99112
AT31,433.26245
DK05,209.04454
BE21,225.7926
BE22,231.39447
ES43,28.322739
ES51,161.81042
ES52,64.63077
ES53,31.845945
ES61,22.699553
ES62,32.39305
ES63,17.016684
ES64,14.967737
CH02,473.21805
CH03,422.647
CH04,406.40012
CH05,481.3487
CH06,567.01184
CH07,500.16937
CY00,4.6549416
CZ01,245.94957
CZ02,257.4217
CZ03,310.34497
CZ04,274.51282
CZ05,284.6448
CZ06,270.31912
DE40,224.17041
EL53,85.834206
EL54,65.0449
EL61,73.960976
EL62,28.664194
EL63,42.577065
ES70,0.8033306
ITC1,349.05795
ITC2,383.25342
DE11,268.03754
DE12,264.38922
DE13,324.69736
DE14,377.0568
DE21,453.64938
DE22,333.79352
DE23,291.64078
DE24,260.16678
DE25,254.70967
DE26,231.89192
DE27,419.14734
DE30,218.2164
EL42,2.5513372
LV00,277.22665
ME00,188.39693
MK00,125.28073
MT00,7.3379154
NL11,266.8394
NL12,250.825
EL64,46.572517
EL65,23.854935
ES11,118.24359
ES12,202.96672
ES13,196.78745
ES21,177.50648
ES22,163.66722
ES23,132.95638
ES24,127.11063
ES30,51.484764
IE05,224.79982
IE06,222.63133
IS00,287.1431
ITC3,171.52112
FI19,256.76898
FI1B,234.80861
FI1C,249.95564
DEA1,242.26518
DEA2,254.50246
DEA3,238.38725
DEA4,232.97862
DEA5,268.63275
DEB1,227.97554
DEB2,231.38556
DEB3,213.55014
DEC0,222.47412
DED2,270.54752
DED4,285.4704
DED5,220.57924
DEE0,217.53857
DEF0,239.42044
DEG0,232.29617
DK01,221.34128
DK02,218.0428
DK03,230.74423
DK04,222.04092
ES41,88.01519
ES42,50.46378
HU23,214.59868
HU31,240.10587
HU32,219.89925
HU33,195.42017
IE04,275.91614
EE00,267.0176
EL30,11.943935
EL41,8.397386
EL43,8.851614
EL51,101.449936
EL52,109.93049
FI20,175.93358
FR10,174.93808
FRB0,165.21172
FRC1,218.06874
FRC2,310.618
FRD1,164.8268
FRD2,185.40431
FRE1,190.01335
FRE2,191.5885
FRF1,277.74734
NL13,248.49803
NL21,252.40123
NL22,242.89548
NL23,248.23177
NL31,238.41888
NL32,238.69164
ITG2,33.709476
ITH1,460.5948
ITH2,481.1781
FRI3,145.99344
FRJ1,162.60753
FRJ2,219.33109
FRK1,220.956
FRK2,267.9614
FRL0,152.85416
FRM0,72.0762
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,19.091408
TR32,23.818712
TR33,42.502758
HR03,175.5446
HR02,240.85138
HU11,208.98
HU12,215.68056
HU21,221.5878
HU22,243.11563
PT16,44.732838
PT17,18.446856
FRF2,212.83382
FRF3,236.67905
FRG0,136.04378
FRH0,134.74747
FRI1,190.63863
FRI2,217.72827
ITC4,335.52356
ITF1,165.17786
ITF2,125.58678
ITF3,84.431694
ITF4,60.664776
ITF5,77.40646
ITF6,62.86355
ITG1,27.641386
LT01,284.8626
LT02,275.24594
LU00,237.41803
PL22,323.02637
PL41,239.35059
PL42,248.63098
PT18,20.538982
PT20,0.0
PT30,0.0
RO11,322.06323
RO12,340.4799
RO21,277.74713
RO22,176.33665
RO31,237.7427
RO32,224.0142
ITH3,362.73203
ITH4,417.1156
ITH5,197.13806
ITI1,131.77118
ITI2,134.86253
ITI3,156.6159
ITI4,114.18194
LI00,671.30414
FI1D,270.84637
TR82,122.411194
TR83,96.435585
TR90,245.71938
TRA1,100.394196
TRA2,5.8321037
PL43,239.84021
PL51,279.64005
PL52,279.93546
PL61,241.05031
PL62,266.19974
PL63,262.3982
PL71,247.50731
PL72,278.73807
PL81,284.95218
PL82,326.05573
PL84,265.58066
PL91,253.43648
PL92,253.34589
PT11,75.720024
PT15,10.610908
TRB1,40.301548
TRB2,2.7426715
TRC1,17.121058
RS12,201.08478
RS21,213.6376
RS22,179.369
SE11,208.16931
SE12,244.138
NL33,228.69208
NL34,217.51437
NL41,230.22223
NL42,233.80827
PL21,346.53204
UKM6,300.59018
TR22,42.93007
TRC2,10.023699
TRC3,1.8587085
UKC1,213.04417
UKC2,220.3868
UKD1,275.07355
UKD3,246.1728
UKD4,266.56427
UKD6,220.92188
UKD7,242.31975
UKE1,189.29243
UKE2,215.26253
UKE3,201.56584
RO41,241.879
RO42,267.11496
RS11,202.54755
TR41,69.22709
TR42,127.27659
TR51,50.60218
TR52,37.11535
TR61,39.35288
TR62,57.397194
TR63,33.385788
TR71,42.23209
TR72,53.84412
TR81,161.58897
UKK1,174.00131
UKK2,178.30133
UKK3,178.59525
UKK4,190.51176
UKL1,232.9862
UKL2,216.13258
UKM5,228.07059
UKM7,270.91235
UKM8,295.63016
UKM9,265.97568
UKN0,257.07318
SE21,234.42288
SE22,239.57307
SE23,279.7376
SE31,270.9067
SE32,298.41245
SE33,293.04617
SI03,337.2233
SI04,380.5258
SK01,235.38843
SK02,249.72388
SK03,302.60156
SK04,312.96402
TR10,83.88998
TR21,74.18822
UKE4,219.27956
UKF1,198.8503
UKF2,175.7758
UKF3,186.46162
UKG1,175.04549
UKG2,194.5293
UKG3,185.61813
UKH1,180.85678
UKH2,170.14046
UKH3,175.39407
UKI3,166.66893
UKI4,166.66893
UKI5,173.16046
UKI6,174.95285
UKI7,167.95464
UKJ1,171.64325
UKJ2,163.62794
UKJ3,164.92616
UKJ4,174.58066
NO09,321.08316
NO0A,451.65155
NO0B,102.43476
HR05,275.11047
HR06,277.63803
NO02,332.91956
NO06,387.23013
NO07,322.15866
NO08,309.16367
